คำ,POS,ความหมาย
ตก,น.,ทิศตะวันตก
ตก,ก.,กิริยาที่ลดระดับจากสูงลงสู่ระดับต่ำอย่างรวดเร็วจนถึงพื้น.
ตก,ก.,ไม่ผ่าน เช่น สอบตก.
ตก,ก.,แท้ง เช่น ตกลูก
ตก,ก.,เรียกค่าสินสอด เช่น เรินตก - เรือนหอที่ฝ่ายเจ้าสาวเรียกเป็นค่าสินสอดจากฝ่ายเจ้าบ่าว.
ตก,ก.,"ปรากฏขึ้น, เกิดขึ้น, ต้อง."
ตก,ก.,ติดค้าง.
ตก,ก.,รั้งท้ายว่าตกหลัง.
ตก,ก.,ต่ำลง.
ตกกลางการ,ก.,ตกกลางคัน
ตกกำหมา,ก.,ประหม่า (ดู ตกหฺมฺรา).
ตกกำหมา,ก.,ประหม่า
ตกเกลื้อน,ก.,แตกเนื้อหนุ่มเนื้อสาว.
ตกแก,น.,"ตุ๊กแก, ชื่อสัตว์เลื้อยคลาน หัวโต หางยาว ตีนเหนียว สามารถเกาะตามผนังเรียบได้ ร้องเสียงดัง ออกหากินในเวลากลางคืน"
ตกแกมยอ,ก.,ตกลูกยอ.
ตกคล้องช้าง,ก.,ตกท้องช้าง.
ตกคลัก,ก.,"อยู่ในโคลน, รวมอยู่ด้วยกันในแอ่ง."
ตกแฉก,ก.,หวีผมแสก.
ตกเที้ยน,ก.,"ค้างเติ่ง, ไม่ได้ดังหวัง ใช้ในการเล่นการพนันบางประเภท (ภ.ก.)."
ตกน่องแน่ง,ก.,มัดสองขาไว้มิให้ก้าวเดินได้สะดวก (น.ศ.)
ตกบ้อง,ก.,เรียกอาการของปลากัด เมื่อแพ้แล้วจะถอดสีและมีลายเป็นบั้ง ๆ ว่า “ตกบ้อง” (ภ.ก.).
ตกพระกาฬ,ก.,ตกที่นั่งพระกาฬ.
ตกเลือด,ก.,แท้ง เช่น ตกลูก
ตกหนักตกลึก,สำ.,"รับเคราะห์, รับภาระหนัก"
ตกหน้างาน,ก.,ตกเป็นหน้าที่.
ตกหวางเวน,ก.,ตกกลางคัน
ตกหฺมฺรา,ก.,ประหม่า
ตกเหนา,น.,จุดดำ ๆ ที่เกิดขึ้น ตามเสื้อผ้าอันเกิดจากการหมักหมมหรือเปียกชื้น
ตกเหนา,ก.,ขึ้นรา
ตกเหนา,น.,ขึ้นรา.
ตง,น.,ชื่อไม้ไผ่ ลำต้นใหญ่ ไม่มีหนาม หน่อกินได้.
ตง,น.,ไม้เครื่องเรือนที่วางบนรอดหรือคานสำหรับรองพื้นกระดานหรือฟาก.
ต้ง,ก.,"ต๋ง, ชักเอาเงินไว้จากขาไพ่ที่เป็นผู้ชนะหรือลูกค้า ที่แทงถูกในการพนันบางชนิด เช่น ถั่ว, โป."
ต่งฉิ่วเปี้ย,น.,"ขนมเปี๊ยะในพิธีไหว้พระจันทร์ ( จ., ภ.ก.)."
ต่งสิน,ว.,"ซื่อสัตย์, ซื่อตรง (จ., ภ.ก.)"
ต่งห่อ,ว.,"กตัญญูและรู้คุณท่าน, ซื่อตรง (จ., ภ.ก.)."
ตด,น.,ลมที่ออกจากทวารหนัก.
ตด,ก.,"ผายลม, อาการที่ลมระบายออกทางทวารหนัก"
ตดออกกาก,สำ.,"เปล่าประโยชน์, เอาดีไม่ได้."
ตน,สรรพ.,"ท่าน, คุณ"
ต้น,สรรพ.,คำเรียกแทนพระภิกษุอาวุโส เช่น พ่อท่านเทากำหฺมฺลังจำวัด - หลวงพ่อกำลังจำวัด (น.ศ.)
ต้น,น.,คำนำหน้าชื่อพระภิกษุลูกวัด เช่น ต้นเขียว - พระภิกษุเขียว.
ต้น,น.,"ลำของต้นไม้, เป็นชื่อรวมทั่วไปของต้นไม้และพืชผักต่าง ๆ."
ต้น,ลัก.,ลักษณนามเรียกต้นไม้และพืชผักแทบทุกชนิดว่า ต้น.
ต้นตายปลายเป็น,น.,ชื่อไม้ล้มลุก ขึ้นเกาะอยู่ตามต้นไม้ในที่ชื้นในป่าละเมาะ ใช้ต้มแก้โรคดีซ่าน
ต้นปูน,น.,จำปูน.
ต้นปูน (ป.น.),น.,"จำปูน, ชื่อไม้พุ่มเตี้ย มีตามป่าดงดิบทางภาคใต้ กลีบดอกแหลม หนาแข็ง ด้านนอกสีเขียว ด้านในสีขาวนวล กลิ่นหอมมาก"
ต้นยวน,น.,ที่จับเกาะของนกหรือที่อยู่ประจำของนกหรือผึ้ง
ต้นยวน,น.,ที่จับเกาะของนกหรือที่อยู่ประจำของนกหรือผึ้ง.
ต้นสามฤดู,น.,"บานไม่รูโรย, ชื่อไม้ล้มลุกลำต้นค่อนข้างแข็ง แตกแขนงเป็นพุ่มเล็ก ๆ ดอกกลมสีขาว ชมพู หรือม่วงแดง"
ต้นสามฤดู,น.,ต้นบานไม่รู้โรย (ดู กุนหนี).
ต้นสามฤดู,สรรพ.,เรียกแทนชื่อพระภิกษุอาวุโส
ตบ,น.,ไขมันบริเวณที่หน้าท้องของสุกร เรียก “มันตบ”
ตบ,ก.,เอาฝ่ามือหรือของแบน ๆ เป็นต้น ตีอย่างแรง.
ตบ,ก.,ประพรม.
ตบไขจิ้งจก,ก.,ประแป้งให้เป็นเม็ด ๆ โดยใช้หวี
ตบจง,ก.,วิธีการจับกระจงโดยการตบมือเป็นจังหวะ.
ตบประ,น.,การเล่นชนิดหนึ่งของเด็ก ใช้ตบมือกันสองคน
ตบเปรียะ,น.,การเล่นชนิดหนึ่งของเด็ก ใช้ตบมือกันสองคน
ตบแปละ,น.,การเล่นชนิดหนึ่งของเด็ก ใช้ตบมือกันสองคน
ตบแผละ,น.,การเล่นชนิดหนึ่งของเด็ก ใช้ตบมือกันสองคน
ตบมือ,ก.,ปรบมือ.
ตบยุง,น.,ชื่อนกชนิดหนึ่ง หากินในเวลากลางคืน
ตบวาด,ก.,วิธีจับจั๊กจั่น โดยตบมือ หรือใช้กะลากระทบกันเป็นเสียงเรียก.
ตบให้หลบ,ก.,ตบให้สลบหรือตาย.
ต้ม,น.,ข้าวต้มลูกโยน.
ต้ม,ก.,"ต้ม, กิริยาที่เอาของเหลว เช่น น้ำใส่ภาชนะแล้วทำให้ร้อนให้เดือดหรือให้สุก."
ต้ม,ก.,หลอกลวง.
ต้มกล้วย,น.,"ข้าวต้มมัด (น.ศ., พ.ท.)"
ต้มเค็ม,น.,ต้มกะทิด้วยผักหลาย ๆ ชนิด เช่น หน่อไม้ หัวมะพร้าว สะตอ มะเขือ ชะอมและใส่กุ้งสดหรือกุ้งแห้งด้วยก็ได้ (น.ศ.).
ต้มจุ้ม,ก.,ทำผักสดให้สุกด้วยการลวกน้ำร้อนหรือต้ม.
ต้มตร็อก,น.,"ต้มเปรต, ชื่อแกงอย่างหนึ่งคล้ายต้มยำแต่มักใช้ปลาไหลทั้งตัว."
ต้มตุก,น.,อาหารที่ทำด้วยปลาต้มกับซีอิ๊วดำ ซีอิ๊วขาว น้ำตาลและส้มแขก หรือมะขามรสเปรี้ยวเค็มหวาน (ภ.ก.).
ต้มเทะ,น.,ต้มใส่กะทิ.
ต้มมะร็อง,น.,ต้มเครื่องในวัว.
ต้มยา,ก.,เจียดยา
ต้มลาว,น.,"ข้าวต้มมัด (น.ศ., พ.ท.)"
ต้มส้ม,น.,แกงต้มให้มีรสเปรี้ยว.
ตรน,น.,"กระสวย, เครื่องบรรจุด้ายสำหรับทอผ้าหรือเย็บผ้า"
ตรน,น.,ชื่อปลาหมึกชนิดหนึ่ง เรียก “หมึกตรน”
ตรวง,ก.,"ชั่ง, ตวง เช่น ตรวงข้าว – ตวงข้าว, ตรวงยาง - ชั่งยาง (น.ธ.)."
ตรวด,น.,ดอกไม้ไฟชนิดหนึ่ง
ตรวด,น.,ลักษณะหลังคาที่ลาดชัน ตรงข้ามกบหลังคาทาน.
ตรวด,น.,"ปลาจวด, ชื่อปลาทะเล มีทั้งขนาดเล็ก และขนาดใหญ่ ปลายหัวอาจทู่หรือแหลม ลำตัวมีสีเงินหรือเทา บ้างมีจุดประบนลำตัวหรือครีบ."
ตรวด,น.,ดอกไม้ไฟชนิดหนึ่ง (ดู กรวด น. ๒.).
ตรวด,ก.,ตรวจตรา.
ตรวด,ก.,เรียกการกรวดน้ำ ว่า “ตรวดน้ำ”.
ตรวน,น.,"โซ่ตรวน, เครื่องจองจำนักโทษชนิดหนึ่ง เป็นห่วงเหล็กใช้สวมขานักโทษ มีโช่ล่ามถึงกัน"
ตรวน,น.,"ตรวน, โลหะมีเหล็กเป็นต้นที่เกี่ยวกันเป็นข้อ ๆ เป็นสายยาวสำหรับผูกล่ามแทนเชือก"
ตรวม,ก.,"สวม, คร่อม, ครอบ เช่น นุ่งผ้ากรวมอก - นุ่งผ้ากระโจมอก"
ตรวม,ก.,"สวม, คร่อม, ครอบ (ดู กรวม)."
ตรวย,น.,"กรวย, รูปกรวย, ของมีรูปกลม กลวง ยาวเรียวแหลม เช่น หนมตรวย - ขนมกรวย."
ตร้อ,น.,"ตะกร้อ, ลูกกลมสานด้วยหวายหรือพลาสติก เป็นตา ๆ สำหรับเตะ"
ตร้อ,น.,ตะกร้อ (ดู กร้อ น. ๑.).
ตรอก,น.,"ตรอก, ทางที่แยกมาจากถนนใหญ่และมีขนาดเล็กกว่าถนน"
ตรอก,น.,การเล่นโยนหลุม
ตรอก,ก.,"กรอก, เทของลงในช่องหรือรูแคบ ๆ เช่น กรอกน้ำใส่ขวด"
ตรอก,ก.,กรอกข้อความ.
ตรอก,ก.,"กลับกลอก, กลอกกลิ้ง."
ตรอก,น.,ตรอก (ดู กรอก น. ๑.).
ตรอก,น.,การเล่นโยนหลุม (ดู กรอก น. ๓.).
ตรอก,ก.,กรอก (ดู กรอก ก. ๑.).
ตร็อก,ว.,"เปียก, ที่ชุ่มน้ำ, อ่อนเกือบเละอย่างข้าวต้ม เช่น ขามตร็อก - มะขามเปียก, ปากตร็อก - ปากเปียก"
ตร็อกตร็อก,ว.,"เปียก, ที่ชุ่มน้ำ, อ่อนเกือบเละอย่างข้าวต้ม เช่น ขามตร็อก - มะขามเปียก, ปากตร็อก - ปากเปียก"
ตรอง,ก.,"กรอง, แยก ของละเอียดออกจากของหยาบ หรือคัดของบริสุทธิ์ออกจากของไม่บริสุทธิ์"
ตรอง,น.,กระชอน (ดู กรอง น.).
ตรอง,ก.,กรอง (ดู กรอง ก. ๓.).
ตรอง,ก.,ไตร่ตรอง (ดู กรอง ก. ๒.).
ตรอด,น.,ชื่อมดชนิดหนึ่ง ตัวเล็ก สีดำ ชอบทำรังอยู่บนต้นไม้นิยมเอามาเป็นเหยื่อล่อปลา
ตรอด,น.,ชื่อมดชนิดหนึ่ง ตัวเล็ก สีดำ (ดู กรอด น. ๑.).
ตร็อด,ก.,กระเถิบ.
ตร็อด,ก.,กดให้แน่น.
ตร็อด,ก.,"จรด, จด."
ตรอน,ก.,"เตร็ดเตร่, ซอกซอน เช่น เที่ยวตรอนไป - เที่ยวเตร็ดเตร่ไป."
ตรอม,ว.,"เศร้าโศก, เป็นทุกข์, ตรอม เช่น กรอมใจ."
ตรอม,น.,รังทำไว้สำหรับให้นกไข่หรือไก่ไข่
ตรอม,น.,เครื่องจักสานขนาดใหญ่สำหรับครอบขังไก่ เป็ด เป็นต้น
ตรอม,น.,เครื่องมือชนิดหนึ่ง สานด้วยไม้ไผ่ ใช้ดักจับหรือขังสัตว์ (ดู กรอม น. ๑.).
ตรอม,น.,เครื่องมือใช้สอย (ดู กรอม น. ๒.).
ตรอม,น.,เครื่องสวมปากสัตว์ เพื่อไม่ให้ขบกัดหรือกินอาหาร.
ตรอม,น.,รังทำไว้สำหรับให้นกหรือไก่ไข่ (ดู กะ น. ๗.).
ตรอม,น.,เครื่องจักสานขนาดใหญ่ สำหรับครอบขังไก่ เป็ดเป็นต้น (ดู ค้อม น.).
ตรอม,ก.,เศร้าโศก.
ตรอย,ว.,"กร่อย, ไม่จืดสนิทหรือไม่หวานสนิทเพราะมีรสเค็มเจือ, จืดชืด ไม่มีรสชาติ, ไม่มีชีวิตชีวา"
ตรอย,ว.,กร่อย (ดู กรอย ว.).
ตระ,ว.,"ซา, เบา เช่น ฝนกระ - ฝนซา"
ตระ,ก.,"ซา, ลดน้อยถอยลงหรือบรรเทาเบาลงกว่าที่เป็นอยู่ เช่น ฝนตระ - ฝนซาลง."
ตระ,ว.,"อร่อย, มีรสดี, ถูกปาก เช่น ตระปาก - อร่อยปาก, ตระคอ - อร่อยคอ."
ตระหนี,น.,"บานไม่รูโรย, ชื่อไม้ล้มลุกลำต้นค่อนข้างแข็ง แตกแขนงเป็นพุ่มเล็ก ๆ ดอกกลมสีขาว ชมพู หรือม่วงแดง"
ตระหนี,น.,บานไม่รู้โรย (ดู กุนหนี).
ตรัก,ว.,"ติดอยู่ที่, ตั้งรกราก เช่น ตั้งตรักหักรั้ง - อยู่กินตลอดไป, ตั้งรกราก."
ตรัน,ก.,"ยัน, ยันไว้, ค้ำไว้"
ตรัน,ก.,"ค้ำ, ยัน, ต้าน, ดันให้หยุดนิ่งอยู่กับที่ (เทียบ ม. teral)"
ตรันไม่อยู่,สำ.,ต้านทานหรือห้ามไว้ไม่ไหว.
ตรันวานหมี,สำ.,เข้าไปยุ่งเกี่ยวกับคนอื่นให้เป็นอันตรายแก่ตนเอง.
ตรันวานหมี,สำ.,"ทุบตี, เอาเรื่อง เช่น มึงไปต้า กูตรันให้แลเด - มึงไปซิกูเอาเรื่องให้ดู."
ตรับ,น.,ชื่อปลาน้ำจืดชนิดหนึ่ง คล้ายปลาหมอ แต่ตัวแบนกว่า
ตรับ,น.,จะปิ้งกะลามะพร้าว.
ตรับ,*น.,สแลง. อวัยวะเพศของเด็กผู้หญิง.
ตรับ,ก.,ย่ำเท้า เช่น บ้านกวาดให้ดี ๆ อย่าตรับ ให้หลุหละเล่า - บ้านกวาดไว้สะอาดแล้วอย่าเดินย่ำให้สกปรกอีก.
ตรับตรับ,ว.,"โชก, ชุ่ม เช่น เปียกตรับตรับ - เปียกโชก."
ตรัยห์,น.,กะละมัง (ดู โคม).
ตรัยห์ (ป.น.),น.,กะละมัง ขนาดเล็กเรียก “ลูกโคม” ขนาดใหญ่ เรียก “แม่โคม”
ตรา,น.,"ตรา, เครื่องหมายที่มีลวดลายและทำเป็นรูปต่าง ๆ สำหรับประทับเป็นสำคัญ สำหรับเป็นเครื่องหมาย."
ตรา,น.,ภาชนะตวงข้าวทำด้วยกะลามะพร้าว
ตรา,ก.,"อุด, รา, ค่อย ๆ เลิกไป เช่น หยะตราเต็มท่อน้ำ - ขยะอุดเต็มท่อน้ำ."
ตร้า,ว.,"อร่อย, มีรสดี, ถูกปาก เช่น ตระปาก - อร่อยปาก, ตระคอ - อร่อยคอ."
ตร้า,ก.,"ซา, เบาลง (ดู ตระ ก.)."
ตร้า,ว.,ถูกปาก (ดู ตระ ว.).
ตร๋า,น.,"หน่วยมาตราตวง, ลิตร (ดู จูเปาะ)."
ตราก,ก.,"ปล่อยให้อดอยาก, ปล่อยปละละเลย, ไม่เอาใจใส่ เช่น เอาวัวไปตราก - เอาวัวไปล่ามให้อดน้ำอดหญ้า"
ตราไก,สำ.,"เอาเปล่า ๆ เช่น หมอนี้ตราไกเล่า - หมอนี่เอาของเปล่า ๆ อีกแล้ว (พ.ง., ภ.ก.)."
ตราไก,สำ.,"ไม่มีคุณภาพ, ไม่ได้เรื่อง เช่น เด็กตราไก (พ.ท.)."
ตราเข้,สำ.,"กินไม่เลือก, กินจุ, กินสินบน."
ตราง,ก.,"เสื่อม, ถอยความขลัง เช่น มนตร์ตราง - มนตร์เสื่อม."
ตราง,ว.,"จาง, เซ็ง, หมดรส, จืดชืด เช่น เหล้าตราง - เหล้าเซ็ง, เหล้าหมดรส."
ตราด,ว.,"กราด, ซัดส่ายไปโดยไม่เจาะจง, ทั่วไป เช่น อิงกราด, ด่ากราด"
ตราด,น.,เรียกไม้กวาดที่ทำด้วยไม้ไผ่ผ่าเป็นซี่ ๆ ว่า “ไม้ตราด”
ตราด,ว.,กราด (ดู กราด ว. ๑.).
ตราดบาด,ว.,ทิ้งไว้เกลื่อนกลาดอย่างไม่เห็นคุณค่า. (ดู จาดบาด ว. ๑.).
ตราดมาด,ว.,"อุจาดตา, ทิ้งไว้เกลื่อนกลาดอย่างไม่เห็นคุณค่า เช่น ข้าวราคาแพงอย่าทิ้งจาดบาด"
ตราน,ก.,"ค้ำ, ยัน, ต้าน, ดันให้หยุดนิ่งอยู่กับที่ (เทียบ ม. teral)"
ตราน,ก.,"ค้ำ, ยัน (ดู ตรัน ก. ๑.)."
ตราบ,น.,แอ่งน้ำที่ขังอยู่ตามต้นไม้หรือพื้นดิน มีสัตว์มากินชาวบ้านถือว่าศักดิ์สิทธิ์ และมีผีแรง
ตราบ,น.,แอ่งน้ำที่ขังอยู่ตามต้นไม้หรือพื้นดิน มีสัตว์มากิน ชาวบ้านถือว่าศักดิ์สิทธิ์ และมีผีแรง (ดู ปราบ น. ๒.).
ตราว,ว.,เสียงดังเช่นนั้น
