คำ,POS,ความหมาย
ถก,ก.,"ผงก, กระดก, โผล่, ชะเง้อ เช่น ถกคอ - โผล่คอ, โผล่ศีรษะ."
ถก,ก.,"อภิปราย, โต้เถียง."
ถก,ก.,"ถลก, ดึงรั้งให้สูงขึ้นอย่างถลกผ้านุ่ง ถลกแขนเสื้อ เช่น ถกผ้า - ถลกผ้า."
ถก,ก.,ใช้กับงู คือ ถกหวัก หมายถึง การแผ่แม่เบี้ย.
ถด,ก.,"กระถด, เลื่อนไปเล็กน้อย"
ถบ,น.,ชื่อไม้ชนิดหนึ่ง.
ถบ,ก.,หยด เช่น โอ่งรั่วน้ำถบอยู่เรื่อย ๆ - โอ่งรั่วน้ำหยดอยู่เรื่อย ๆ.
ถบ,ว.,ติ๋ง ๆ เช่น น้ำย้อยถบ - น้ำหยดติ๋ง ๆ
ถบ,ลัก.,"หยด, หยาด เช่น น้ำย้อย ๒ ถบ - น้ำหยดลง ๒ หยด."
ถม,น.,"เครื่องถม, เรียกภาชนะหรือเครื่องประดับที่ทำโดยใช้ผงยาถมผสมน้ำประสานทองถมลงบนลวดลายที่แกะสลักบนภาชนะหรือเครื่องประดับนั้น แล้วขัดผิวให้เป็นเงางามว่า เครื่องถม."
ถม,ก.,ใช้สารเคมีใส่ลงในพื้นที่ที่แกะเป็นร่องระหว่าง ลวดลายในเครื่องเงิน แล้วใช้ความร้อนอบให้น้ำยาติดและให้พื้นเป็นสีดำ.
ถม,ก.,"ถม, เอาดินหรือสิ่งอื่น ๆ ใส่ลงไปในที่ที่เป็นหลุมเป็นบ่อหรือเป็นแอ่งเพื่อให้เต็ม, กองสุม ๆ ไว้ไม่เป็นระเบียบ."
ถม,ก.,ถ่ม (ดู ถุ้ย ก.).
ถม,ว.,มาก เช่น มีถม - มีมาก
ถม,ก.,"ถ่ม, ทำให้น้ำลายหรือสิ่งอื่น ๆ ออกจากปากโดยแรง เช่น ถุ้ยน้ำลาย - ถ่มน้ำลาย"
ถมถืด,ว.,มาก เช่น มีถม - มีมาก
ถมเถ,ว.,มาก เช่น มีถม - มีมาก
ถวง,ก.,"ถ่วง, หน่วง, ทำให้หนัก, ทำให้จม, ทำให้ช้า."
ถ้วย,น.,ภาชนะก้นลึก มีรูปต่าง ๆ สำหรับใส่น้ำหรือของบริโภค เป็นต้น โดยมากทำด้วยเครื่องเคลือบดินเผา ที่ทำด้วยแก้วหรือสิ่งอื่น ๆ ก็มี.
ถ้วยแกง,น.,ถ้วยสำหรับใส่แกง.
ถ้วยตีนช้าง,น.,ถ้วยปากผาย ก้นโต หนา
ถ้วยทะนะ,น.,ถ้วยสำหรับใส่ข้าวตักบาตร.
ถ้วยปากจีบ,น.,ถ้วยก้นลึก ปากผาย มีขนาดใหญ่กว่าปกติ ใช้สำหรับใส่แกง.
ถ้วยสิบสอง,น.,ถ้วยเล็ก ๆ สำหรับใส่เครื่องสิบสอง.
ถอ,น.,"ไม้ถ่อ, ไม้สำหรับค้ำยันแล้วดันให้เรือเดิน."
ถอ,ก.,"ค้ำ, ถ่อ, ทำให้เรือเดินด้วยใช้ไม้นั้นยันแล้วดันไป เช่น ถอเรือ - ถ่อเรือ, โดยปริยายหมายความว่า ไปหรือมาด้วยความลำบาก."
ถอ,ก.,คำสั่งให้ช้างถอยหลัง
ถ้อ,ก.,โต้ตอบ.
ถอก,ก.,ร่นเข้าไป เช่น ถอกของลับ - ทำให้หัวของลับผู้ชายเปิด.
ถอก,ก.,กระแทกลงแรง ๆ (ส.ต).
ถอก,ก.,"ถลอก, ลอกออกไป, ปอกออกไป, เปิดออกไป"
ถอก,ว.,"เถิก, เว้า, แหว่ง (ดู ฉอก ว.)."
ถอกาย,ก.,พยายามเดิน.
ถ่อข้าง,น.,"เหมืองรู ( จ., ภ.ก.)."
ถอง,ก.,กระทุ้งด้วยศอก
ถ้อง,ก.,จิ้มนมหนูตะเกียงเจ้าพายุ.
ถ้อง,ว.,ผ่องใส เช่น ขาวถ้อง – ขาวผ่องใส
ถองขึ้น,ก.,"เสือก, ดันทุรัง, ดื้อแพ่ง, ไม่สนใจคำตักเตือนคำห้ามปราม (ภ.ก., พ.ง.)"
ถ่องแถ่ง,ก.,"แกว่งไปมา, โทงเทง (ภ.ก.)."
ถ็องแถ็ง,น.,"แผ่นเหล็กหรือสังกะสีบาง ๆ เช่น หม้อนี้ปิดด้วยถ็องแถ็ง - หม้อนี้ปิดด้วยสังกะสี (ภ.ก., พ.ง.)."
ถ้อจู้,น.,"คนทำบัญชีค่าแรงงานในเหมืองแร่ และรับเงินจากนายจ้างมาจ่ายให้คนงาน มักจะเปิดร้านขายอาหารและกาแฟด้วย (จ., ภ.ก., พ.ง.)."
ถอด,ก.,"เอาออก, ดึงให้หลุด."
ถอดรูป,ว.,"คล้ายคลึงกับบรรพบุรุษ, ถอดแบบ."
ถอดลูก,ก.,กิริยาที่ผึ้งหรือต่อที่เจริญเต็มที่แล้ว บินออกจากรูของรัง.
ถอดสี,สำ.,"กลัว, ตกประหม่า, ขี้ขลาด."
ถอดเสื้อ,ก.,ถลกหนัง ลิงหรือค่างที่ล่ามาได้.
ถ่อต่าว,น.,ถั่วสิสง (ดู ถัวยี่สง).
ถ่อต้าว,น.,"ล้อรถไฟเล็ก (จ., ภ.ก.)."
ถ่อต่าว (ภ.ก.),น.,ถั่วลิสง
ถอน,ก.,"รื้อ, ถอน, เอาออก, เลิก."
ถอน,ก.,ดื่มของมึนเมาเพิ่มเพียงเล็กน้อยอีกครั้งเพื่อลดอาการเมา.
ถอนหงอก,สำ.,ลบเหลี่ยมผู้สูงอายุ
ถอนหมอ,สำ.,"บอกเลิก, ตีจาก, เลิกรา."
ถอนหอก,สำ.,ลบเหลี่ยมผู้สูงอายุ
ถ็อบ,ก.,"กระถด, เลื่อนไปเล็กน้อย"
ถ็อบ,ก.,กระถด (ดู ถด).
ถอบก,ก.,ดันทุรัง.
ถอบแถบ,น.,ชื่อไม้กึ่งพุ่มกึ่งเถา ผลมีลักษณะแบน ๆ
ถอบแถบ,น.,ชื่อไม้กึ่งพุ่มกึ่งเถา มีผลคล้ายช่อมะหวด ดอกอ่อนนำไปยำทำเป็นอาหารได้
ถ่อปีด,น.,"ดินสอหินที่ใช้เขียนกระดานชนวน (จ., ภ.ก.)."
ถอย,ก.,คำสั่งให้ช้างถอยหลัง
ถอย,ก.,คำที่บอกสั่งให้ช้างถอยหลัง (ดู ถอ ก. ๒.).
ถอร่าง,สำ.,หอบสังขาร
ถอสังขาร (น.ศ.),สำ.,หอบสังขาร
ถ่อหูน,น.,"ดินสอพอง (จ., ภ.ก.)."
ถ่อเหลียน,น.,ทุเรียน (ดู เรียน น. ๑.).
ถ่อเหลียน (ภ.ก.),น.,"ทุเรียน, ชื่อไม้ต้น ผลเป็นพู ๆ เปลือกมีหนามแข็งทั่วทั้งลูก เนื้อมีรสหวานมัน มีหลายพันธุ์"
ถ่ออิ่วเต้ง,น.,ตะเกียงน้ำมันก๊าด
"ถ้อฮุ่ย (จ., ภ.ก.)",ก.,กระอักเลือด
ถ้อโฮ่ย,ก.,กระอักเลือด
ถะ,น.,"เจดีย์แบบจีน (จ., ภ.ก.)."
ถะเถิง,ว.,"โอ่โถง, โอ่อ่า."
ถะเหลือด,ก.,"ลื่น, อาการที่พลาดไถลหรือเคลื่อนไปได้คล่องบนพื้นที่เรียบเกลี้ยง ซึ่งมีลักษณะเป็นมันเป็นเมือก"
ถะเหลือด,ก.,ลิ่น (ดู มฺลื่น).
ถัก,ก.,"ถัก, เอาเส้นเชือกหรือหวายเป็นต้นไขว้สอดประสานกันให้เป็นลวดลายต่าง ๆ บ้าง ให้เป็นเส้นและเป็นผืนบ้าง ให้ติดต่อกันบ้าง."
ถักแฉะ,ก.,"เรียนหนังสือ, อ่านหนังสือ (จ., ภ.ก.)."
ถักหัวแมงวัน,ก.,ถักปลายเชือกด้านที่ตรงกันข้ามกับที่เป็นบ่วงบาศ เพื่อให้เชือกติดแน่นไม่คลายเกลียวและสะดวกที่จะสอดร้อยเข้าไปในรู.
ถักหางแลน,น.,วิธีขัดลายอย่างหนึ่ง
ถักหางแลน,น.,ลายขัดอย่างหนึ่งใช้แต่งขอบภาชนะจักสานเพื่อให้สวยงาม.
ถัง,น.,ถัง (ดู ถั้ง).
ถัง,ลัก.,มาตราตวงข้าว ๑ ถัง เท่ากับ ๒๐ ทะนาน.
ถัง,น.,ภาชนะทรงกระบอก ทำด้วยไม้หรือโลหะ ก้นไม่สอบ
ถั้ง,น.,ภาชนะทรงกระบอก ทำด้วยไม้หรือโลหะ ก้นไม่สอบ
ถัด,ก.,"กระถด, เลื่อนไปเล็กน้อย"
ถัด,ก.,กระถด (ดู ถด).
ถัน,ว.,"ทนทาน เช่น ไม้หนี้ถันไม่ – ไม้นี้ทนไหม (เทียบ ม. tahan ; น.ธ., ย ล., ป.น.)."
ถับถึง,ก.,"บรรลุถึง, ล่วงถึง."
ถัว,น.,"ถั่ว, ชื่อไม้เถาหลายชนิดหลายสกุล ใช้ฝักหรือเมล็ดเป็นอาหาร มีหลายชนิด."
ถัว,ก.,"ทำให้มีส่วนเสมอกัน, เฉลี่ย"
ถั้ว,ก.,"ทำให้มีส่วนเสมอกัน, เฉลี่ย"
ถัวแกะ,น.,ถั่วชนิดหนึ่ง ฝักแบน ๆ คล้ายถั่วแขก แต่โตกว่า.
ถัวค้าง,น.,ถั่วฝักยาว.
ถัวตอย,น.,ขนมตุ๊บตั๊บ ทำด้วยถั่วกวนกับน้ำตาลแล้วทุบให้ละเอียดตัดเป็นชิ้น ๆ
ถัวใต้ดิน,น.,ถั่วลิสง
ถัวทุบ,น.,ขนมตุ๊บตั๊บ ทำด้วยถั่วกวนกับน้ำตาลแล้วทุบให้ละเอียดตัดเป็นชิ้น ๆ
ถัวไทร,น.,ถั่วชนิดหนึ่ง มีเมล็ดเดียว เปลือกบาง - ขนาดนิ้วมือ
ถัวนั่ง,น.,ถั่วชนิดหนึ่ง ต้นเตี้ย ฝักสั้น เปลือกหนา.
ถัวโบ,น.,ถั่วชนิดหนึ่ง มีเมล็ดเดียว เปลือกบาง - ขนาดนิ้วมือ
ถัวปันหยี,น.,ถั่วชนิดหนึ่ง มีเมล็ดเดียว เปลือกบาง - ขนาดนิ้วมือ
ถัวผรัง,น.,ถั่วชนิดหนึ่ง มีเมล็ดเดียว เปลือกบาง - ขนาดนิ้วมือ
ถัวผัง (ภ.ก.),น.,ถั่วชนิดหนึ่ง มีเมล็ดเดียว เปลือกบาง - ขนาดนิ้วมือ
ถัวผี,น.,ชื่อไม้เถาชนิดหนึ่ง ทำยาได้.
ถัวเฝ้าใส,น.,ถั่วป่าชนิดหนึ่ง กินได้.
ถัวเม็ดเดียว (ก.บ.),น.,ถั่วชนิดหนึ่ง มีเมล็ดเดียว เปลือกบาง - ขนาดนิ้วมือ
ถัวย้อแย้,น.,"ถั่วแดง (ภ.ก., พ.ง.)."
ถัวยี่สง,น.,ถั่วลิสง
ถั่วแรด,น.,ถั่วแระ
ถั้วลา,น.,"กระเจี๊ยบ (ภ.ก., พ.ง.)."
