คำ,POS,ความหมาย
ทก,น.,"ชื่อปลาน้ำจืดขนาดใหญ่ชนิดหนึ่งคล้ายปลาชะโอน แต่ตัวโตกว่ามาก, ปลาเนื้ออ่อน."
ทก,น.,ชื่อเงื่อนชนิดหนึ่ง เรียก เงื่อนทก.
ทก,ก.,"กระตุก, กระชาก, ดึง เช่น ทกข้าว - เอาข้าวใส่กระด้ง ร่อนพลางกระตุกพลางเพื่อให้กากข้าวแยกออกจากข้าวสาร, ทกเชือก - กระตุกเชือก"
ทก,ก.,การแสดงออกทางอารมณ์เมื่อไม่พอใจ.
ทก,ก.,"หวาดกลัว, สะทกสะท้าน"
ทกท้าน,ก.,"หวาดกลัว, สะทกสะท้าน"
ทกแท็ก,ว.,"โงนเงน, กะปลกกะเปลี้ย."
ทกแป้ง,น.,ชื่อแมลงชนิดหนึ่ง ชอบชักใยตามเพดานบ้าน
ทกแป้ง,ก.,กรองแป้งโดยเอาแป้งใส่ตะแกรงร่อน (แร่ง) ร่อน พลางกระตุกพลางให้แป้งที่ละเอียดตกลงไปข้างล่าง
ทกรก,น.,"กะทกรก, ชื่อไม้พุ่มรอเลื้อย ตามลำต้นมีหนามห่างๆ ใบรูปไข่หรือรี ๆ ดอกเล็กสีขาว อยู่เป็นกระจุกที่ง่ามใบ ผลกลมหรือรีขนาดเท่าเม็ดบัว เขื่อง ๆ เป็นสมุนไพร"
ทกรก,น.,กะทกรก (ดู รกช้าง).
ทกหญิก,ก.,"หวาดกลัว, สะทกสะท้าน"
ทง,น.,"กระทง, ภาชนะเย็บด้วยใบตองหรือใบไม้ เป็นต้น ยกขอบสูงสำหรับใส่ของ"
ทง,น.,ชื่อไม้ต้นชนิดหนึ่งจำพวกสะตอ แต่เมล็ดเล็กกว่า
ทง,น.,ส่วนยอดสุดของ ต้นไม้เรียกยอดทง หรือ ปลายทง.
ทง,ลัก.,กระทง เช่น ปลา ๒ ทง - ปลา ๒ กระทง.
ท่ง,น.,"ที่ราบโล่ง, ทุ่งนา, ทุ่งหญ้า."
ท่ง,สำ.,ถ่ายอุจจาระ เช่น ไปท่ง -ไปถ่ายอุจจาระ
ท่ง,สำ.,"เชย, เปิ่น."
ท้ง,ก.,ล้อเลียน (ดู เท้ง).
ท้ง,ก.,"ขยักไว้, โยนภาระให้เพื่อน."
ท้ง (ย.ล.),ก.,"ล้อเลียน, กระเซ้า"
ทงหม้ง,น.,อุปกรณ์ที่ใช้กับเรือเซียด เป็นไม้กระดานที่ใช้ครอบลงไปบริเวณท้ายเรือให้แน่น เพื่อใช้สอดคัดเรือเซียดเข้าไป ขณะทำการเซียดกุ้ง.
ทด,ก.,"แทน, ชดใช้หรือชดเชยสิ่งที่เสียไป เช่น หามาทดที่ขาดเสียให้เต็ม."
ทด,ก.,"ท้อใจ, ไม่มีกำลังใจจะสู้, มีความพยายามลดน้อยถอยลง"
ทดหมด,สำ.,"ระทด, ท้อแท้ (น.ศ.)."
ทน,น.,"โทน, ชื่อกลองประเภทหนึ่ง สำหรับตีขัดจังหวะ ขึงด้วยหนังหน้าเดียวคล้ายกลองยาว แต่เล็กและสั้นกว่า, กลองแขก."
ทน,น.,เครื่องใช้ใส่ปลาชนิดหนึ่ง
ทน,ก.,"อดกลั้นได้, ทานอยู่ได้."
ทน,ว.,"แข็งแรง, มั่นคง."
ทนะ,น.,ข้าวสุกสำหรับตักบาตร.
ทบ,ก.,กระทบ (ดู แท่ง ก.).
ทบ,ก.,"ควบ, เอารวมเข้าเป็นพวกเดียวกันหรือเข้าคู่กัน, ประกบ."
ทบ,ก.,พับซ้อนไปมา.
ทบ,ลัก.,"เรียกสิ่งที่พับเข้ามาหรือเพิ่มเข้ามา เช่น ผ้า ๒ ทบ, เชียก ๒ ทบ."
ทบ,ว.,โชคดี (ภ.ก.).
ทบ,ก.,"กระทบ, โดน, ถูก, ต้อง, แตะ"
ทม,ก.,นอน เป็นคำที่พ่อแม่เรียกลูกเล็ก ๆ ให้มานอนด้วยการเอามือตบหมอน แล้วพูดว่า “มาทมมาลูกมา ทมทมมา” - มานอนมาลูกมา นอน ๆ มา (เทียบ ข. ผทํ ; ภ.ก.)
ทม,ว.,"ระบม, อาการเจ็บร้าวที่เกิดจากความเมื่อยขัดหรือบอบช้ำ เป็นต้น เช่น แจ็บทมไปทั้งตัว - เจ็บระบมไปทั้งตัว."
ทรง,ก.,"ทำให้ระดับสมดุล, ทรงตัว, ตั้งให้ตรง"
ทรง,น.,หม้อรองรับหวด
ทรง,ก.,"คงสภาพ, คงอยู่."
ทรง,ก.,ทำให้น้ำหนักอยู่ในระดับสมดุล (ดู หฺมฺรง).
ทรง,ก.,ยกให้ปลายข้างหนึ่งสูงอยู่ตลอด (ดู ธง ก. ๒.).
ทรง (ภ.ก.).,ก.,ยกให้ปลายข้างหนึ่งสูงอยู่ตลอด
ทรงกับทรุด,สำ.,ไม่มีโอกาสจะดีขึ้น.
ทรงแดง,น.,"รางแดง, ชื่อไม้เถาเนื้อแข็งชนิดหนึ่ง ใช้ทำยาได้ (ก.บ.)."
ทรงภาษา,สำ.,"ช่วยอธิบายให้เข้าใจ, ไกล่เกลี่ย."
ทราบ,ก.,"แอบมอง, ซุ่มดู."
ทราบ,ก.,รับรู้.
ทราม,ว.,เลว.
ทราม,ว.,"น่าจะ, สมควร, พอเหมาะ เช่น ขี้พร้าพอทรามแกง - ฟักเขียวพอเหมาะที่จะใช้แกง"
ทรามเนาะ,ว.,"พอน่าแกล้ม, น่ากิน, น่าจิ้ม."
ทรามหมาเงย,สำ.,สาวรุ่น.
ทรามเหลียด,ว.,ลักษณะผลไม้ที่เมล็ดเริ่มแข็ง เช่น ผลระกำ เป็นต้น
ทรามเหลียด,ว.,ลักษณะผลไม้ที่เมล็ดเริ่มแข็ง.
ทรามัน,ว.,ขี้เกียจ
ทรามัน,ว.,"เกียจคร้าน, ไม่อยากทำงาน"
ทรามัน,ว.,เกียจคร้าน (ดู คร้าน).
ทราย,น.,"ทราย, วัตถุที่เป็นเศษหินขนาดเล็กมีลักษณะซุยร่วน ไม่เกาะกัน."
ทราย,น.,ชื่อปลาน้ำจืดชนิดหนึ่ง ตัวขนาดนิ้วหัวแม่มือ หัวแหลม ชอบฝังตัวในทราย.
