คำ,POS,ความหมาย
ธง,น.,"ธง, ผืนผ้าโดยมากเป็นสีและบางอย่างมีลวดลายเป็นรูปต่าง ๆ ที่ทำด้วยกระดาษและสิ่งอื่น ๆ ก็มี สำหรับเป็นเครื่องหมายบอกชาติ ตำแหน่งในราชการ เป็นต้น และใช้เป็นเครื่องตกแต่งสถานที่ในงานรื่นเริงหรือถือเข้าขบวนแห่ เป็นต้น."
ธง,น.,ชื่อคันเบ็ดที่ปักประจำล่อปลา เรียก เบ็ดธง.
ธง,น.,ส่วนยอดสุดของต้นไม้เรียกยอดธงหรือปลายธง.
ธง,ก.,ปัก เช่น ธงแบ็ด - ปักเบ็ด.
ธง,ก.,ยกให้ปลายข้างหนึ่งสูงอยู่ตลอด
ธงราว,น.,"ธงทิว, ธงที่มีรูปลักษณะคล้ายกระบอก."
ธงหัวเขา,ก.,นั่งชันเข่า (ภ.ก.).
ธ่อ,สรรพ.,เรียกแทนชื่อพระภิกษุอาวุโส
ธ่อ,สรรพ.,คำเรียกแทนพระภิกษุอาวุโส เช่น พ่อท่านเทากำหฺมฺลังจำวัด - หลวงพ่อกำลังจำวัด (น.ศ.)
ธ่อ,สรรพ.,คำเรียกแทนพระภิกษุอาวุโส (ดู ต้น สรรพ.).
ธอณี,น.,"ธรณี เช่น ธอณีตู – ธรณีประตู, แม่นางธอณี - แม่นางธรณี."
ธาตุ,น.,"วัตถุธาตุ, สิ่งที่ถือว่าเป็นส่วนสำคัญที่ประกอบกันเป็นร่างของสิ่งทั้งหลาย โดยทั่วไปเชื่อว่ามี ๔ ธาตุ คือ ธาตุดิน ธาตุน้ำ ธาตุลม และธาตุไฟ."
ธาตุ,น.,"อัฐิ, กระดูกคนที่เผาแล้ว เช่น ดับธาตุ - การทำพิธีเก็บอัฐิในเช้าตรู่ของวันรุ่งขึ้นหลังจากวันเผาศพ."
ธารน้ำ,น.,"ทางน้ำไหล (น.ธ.), ลำธารเล็ก ๆ (ป.น., ย.ล.)"
ธารน้ำ,น.,ลำธารเล็ก ๆ (ดู เตราะ น.).
ธุ,ก.,"ไหว้, กิริยาสั่งเด็กให้ไหว้ เช่น ธุพระเสียลูก - ไหว้พระซิ่ลูก."
ธูก,น.,"ธูป, เครื่องหอมชนิดหนึ่งมีแกนทำด้วยก้านไม้ไผ่เล็ก ๆ เป็นต้น ย้อมสีแดง พอกด้วยผงไม้หอม"
ธูกยุง,น.,ยาจุดกันยุง
ธู้ระ,น.,"ธุระ, หน้าที่การงานที่พึงกระทำ."
ธู้ลี,น.,"ธุลี, ละออง, ฝุ่น."
เธ้อ,สรรพ.,คำที่ใช้แทนผู้ที่เราพูดด้วย มักใช้ในระหว่างเพื่อนผู้หญิงด้วยกัน หรือใช้กับผู้มีศักดิ์ต่ำกว่า.
โธ่,อุ.,เสียงอุทานในเชิงไม่พอใจ
โธก,น.,"ธูป, เครื่องหอมชนิดหนึ่งมีแกนทำด้วยก้านไม้ไผ่เล็ก ๆ เป็นต้น ย้อมสีแดง พอกด้วยผงไม้หอม"
โธ้ดงค์,น.,"ธุดงค์, ชื่อวัตรปฏิบัติอย่างเคร่งครัดของภิกษุ มี ๑๓ อย่าง เช่น การอยู่ป่า การอยู่โคนไม้."
โธป,น.,"ธูป, เครื่องหอมชนิดหนึ่งมีแกนทำด้วยก้านไม้ไผ่เล็ก ๆ เป็นต้น ย้อมสีแดง พอกด้วยผงไม้หอม"
โธป,น.,ธูป (ดู ธูก).
