คำ,POS,ความหมาย
นก,น.,อวัยวะเพศหญิง
นก,น.,"นก, สัตว์มีกระดูกสันหลังเลือดอุ่น มี ๒ เท้า ๒ ปีก และมีขนปกคลุมร่างกาย ออกลูกเป็นไข่ก่อนแล้วจึงฟักเป็นตัว."
นกกรง,น.,"นกปรอด, ชื่อนกขนาดเล็ก สีเหลืองหม่น กินผลไม้และแมลง"
นกกรงหัวจุก,น.,นกปรอดหัวโขน.
นกกรงหัวจุก,น.,ชื่อเพลงกาหลอ.
นกกะเสียะ,น.,นกกระจิบ.
นกกะเสียะ,น.,เปลที่ทำด้วยผ้าถุงผูกด้านหนึ่งเข้ากับเชือกโยงกับคานหรือกิ่งไม้สำหรับให้ทารกนอน (ภ.ก.)
นกขี้คร้าน,น.,ชื่อนกชนิดหนึ่ง หากินในเวลากลางคืน
นกขี้คร้าน,น.,ชื่อนกชนิดหนึ่งหากินในเวลากลางคืน.
นกขี้งัวขี้ควาย,น.,นกกางเขนขนาดเล็กหางยาว ตัวสีขาวปนดำ
นกขี้งัวขี้ควาย,น.,นกกางเขนพันธุ์หนึ่ง ขนาดเล็ก ตัวสีขาวปนดำ.
นกเขา,น.,อวัยวะเพศชาย
นกเขา,น.,"นกเขา, ชื่อนก ขนสีน้ำตาล บางชนิดออกสีน้ำตาลแดง ลำตัวมีลาย มักอยู่เป็นคู่หรือเป็นฝูง หากินเมล็ดพืชบนพื้นดิน."
นกเขา,*น.,สแลง. อวัยวะเพศของผู้ชาย.
นกเขาขัน,น.,ชื่อพันธุ์ข้าวพื้นเมือง (ก.บ.).
นกเขาขัน,น.,ชื่อทับมโนราห์ตามตำนานฉบับกรมศิลปากร.
นกเขาบินหลน,น.,ชื่อพันธุ์ข้าวพื้นเมือง (ก.บ.)
นกเข้ารัง,น.,ช่วงเวลาที่นกกลับเข้ารัง ประมาณ ๑๘.๐๐ นาฬิกา
นกเขียว,น.,นกอีโก้ง.
นกควม,น.,นกพิราบป่า.
นกคุ่ม,น.,ชื่อนกชนิดหนึ่งคล้ายนกกระทา อาศัยอยู่ในทุ่งนาและป่าละเมาะ.
นกคุ่ม,น.,ชื่อมะพร้าวพันธุ์เบาชนิดหนึ่ง ผลเล็ก น้ำหวาน.
นกคุ่ม,น.,ชื่อหญ้าชนิดหนึ่ง ต้นแตก เป็นกอแผ่กว้างมีลูกคล้ายมะพร้าวขนาดเท่าปลายนิ้ว ผลอ่อนกินได้.
นกคุ่ม,น.,ชื่อไม้ประดับประเภทหนึ่ง มี ๒ ชนิด คือ นกคุ่มเล็กกับนกคุ่มใหญ่ ใบมีลายเป็นริ้วขาว
นกคูด,น.,นกกะปูด.
นกเงียก,น.,นกเงือก.
นกจอก,น.,ชื่อนกขนาดเล็ก ตัวลาย มี ๔ ชนิด ชนิดที่มีชุกชุมจะอาศัยตามชายคาบ้านเรือน.
นกจอก,น.,ชื่อไพ่จีน ชนิดหนึ่งมี ๑๑๔ ตัว.
นกจอก,น.,ตะขอติดข้างฝาสำหรับแขวนเสื้อผ้า.
นกจอก,น.,สลักที่ฝังในคันไถ ใช้สำหรับเกี่ยวแอก.
นกจอกคลัก,น.,บริเวณถัดโคนเขาของวัวลงมา ที่มีลักษณะบุ๋ม.
นกจอกเต้น,น.,ชื่อเพลงกาหลอ.
นกจาฝน,น.,นกกระเต็น.
นกจิ๊แฉ้ด,น.,นกกางเขนขนาดเล็กหางยาว ตัวสีขาวปนดำ
นกจิ๊แฉ้ด,น.,นกกางเขนพันธุ์หนึ่ง ขนาดเล็ก ตัวสีขาวปนดำ.
นกจิ๊ดแจ๊ด,น.,นกกางเขนขนาดเล็กหางยาว ตัวสีขาวปนดำ
นกจิ๊ดแจ๊ด,น.,นกกางเขนพันธุ์หนึ่ง ขนาดเล็ก ตัวสีขาวปนดำ.
นกฉ้อหลอ,น.,นกกรงหัวจุก.
นกเฉี่ยวปลา,น.,นกกระเต็น.
นกชนหีน,น.,ชื่อนกชนิดหนึ่ง คล้ายนกกะงัง
นกชนหีน,น.,นกชนิดหนึ่งคล้ายนกกะงั่ง.
นกช้าง,น.,"กะทกรก, ชื่อไม้พุ่มรอเลื้อย ตามลำต้นมีหนามห่างๆ ใบรูปไข่หรือรี ๆ ดอกเล็กสีขาว อยู่เป็นกระจุกที่ง่ามใบ ผลกลมหรือรีขนาดเท่าเม็ดบัว เขื่อง ๆ เป็นสมุนไพร"
นกช้าง,น.,กะทกรก (ดู รกช้าง).
นกชุมรัง,น.,ช่วงเวลาที่นกกลับเข้ารัง ประมาณ ๑๘.๐๐ นาฬิกา
นกชุมรัง,น.,ช่วงเวลาที่นกกลับเข้ารังประมาณ ๑๘.๐๐ นาฬิกา (ดู นกเข้ารัง).
นกตอ,น.,นกที่เลี้ยงไว้ใช้ต่อนกอื่น.
นกตอ,น.,หน้าม้า.
นกตาฟาง,น.,ชื่อนกชนิดหนึ่ง หากินในเวลากลางคืน
นกตาฟาง,น.,ชื่อนกชนิดหนึ่งหากินในเวลากลางคืน.
นกตาย,*น.,สแลง. อวัยวะเพศชายที่ไม่ยอมแข็งตัว ไร้สมรรถภาพ.
นกตี,น.,ปืนแก๊ปชนิดหนึ่ง
นกตีน,น.,นกที่เชื่องไม่ต้องใช้กรงขังเวลาต่อ
นกโทง,น.,"นกกระทุง, ชื่อนกน้ำขนาดใหญ่ ขนสีขาวหรือสีเทา ๆ ตัวขนาดห่าน ปากยาวใหญ่ ปากล่างมีลักษณะเป็นถุงขนาดใหญ่สำหรับจับปลาทีละมาก ๆ อาศัยอยู่ตามแม่น้ำ ลำคลอง และชายทะเล"
นกโทง,น.,นกกระทุง.
นกโทน,น.,นกที่เชื่องไม่ต้องใช้กรงขังเวลาต่อ
นกนอน,น.,ชื่อไม้พุ่มขนาดเล็กชนิดหนึ่ง ใบค่อนข้างดก กลางคืนจะหรุบยอดลง (ก.บ.).
นกบินหลาจอดแจด,น.,เวลาเช้ามืดขณะที่นกบินหลาส่งเสียงร้องเซ็งแซ่.
นกบุก,น.,นกเดินดง
นกฝ้าย,น.,นกไส้
นกพิเทบ,น.,นกเงือกชนิดหนึ่ง.
นกยางกรอก,น.,"นกกระยางกรอก, ชื่อนกกระยางขนาดเล็ก"
นกยางกรอก,น.,นกกระยางกรอก.
นกเย่าขี้ควาย,น.,นกกระเด้าลม.
นกวัก,น.,นกกวัก.
นกวัก,สำ.,คำเปรียบใบหน้าขาวนวลว่า “หน้าขาวเหมือนนกวัก”
นกสับ,น.,ปืนแก๊ปชนิดหนึ่ง
นกเสียบไส้ (น.ศ.).,น.,นกไส้
นกเสียะ,น.,นกกระจิบ.
นกเสียะ,น.,เปลที่ทำด้วยผ้าถุงผูกด้านหนึ่งเข้ากับเชือกโยงกับคานหรือกิ่งไม้สำหรับให้ทารกนอน (ภ.ก.)
นกหีน,น.,ชื่อนกชนิดหนึ่ง คล้ายนกกะงัง
นกหีน,น.,นกชนิดหนึ่งคล้ายนกกะงั่ง.
นกไหน,น.,นกหัวขวาน (ภ.ก.).
นกไหน,น.,ไก หรือ เดือยที่ใช้สำหรับบังคับให้อยู่ในที่ต้องการ เช่น นกร่ม - กำพูหรือไม้กลึงสำหรับเป็นที่รวมร้อยซี่ร่ม ซี่ฉัตร หรือซี่พุ่ม.
นกไหน,น.,"ส่วนที่หุ้มทะลายของพืชจำพวกปาล์ม เช่น นกพร้าว, นกหมาก."
นกแอ่นฉาบน้ำ,น.,การวิดปลาวิธีหนึ่งโดยใช้คนสองคนยืนคนละฟาก ดึงเชือกคนละสองเส้นที่ผูกภาชนะวิด.
นกเฮียก,น.,นกเงือก.
นง,ว.,หลง ๆ ลืม ๆ.
นดนด,ว.,"สั่นเทิ้ม, สั่นฮัก ๆ."
นนทรี,น.,เทพรักษาประตู.
นนทรี,น.,ชื่อปลาทะเลชนิดหนึ่ง.
นนทรี,น.,ชื่อไม้ต้นชนิดหนึ่ง ดอกสีเหลืองออกเป็นช่อตรงปลายกิ่ง ฝักแบนสีน้ำตาลแกมแดง.
นบ,น.,"ทำนบ, สิ่งก่อสร้างที่ปิดกั้นลำน้ำไม่ให้นาไหลผ่าน."
นบ,ก.,"ไหว้, นอบน้อม."
นม,น.,"นม, ส่วนของร่างกาย อยู่บริเวณหน้าอก"
นม,น.,น้ำนม.
