คำ,POS,ความหมาย
บก,น.,ส่วนของผิวพื้นโลกที่ไม่ใช่ทะเลหรือแม่น้ำลำคลอง.
บก,น.,ชื่อไม้ต้นเนื้อแข็งชนิดหนึ่ง.
บก,ว.,เซ่อซ่า.
บก,ว.,"ไม่ได้รส, ไม่ได้ความ, ขาดความประณีต เช่น แกงนี้ไตรบกพันนี้ - แกงนี้ไม่มีรสเลย (ภ.ก.)."
บก,ว.,"ล้าสมัย, ไม่ทันหรือไม่เป็นไปตามสมัยที่นิยมกัน, ที่อยู่ห่างไกลความเจริญ, บ้านนอกคอกนา เช่น เคอะเหมือนคนบก – เคอะเขินเหมือนคนบ้านนอก, ทำไหรบก ๆ - ทำอะไรเชย ๆ ล้าสมัย."
บกกั๊ว,น.,มะละกอ (ดู ลอกอ น.).
บกกั้ว (ภ.ก.),น.,"มะละกอ, ชื่อไม้ต้น ใบหยักหยาบ ๆ ก้านยาว ผลกินได้"
บกเก่ง,น.,"หม้อหุงข้าว (จ., ภ.ก.)."
บกบก,ว.,"หยาบ, ไม่เรียบร้อย (ภ.ก.)."
บกเสี้ยม,น.,"ชื่อตัวตลกหนังตะลุง (จ., ภ.ก.)."
บกหนี้,น.,เห็ดหูหนู (ดู หูลีง).
"บกหนี้ (ภ.ก., พ.ง.)",น.,เห็ดหูหนู
บง,น.,"เหลาชะโอน, ชื่อปาล์ม วงศ์ Palmae ขึ้นเป็นกอ ลำต้นมีหนามตามปล้อง ใบประกอบรูปขนนก ดอกสีขาวถึงเหลืองนวล ผลแก่สีม่วงคล้ำถึงดำ"
บง,น.,ชื่อปลาชนิดหนึ่ง.
บง,น.,หนอนชนิดหนึ่งไม่มีขน.
บง,น.,จิ้งจกชนิดหนึ่ง.
บง,น.,"สบง, ผ้านุ่งของภิกษุสามเณร."
บง,น.,ไม้เหลาชะโอน (ดู หลาโอน).
บง,ก.,"บ่ง, ใช้ของแหลม ๆ แทงที่เนื้อเพื่อเอาหนามที่ฝังอยู่ในเนื้อหรือหนองออก เช่น บงหนาม."
บง,ก.,ทำให้กว้างออก เช่น บงปอดให้กว้างเหลย – ทำให้ปี๊บกว้างออกอีก.
บง,ก.,"ชี้ชัด, ระบุ เช่น บงตัว - ชี้ตัว, บอกตัว."
บด,น.,"บท, ข้อความเรื่องหนึ่ง ๆ หรือตอนหนึ่ง ๆ."
บด,น.,ชื่อเรือต่อชนิดหนึ่งรูปเรียว หัวท้ายเรียว
บด,น.,"บทกลอน, คำประพันธ์ที่เป็นบทร้อยกรอง."
บด,น.,ชื่อไม้เถาชนิดหนึ่ง.
บด,ก.,ทำให้ละเอียดด้วยวิธีการโม่.
บด,ก.,"บดบัง, บังแสง."
บด,ก.,"สบถ, เปล่งถ้อยคำเพื่อเน้นยืนยันให้คนเชื่อโดยอ้างสิ่งศักดิ์สิทธิ์."
บน,ก.,"บ่น, พูดพร่ำหรือว่ากล่าวซ้ำ ๆ ซาก ๆ"
