คำ,POS,ความหมาย
ปก,น.,นกโพระดก ตัวอ้วนป้อม สีเขียว หน้าสีแดง เหลืองหรือน้ำตาลแล้วแต่ชนิด ปากหนา แข็งแรง ปลายแหลมใหญ่ มีขนแข็งตรงโคนปาก กินผลไม้
ปก,น.,เรียกสิ่งที่เป็นแผ่นปกคลุมลงมา เช่น ปกเสื้อ.
ปก,น.,"ปลาแก้มช้ำ, ชื่อปลาน้ำจืด รูปร่างคล้ายปลาตะเพียน แต่มีลักษณะเด่นที่มีลำตัวยาวกว่าโดยเฉพาะที่แผ่นปิดเหงือกที่มีสีแดงเรื่อคล้ายรอยช้ำสุดแผ่นปิดเหงือกดำโคนครีบหางมีจุดสีดำ พื้นครีบสีแดง ขอบบนและขอบล่างดำ มีชุกชุมทั่วไป ยาวได้ ๒๕ เซนติเมตร."
ปก,ก.,"ปิด, คลุม, (ดู ปรก)."
ปก,ก.,"ปก, ปิด, คลุมทับ, สวม, ประ เช่น ผมปรกบา - ผมประบ่า, ปรกหัว - คลุมหัว, ปรกหมวก - สวมหมวก"
ปง,น.,ผีจำพวกหนึ่ง
ป่ง,น.,ดินเค็มที่สัตว์ป่าลงกินเป็นครั้งคราว
ปด,น.,"รสสุคนธ์, ชื่อไม้เถา ดอกสีขาว ออกเป็นช่อ กลิ่นหอม มีหลายชนิด เช่น ปดเมลิน, ปดคาย, ปดแดง."
ปด,น.,ชื่อแมลงชนิดหนึ่ง.
ปด,ก.,"โกหก, พูดเท็จ, จงใจกล่าวคำไม่จริง."
ปน,น.,ตะกอนตามท้องคลอง.
ปน,ก.,"คละกัน, เจือ, ระคน, ประสมกัน, รวมกัน."
ปน,ว.,"เหมือน. ปาน. ขนาด เช่น อยู่ปนใด - รูปร่างหน้าตาสวยหรือหล่อขนาดไหน, ปนนี้ - ขนาดนี้, เพียงนี้."
ปบ,ก.,"ตะปบ, ตบด้วยอุ้งมือหรืออุ้งเท้าหน้า เช่น เสือปบ."
ปรก,ก.,"ปก, ปิด, คลุมทับ, สวม, ประ เช่น ผมปรกบา - ผมประบ่า, ปรกหัว - คลุมหัว, ปรกหมวก - สวมหมวก"
ปรกแปร็ก,ว.,"ขัดสน, ยากจน."
ปรกแปร็ก,ว.,"อ่อนเปลี้ย, เพลียมาก."
ปรง,น.,ชื่อไม้พุ่มหลายชนิด ลำต้นกลมลีดำขรุขระใบเล็กยาวเรียงถี่ ๆ บนก้านใบ เช่น ปรงญี่ปุ่น ใบใช้ทำพวงหรีด.
ปรง,น.,ชื่อไม้ต้น ใบใหญ่มาก ผลกินได้คล้ายสาเก
ปรง,น.,ชื่อเฟิน ต้นเป็นกอขึ้นตามริมน้ำ ใบยาวเป็นทาง ใบอ่อนสีแดง กินได้
ปรน,น.,ชื่อหญ้าชนิดหนึ่ง ต้นคล้ายกระจูด แต่เล็กและเตี้ยกว่า.
ปรน,ก.,"เลี้ยง, ขุน, บำรุง เช่น แขบปรนหมู เข้าสักหีดได้ขายเล่า - รีบขุนหมูเข้าสักหน่อยจะได้ขายอีก."
ปรน,ก.,ปรนเปรอ
ปรน,ก.,การเก็บเศษไม้ที่เหลือจากการเผาครั้งแรกมารวมกันแล้วเผาให้หมด กองไม้ที่จะเผาเรียก กองปรน การเผา เรียก จุดปรน และการเกลี่ยไฟให้เผาเป็นวงกว้าง เพื่อจะได้เผาตอไม้หรือหญ้าอ่อน ๆ ที่เพิ่งขึ้นเรียก รุนปรน.
ปรนปรือ,ก.,ปรนเปรอ
ปรวด,น.,หนองที่เป็นก้อนแข็งอยู่ในเนื้อ เกิดกับแผลอักเสบเรื้อรัง
ปรวด,น.,หนองที่เป็นก้อนแข็งอยู่ในเนื้อ เกิดกับแผลอักเสบเรื้อรัง (ดู รวด).
ปรวด,ก.,"ยืด, ขยายตัวให้ยาว หรือกว้างออกไป."
ปรอ,ก.,มากันเต็มไปหมด เช่น พอรู้ว่าถูกเบอร์พี่น้องมากันปรอเสียหม็อด - พอรู้ว่าถูกหวยพี่น้องมากันเต็มไปหมด (ภ.ก.).
ปรอง,ว.,"จาง, เซ็ง, หมดรส, จืดชืด เช่น เหล้าตราง - เหล้าเซ็ง, เหล้าหมดรส."
ปรอง,ก.,ปรองดอง เช่น ขัดใจกันหีดหุ้ยมาปรองกันเสียก้าแหม็ดเรื่อง - ขัดใจกัน เล็ก ๆ น้อย ๆ มาปรองดองกันเลียก็หมดเรื่อง.
ปรอง,ก.,ทำให้มนตร์คาถาเสื่อม.
ปรอง,ว.,"จาง, หมดรส (ดู ตราง ว.)."
ปร่อม,ก.,"ห้อยลงตํ่า, ปิด, ปรก, คลุม (น.ธ.)."
