คำ,POS,ความหมาย
ฝน,น.,"ฝน, น้ำที่ตกลงมาจากเมฆเป็นเม็ด ๆ, น้ำหยาดฟ้า."
ฝนแก้ว,น.,"ลูกเห็บ, เม็ดน้ำแข็งที่ตกลงมาจากอากาศ"
ฝนแก้ว,น.,ลูกเห็บ มีเพลงร้องของเด็กว่า “ ฝนหาแก้วตกแล้วพ้นไป ฝนหาใหญ่เทลง ๆ ”
ฝนขี้มอด,น.,ฝนที่โปรยเป็นละออง.
ฝนดอกเห็ด,น.,"ลูกเห็บ, เม็ดน้ำแข็งที่ตกลงมาจากอากาศ"
ฝนดอกเห็ด,น.,ลูกเห็บ มีเพลงร้องของเด็กว่า “ ฝนหาแก้วตกแล้วพ้นไป ฝนหาใหญ่เทลง ๆ ”
ฝนตก,น.,ฝนที่เกิดจากลมที่พัดมาจากทิศตะวันตก ได้แก่ ลมที่เรียกว่า พรัดยา (= พัทธยา) พรัดกลางและพรัดหลวง
ฝนน้ำแข็ง,น.,"ลูกเห็บ, เม็ดน้ำแข็งที่ตกลงมาจากอากาศ"
ฝนน้ำแข็ง,น.,ลูกเห็บ มีเพลงร้องของเด็กว่า “ ฝนหาแก้วตกแล้วพ้นไป ฝนหาใหญ่เทลง ๆ ”
ฝนพรัด,น.,ฝนที่เกิดจากลมที่พัดมาจากทิศตะวันตก ได้แก่ ลมที่เรียกว่า พรัดยา (= พัทธยา) พรัดกลางและพรัดหลวง
ฝนมาแนะ,น.,"ลูกเห็บ, เม็ดน้ำแข็งที่ตกลงมาจากอากาศ"
ฝนมาแนะ (ป.น.),น.,ลูกเห็บ มีเพลงร้องของเด็กว่า “ ฝนหาแก้วตกแล้วพ้นไป ฝนหาใหญ่เทลง ๆ ”
ฝนแล้ง,ก.,ฝนหยุดตก.
ฝนแล้ง,ก.,ฝนไม่ตก
ฝนหาแก้ว,น.,"ลูกเห็บ, เม็ดน้ำแข็งที่ตกลงมาจากอากาศ"
ฝนหาแก้ว,น.,ลูกเห็บ มีเพลงร้องของเด็กว่า “ ฝนหาแก้วตกแล้วพ้นไป ฝนหาใหญ่เทลง ๆ ”
ฝนหาใหญ่,น.,ฝนตกหนักเป็นเวลานาน.
ฝนออก,น.,ฝนที่ตกมาจากทิศตะวันออกเฉียงเหนือ.
ฝนออก,ก.,"ฝน, ถูไปถูมา เช่น ฝนแหล็กให้เหลี้ยม - ฝนเหล็กให้แหลม."
ฝรั่ง,น.,"ฝรั่ง, ชนชาติผิวขาว"
ฝัก,น.,"ซอง, ปลอก เช่น เอาหมอนใสฝัก - เอาหมอนใส่ปลอก."
ฝัก,น.,"ฝัก, สิ่งที่หุ้มเมล็ดของพืชบางอย่าง เช่น ถั่ว โดยมากรูปยาว ๆ กลมบ้าง แบนบ้าง."
ฝัก,ลัก.,"เรียกสิ่งที่มีลักษณะเป็นฝัก เช่น ถัว ๓ ฝัก, ไข่ปลา ๓ ฝัก, คง ๓ ฝัก."
ฝักข้าว,น.,ฟักข้าว (ป.น.)
ฝักข้าว,น.,"ฟักข้าว, ชื่อไม้เถา ดอกสีนวล ผลมีหนาม สั้น ๆ กินได้และใช้ทำยาได้"
ฝักคร้า,น.,ปลาฝักดาบ (ดู ฝักพร้า).
ฝักคร้า,น.,"ปลาดาบลาว, ปลาฝักดาบ"
ฝักถัว,น.,ถั่วฝักยาว.
ฝักพร้า,น.,"ปลาดาบลาว, ปลาฝักดาบ"
ฝักพร้า,น.,ชื่อพืชชนิดหนึ่ง ผลเป็นฝักแบนคล้ายฝักสะตอ.
ฝัง,น.,"ฝั่ง, ที่ดินริมน้ำเป็นขอบเขตของทะเล แม่น้า ลำคลอง บาง เป็นต้น, ด้าน."
ฝัง,ก.,"ฝัง, จมหรือทำให้จมลงไปจากระดับพื้นจนมิดทั้งหมดหรือมิดแต่บางส่วน, ทำให้จมติดแน่นอยู่ในสิ่งต่าง ๆ"
ฝังผี,ก.,ฝังศพ
ฝังรอย,น.,วิธีทำคุณไสยอย่างหนึ่งโดยเอารอยเท้าของอมิตรมาเสกคาถาอาคม แล้วนำไปฝังที่ใต้บันไดเรือน ป่าช้าหรือทางสามแพร่ง มักพูดเข้าคู่กับฝังรูปว่า “ ฝังรูปฝังรอย ”.
ฝังรูป,น.,วิธีทำคุณไสยอย่างหนึ่งโดยปั้นรูป สมมุติของอมิตรขึ้นด้วยขี้ผึ้งหรือดินเหนียวจากป่าช้า เสกคาถาอาคม แล้วนำไปฝังที่ใต้บันไดเรือน ป่าช้าหรือทางสามแพร่ง มักพูดเข้าคู่กับฝังรอยว่า “ ฝังรูปฝังรอย ”.
ฝัด,ก.,กระดอน เช่น หนนไม่ดีรถฝัดเหลือเหตุ - ถนนไม่ดีรถกระดอนเหลือเกิน.
ฝัด,ก.,"ฝัด, อาการแยกของเบาออกจากของหนัก โดยกระดกภาชนะ เช่น กระด้ง ขึ้น ๆ ลง ๆ ค่อนข้างเร็ว เพื่อสะบัด แกลบ รำ หรือผงออกจากข้าว เช่น ฝัดข้าว."
ฝัดด้งเปลา,สำ.,"ไม่ได้รับผล, ทำโดยเปล่าประโยชน์."
ฝา,น.,"ฝา, เครื่องปิดภาชนะต่าง ๆ หรือสิ่งอื่นที่มีลักษณะคล้ายคลึงเช่นนั้น."
ฝา,น.,ชื่อขนมชนิดหนึ่ง วิธีทำอย่างขนมครก ใช้กระทะแทนเบ้าขนมครก
ฝา,น.,เครื่องกั้นด้านนอก หรือเครื่องกั้นแบ่งห้องของตัวโรงเรือน เป็นต้น.
ฝ้า,น.,"ฝ้า, แผ่นที่ใช้กรุหลังคา"
ฝาก,ก.,"ฝาก, มอบให้ไว้เพื่อให้ช่วยดูแลคุ้มครองหรือพิทักษ์รักษาชั่วคราว."
ฝากท้อง,ก.,ฝากครรภ์.
ฝากบาว,ก.,"หมั้น, ทำพิธีหมั้น (ย.ล., ป.น.)"
ฝากเห̣มฺรย,น.,วัฒนธรรมอย่างหนึ่งของชาวภาคใต้ โดยชายคู่หมั้นไปอยู่บ้านฝ่ายหญิง เพื่อทดลองปฏิบัติงานในหน้าที่ฝ่ายชาย เช่น ไถนา ทำสวน ฯลฯ ถ้าพ่อแม่ฝ่ายหญิงพอใจ ก็จะตกลงให้แต่งงาน ถ้าไม่พอใจก็ส่งตัวกลับ และระหว่างที่ชายมาอยู่ ผู้หญิงจะให้การปรนนิบัติ เช่น จัดอาหาร จัดการเรื่องเสื้อผ้า เป็นต้น
ฝากเหฺมฺรอ,น.,วัฒนธรรมอย่างหนึ่งของชาวภาคใต้ โดยชายคู่หมั้นไปอยู่บ้านฝ่ายหญิง เพื่อทดลองปฏิบัติงานในหน้าที่ฝ่ายชาย เช่น ไถนา ทำสวน ฯลฯ ถ้าพ่อแม่ฝ่ายหญิงพอใจ ก็จะตกลงให้แต่งงาน ถ้าไม่พอใจก็ส่งตัวกลับ และระหว่างที่ชายมาอยู่ ผู้หญิงจะให้การปรนนิบัติ เช่น จัดอาหาร จัดการเรื่องเสื้อผ้า เป็นต้น
ฝ้ากาด,ก.,"ร่วมกัน, ร่วมคิด."
ฝาด,น.,ชื่อไม้ต้นขนาดกลางถึงขนาดใหญ่ (Lumnitzeraspp.) ในวงศ์ Combretaceae ใบเดี่ยว เรียงตรงข้ามกัน ดอกเล็ก สีขาว ผลแก่สีเขียว ม่วง ม่วงคลํ้าถึงดำ ขึ้นอยู่ตามชายทะเล ใช้ทำฟืน เปลือกใช้สำหรับฟอกหนัง มี ๒ ชนิด คือ ฝาดแดง (Lumnitzera littorea) และฝาดขาว (Lumnitzera racemosa)
ฝาด,ก.,เรียกการทำขาทรายเล็ก ๆ สำหรับดักนกหรือไก่ป่าด้วยบ่วง แร้ว หรือ กับ โดยนำกิ่งไม้มาปักเป็นแถว แหวกช่องไว้ให้นก หรือไก่ป่าเดินเข้าไป เช่น ไปฝาดจง - ไปทำขาทรายดักกระจง.
ฝาด,ก.,การใช้อุบายให้ผู้อื่นสำคัญผิด.
ฝาด,ว.,"รสฝาด, รสชนิดหนึ่งอย่างรสหมากดิบ ทำให้ฝืดคอ."
ฝาด,ว.,เห็นสิ่งหนึ่งเป็นสิ่งหนึ่ง ใช้ว่า ตาฝาด.
ฝาดสองเปลือก,น.,ชื่อไม้ต้นขนาดกลางถึงขนาดใหญ่ (Lumnitzeraspp.) ในวงศ์ Combretaceae ใบเดี่ยว เรียงตรงข้ามกัน ดอกเล็ก สีขาว ผลแก่สีเขียว ม่วง ม่วงคลํ้าถึงดำ ขึ้นอยู่ตามชายทะเล ใช้ทำฟืน เปลือกใช้สำหรับฟอกหนัง มี ๒ ชนิด คือ ฝาดแดง (Lumnitzera littorea) และฝาดขาว (Lumnitzera racemosa)
ฝาตูโห̣ร,น.,หน้าจั่ว
