คำ,POS,ความหมาย
พก,น.,"ชายพก, ริมผ้านุ่งที่ดึงรวบขึ้นมาไขว้ไว้ที่บริเวณสะดือ มีลักษณะคล้ายถุงเล็ก ๆ."
พก,น.,เรือโป๊ะจ้าย.
พก,ก.,"เอาเก็บหรือซ่อนไว้ในพก หรือในสิ่งอื่นที่มีลักษณะคล้ายคลึงเช่นนั้น, นำติดตัวไป เช่น พกเบี้ย - นำเงินติดตัวไป, พกข้าวห่อ - นำข้าวห่อไปด้วย."
พก,ก.,เหน็บ เช่น พกมีด - เหน็บมีด.
พง,น.,ชื่อหญ้าชนิดหนึ่ง เป็นเถายาว มีข้อและปล้องอย่างต้นข้าวใบยาวเรียว มีขน.
พง,น.,ปลากะพง
พง,น.,"ป่ารก, ดงหญ้าหรือดงไม้ที่เป็นหมู่ ๆ หรือที่รก ๆ"
พง,ก.,พุ่ง เช่น หมาพงเข้าหาแด็ก - หมาพุ่งเข้าหาเด็ก.
พง,ก.,ดิ้นจะให้หลุดจากที่ล่าม.
พง,ก.,คำนวณ เช่น ลองพงเนื้อเท่แลถี - ลองคำนวณเนื้อที่ดูซิ.
พง,ก.,เอาใบจากมาซ้อนกันเพื่อมวนยาสูบ.
พ้ง,น.,"กระพุ้ง, ส่วนที่โป่งนูนออก หรือส่วนที่กว้างสุดของภาชนะ เช่น ไห โอ่ง ข้อง เป็นต้น"
พ้ง,น.,รูปแบบอย่างหนึ่งของการเล่นไพ่ผ่องไทย.
พ้ง,น.,เรียกผลไม้ที่ออกลูกคราวแรกมีขนาดใหญ่ว่า พ้ง
พ้ง,ก.,เรียกการวิดปลาในบึงหนแรกว่า “ วิดพ้ง ”.
พ้ง,ก.,ขออาศัย เช่น ขอพ้งไปกัน - ขอไปด้วย
พงพาน,น.,"โพงพาง, เครื่องมือดักสัตว์น้ำชนิดหนึ่ง เป็นถุงตาข่ายรูปยาวรี ใช้ผูกกับเสาใหญ่ ๒ ต้น ที่ปักขวางลำน้ำสำหรับจับปลากุ้งทุกขนาด."
พญากระรอก,น.,ชื่อสัตว์ชนิดหนึ่งคล้ายกระรอก แต่ตัวใหญ่กว่า (ดู พับแมว).
พญากระรอก,น.,ชื่อสัตว์ชนิดหนึ่ง คล้ายกระรอก แต่ตัวใหญ่กว่า ชอบเก็บตัว
พญาชิงเมือง,น.,"ต้นสาบเสือ, ชื่อไม้ล้มลุก เป็นวัชพืชชิ้นทั่วไป ใบมีกลิ่นเหม็น ใช้ทำยาได้"
พญาชิงเมือง,น.,ต้นสาบเสือ (ดู ขึ้ไก น. ๓.).
พญานาคราช,น.,ชื่อเฟิน วงศ์ Advalliaceae ใบประกอบสามชั้น.
พญารากดำ,น.,ชื่อไม้ล้มลุก วงศ์ Onagraceae ใบเดี่ยวเรียงสลับ ดอก ๕ กลีบ สีเหลืองสด ผลคล้ายกระบอง ปลายมน โคนเรียวแคบ
พด,น.,เปลือกมะพร้าว
พด,น.,"ขนด, โคนหางงู, งูที่ขดตัว."
พด,ก.,ขดตัว เช่น นอนพด
พด,ก.,ดัดให้ได้รูปทรง เช่น พดแบ็ด - ดัดเหล็กทำเบ็ด.
พดกริช,น.,ชื่อลายชนิดหนึ่ง เป็นเส้นยาวคดไปมาอย่างรูปกริช
พดกริช,น.,ชื่อลายชนิดหนึ่ง เป็นเส้น ๆ ยาวคดไปคดมาอย่างรูปกริช.
พน,น.,ชื่อหวายชนิดหนึ่ง เส้นโต.
พ้นเที่ยง,น.,ช่วงเวลาหลังเที่ยง
พนม,น.,โกศที่ทำด้วยไม้ใช้บรรจุกระดูกของผู้เสียชีวิต (น.ธ.).
พบ,ก.,"ประสบ, เจอะ, เจอ."
พบกันแหละ,สำ.,ได้เจอดีกันแหละ เช่น หมึงฉ้อกูได้พบกันแหละ – มึงโกงกู ได้เจอดีกันละ.
พบเมฺล่อ,สำ.,สมน้ำหน้า
พรก,น.,"กะลา, ส่วนแข็งที่หุ้มเนื้อมะพร้าว (เทียบ ม. porok)"
พรกขี้ยาง,น.,ภาชนะรับน้ำยางทำด้วยกะลา
พรกเคย,น.,ภาชนะสำหรับละลายกะปิในการปรุงอาหาร
พรกดำ,สำ.,"มีอายุมาก, แก่แล้ว."
พรกทัด,น.,"รางบรรทัด, ภาชนะใส่สีเพื่อชุบด้ายหรือเชือกสำหรับตีเส้น"
พรกทัด,ว.,ใช้เป็นสำนวนเปรียบเทียบว่า “ ดำเหมือนพรกทัด ”.
พรกผู้,น.,กะลามะพร้าวด้านที่ไม่มีรู.
พรกแพร็ก,ว.,"อ่อนเพลีย, ไม่มีแรง."
พรกมือ,น.,อุ้งมือ
พรกยาง,น.,ภาชนะรับน้ำยางทำด้วยกะลา
พรกลอด,น.,เครื่องมือทำขนมลอดช่อง ใช้กะลาเจาะรูจำนวนหนึ่งให้รูได้ขนาดเท่าขนมลอดช่อง กระหนาบด้วยไม้ เป็นด้ามสำหรับมือถือ.
พรกลา,น.,เครื่องมือทำขนมลา ใช้กะลาเจาะรูเล็ก ๆ กระหนาบด้วยไม้ เป็นด้ามสำหรับมือถือ.
พรกลายเคย (น.ศ.),น.,ภาชนะสำหรับละลายกะปิในการปรุงอาหาร
พรกเหมีย,น.,กะลามะพร้าวด้านที่มีรู.
พรกเหมีย,ว.,เรียกการเข้าไคลของผลไม้ว่า “ เข้าพรก ”.
พรง,น.,"ป่ารก, ดงหญ้าหรือดงไม้ที่เป็นหมู่ ๆ หรือที่รก ๆ"
พรง,น.,ป่ารก (ดู พง น. ๓.).
พร่น,ก.,"พ่น, ห่อปากเป่าให้สิ่งใดสิ่งหนึ่งในปากออกมาเป็นฝอย เป็นต้น (ช.พ.)."
พรม,น.,ปลาตะเพียนขาว.
พรม,น.,"พรม, เครื่องปูลาดทำด้วยขนสัตว์."
พรม,น.,พรมน้ำมัน (เสื่อน้ำมัน).
พรม,ก.,"ประพรม, เอาสิ่งที่มีลักษณะเป็นน้ำประโปรยให้กระจายเป็นเม็ดเล็ก ๆ."
พรวด,น.,ชื่อผึ้งพันธุ์หนึ่ง ทำรังในโพรง (ภ.ก.)
พรวด,น.,ชื่อผึ้งพันธุ์หนึ่ง ทำรังในโพรง (ดู ครวด).
พรวน,น.,เงาะพันธุ์หนึ่ง ผลเล็ก รสเปรี้ยว ไม่ล่อน (ดู ลวน).
พรวน,น.,"ลูกพรวน, โลหะทำเป็นรูปกลมกลวง มีลูกกลิ้งเล็ก ๆ อยู่ข้างในเพื่อให้เกิดเลียง ใช้ผูกคอสัตว์หรือข้อเท้า เป็นต้น"
พรวน,ก.,"ทำให้ร่วน, คุ้ยดินให้เป็นกลุ่มล้อมต้นไม้, ใช้จอบหรือเสียมขุดดินให้ร่วนซุย เช่น พรวนดิน."
พรวน,ว.,"เป็นทิวแถว, เป็นหมู่พวก เช่น มากันเป็นพรวน."
พรวน,ว.,มาก เช่น ตายเป็นพรวน - ตายมาก.
พรวน,ว.,"หลวม, ไม่แน่น เช่น รถคันนี้พรวนจังแล้ว - รถคันนี้ (ชิ้นส่วนต่าง ๆ) หลวมมากแล้ว."
"พรวน (ป.น., ย.ล.)",น.,เงาะพันธุ์หนึ่ง ผลเล็ก รสเปรี้ยว ไม่ล่อน
พร่อง,ว.,"ลดปริมาณลง, ไม่เต็มตามอัตราเพราะลดหรือขาดไป เช่น ข้าวพร่องหม้อ."
พร่องแพร่ง,น.,หวั่นไหว
พรอม,น.,แนวสันหลังคา (ช.พ.).
พร้อม,น.,เครื่องจักสานขนาดใหญ่สำหรับครอบขังไก่ เป็ด เป็นต้น
พร้อม,น.,เครื่องจักสานขนาดใหญ่ สำหรับครอบขังไก่ (ดู ค้อม น.).
พร็อม,น.,ชื่อโรคพืชชนิดหนึ่งที่เกิดกับพืชตระกูลถั่ว เรียก “คร็อมลง”
พร็อม,น.,ชื่อโรคพืชชนิดหนึ่งที่เกิดกับพืชตระกูลถั่ว (ดู คร็อม).
พร้อย,ว.,"เป็นจุด ๆ, เป็นดวง ๆ, ประไปทั่ว, ลายกระเป็นจุดประปราย เช่น ตัวลายพร้อย - ตัวลายเป็นดวง ๆ."
พระ,น.,"พระสงฆ์, พระพุทธรูป, พระเครื่อง."
พระขรรค์,น.,"ไม้ไผ่เหลาแบนคล้ายพระขรรค์ ใช้ตัดรวงผึ้ง (ก.บ., พ.ง.)."
พระเข,น.,ดวงจันทร์
พระเข,น.,ดวงจันทร์.
พระเข,น.,ดวงวิญญาณที่เข้าสิงในคนทรง (ภ.ก.).
พระเขน,น.,ดวงจันทร์
พระเขน,น.,ดวงจันทร์.
พระเขน,น.,ดวงวิญญาณที่เข้าสิงในคนทรง (ภ.ก.).
พระเด็จ,น.,ช่วงเวลาเช้าในวันลากพระ ซึ่งจะมีการแห่พระออกจากวัด เพื่อให้ประชาชนได้สรงน้ำพระ.
พระโทงเทง,น.,พระจีนที่เข้าทรงคนทรง.
พระนาย,น.,พระเถระหัวหน้าในการนั่งปริวาส.
พระนายหน้า,น.,นักสวดคฤหัสถ์ขี้เมา.
พระเบิกทาง,น.,พระนำขบวนแห่ศพไปป่าช้า.
พระพรน,ก.,"ดิ้นรน, ดั้นด้น, อุตสาหะ (ภ.ก.)."
พระมี,น.,ชื่อไม้ล้มลุกชนิดหนึ่ง ชอบขึ้นในที่ชื้นแฉะตามทุ่งนา ทั้งใบและลำต้นมีรสขม นิยมนำมาต้มแล้วยำกับน้ำกะทิ ใช้กินเป็นอาหาร (น.ธ.).
พระยืนบาตร,น.,พระภิกษุออกบิณฑบาต.
พระยืนบาตร,สำ.,คนมีครรภ์.
พระรุกขมูล,น.,พระที่ถือธุดงค์อยู่ที่โคนไม้ (น.ธ.).
พระรู,น.,นักสวดคฤหัสถ์ขี้เมา.
พระลาก,น.,พระพุทธรูปที่ประดิษฐานในเรือพระในประเพณีชักพระ.
