คำ,POS,ความหมาย
ฟก,ว.,"บวม, ช้ำ, โน เช่น หัวฟก - หัวโน, โถกชกฟกทังตัว - ถูกต่อยช้ำบวมทั้งตัว."
ฟอก,ก.,ทำให้สะอาดหมดจด.
ฟ่อน,ลัก.,ลักษณนามของกล้าข้าวที่มัดรวมกันเป็นมัดเล็ก ก่อนที่จะมัดเป็นมัดใหญ่ (ดู ฟัด).
ฟ่อน,ลัก.,ลักษณนามของกล้าข้าวที่มัดรวมกันเป็นมัดเล็ก ก่อนที่จะมัดเป็นมัดใหญ่
ฟ้อแหนม,น.,"ช่างฟิต, ช่างแก้เครื่องยนต์ (อ., ภ.ก.)."
ฟัก,น.,"ฟัก, ชื่อไม้เถาชนิดหนึ่ง ผลใหญ่รูปกลมหรือรี เมื่อแก่ผิวแข็งมีคราบขาว กินได้ เมล็ดใช้ทำยา มีหลายพันธุ์ ต่างกันที่ลักษณะของผล."
ฟักข้าว,น.,ชื่อฟักชนิดหนึ่ง ในวงศ์ Cucurbitaceae ต้นเป็น เถา ผลมีหนามคล้ายขนุน แต่ขนาดเล็ก.
"ฟักงาข้าง (ภ.ก., พ.ง.)",น.,"ฟักเขียว, ชื่อไม้เถา ผลใหญ่ รูปกลม หรือรี เมื่อแก่ผลแข็งมีคราบขาว กินได้ เมล็ดใช้ทำยาได้ มีหลายพันธุ์"
ฟักงาช้าง,น.,ฟักเขียว.
ฟักงาช้าง,ก.,กกไข่ให้เป็นตัว.
ฟัง,ก.,"ฟัง, ตั้งใจสดับ, คอยรับเสียงด้วยหู, ได้ยิน."
ฟัง,ก.,"หยุด, ชะงัก เช่น กินยาเท่าใดก้าไม่ฟัง - กินยาเท่าใด (โรค, อาการไข้) ก็ไม่หาย."
ฟัง,ก.,เชื่อฟัง เช่น ว่าไม่นอนสอนก้าไม่ฟัง.
ฟังขาว,ก.,"ไปถามข่าว, ฟังเรื่องราว."
ฟังไม่โถก,ก.,"ฟังไม่เข้าใจ, ฟังไม่รู้เรื่อง"
ฟัด,*ก.,"เหวี่ยง, ฟาด, ขว้าง, สะบัดไปมา เช่น ฟัดข้าว."
ฟัด,*ก.,"เลิกร้าง, หย่า."
ฟัด,*ก.,ต่อสู้ เช่น หมาฟัดกัน
ฟัด,*ก.,ปลุกปลํ้า เช่น ฟัดหญิง - ปลุกปลํ้าผู้หญิง.
ฟัดกุบ,สำ.,แพ้พนันจนหมดตัว.
ฟัดราว,ก.,การแข่งขันขว้างราวไม้ ซึ่งมีเม็ดมะม่วงหิมพานต์ ลูกสวาด เป็นต้น วางอยู่ ใครขว้างได้มากกว่าเป็นผู้ชนะ
ฟัดราว,น.,การเล่นแข่งขันขว้างราวไม้ซึ่งมีเม็ดหินเมล็ดมะม่วงหิมพานต์ ลูกสวาด เป็นต้น วางอยู่ ใครขว้างได้มากกว่าเป็นผู้ชนะ
ฟัดราว,น.,การเล่นแข่งขันโดยขว้างสิ่งของที่วางไว้บนราวไม้.
ฟัดหมก,น.,การฟัดในการเล่นลูกข่าง.
ฟัดเหลี่ยม,น.,ชั้นเชิงหรือเล่นเชิง.
ฟัดเหลี่ยม,ลัก.,ลักษณนามของกล้าข้าวที่มัดรวมกันเป็นมัดเล็ก ก่อนที่จะมัดเป็นมัดใหญ่
ฟัน,น.,"ฟัน, กระดูกเป็นซี่ ๆ อยู่ในปากสำหรับกัดฉีก เคี้ยวอาหาร."
ฟัน,น.,การพนันที่มีการฟันหรือทาย.
ฟัน,ก.,"ฟัน, เอาของมีคม เช่น ดาบ ฟาดลงไป."
ฟั่น,ก.,"ฟั่น, คลึงสิ่งเป็นเส้นหลายเส้นให้เข้าเกลียวกัน."
ฟันเขี้ยว,น.,ฟันเขี้ยว เป็นฟันที่อยู่ระหว่างฟันหน้ากับกราม
ฟันเขี้ยว,น.,เขี้ยว
ฟันครกสี,น.,ซี่ฟันของครกสีสำหรับบดข้าวเปลือกให้แตก ซึ่งทำจาก ไม้เนื้อแข็ง ขนาดประมาณ ๕ X ๘ นิ้ว เวลาตอกฝังลงไปในรูของครกสีจะใส่ดินเหนียวผสมเกลือลงไปด้วย
ฟันควาย,ก.,การชกด้วยหมัดเหวี่ยงทางข้าง (สะวิง) เทียบกับคำกลาง ได้แก่คำว่า เหวี่ยงควาย.
ฟันตัด,น.,ฟันเขี้ยว เป็นฟันที่อยู่ระหว่างฟันหน้ากับกราม
ฟันตัด,น.,เขี้ยว
ฟันเตา,ก.,ฟันไม้ซุงให้เป็นเหลี่ยมเพื่อสะดวกในการเลื่อยแปรรูป
ฟันทอง,น.,ฟันเลี่ยมทอง.
ฟันทา,ก.,ฟันไม้อย่างหยาบ ๆ ก่อนถากให้เรียบ
ฟันทูน,น.,"ฟันยื่น, ฟันเขยิน"
ฟันพาไร่,ก.,ฟันกิ่งไม้มาเก็บเป็นกอง.
