คำ,POS,ความหมาย
มง,น.,"ไต้สำหรับจุดไฟให้มีควันรมผึ้งหรือไล่ยุง (ก.บ., พ.ง.)."
มง,น.,"ชื่อปลาทะเล มีหลายชนิด เช่น มงแก้มบาง, มงเลือด, มงก๋ง เป็นต้น (ภ.ก.)."
มง,ก.,ตั้งท้อง ส่วนมากใช้กับสัตว์ ถ้ากับคนก็เป็นการล้อเลียนหรือดูหมิ่น
ม่ง,ก.,ตาย
มงเค,น.,ต้นสำเหร่ หรือต้นโคลงเคลง ดอกสีชมพูหรือม่วงแดง
มงเคล,น.,ต้นสำเหร่ หรือต้นโคลงเคลง ดอกสีชมพูหรือม่วงแดง
มงยอย,ว.,"อ่อนแอ, ทรุดโทรม (ดู มอยยอย)."
มงยอย,ว.,"อ่อนแอ, ทรุดโทรม เช่น ปีนี้แลมอยยอยจ้าน - ปีนี้ดูทรุดโทรมมาก"
มด,น.,ชื่อปลาชนิดหนึ่ง.
มด,น.,"มด, ชื่อแมลงหลายชนิด ส่วนท้องปล้องที่ ๑ หรือปล้องที่ ๑ และปล้องที่ ๒ ซึ่งติดกับอกคอดกิ่ว ด้านหลังปล้องท้องดังกล่าวมีโหนกสูงขึ้น ซึ่งอาจจะโค้งมนหรือเป็นแผ่นแบน ลักษณะนี้ทำให้มดแตกต่างไปจากต่อ แตนและ ปลวก."
มด,น.,ขนมสอดไส้ชนิดหนึ่ง.
มดคันร้อน,น.,มดคันไฟ
มดคันริ้น,น.,"มดตัวเล็กกว่ามดคันไฟ ตัวสีแดง กัดเจ็บและคันเหมือนริ้นกัด (ภ.ก., พ.ง.)."
มดชิด,น.,ชื่อแมลงชนิดหนึ่ง มีหลายขนาด มีขามาก สีคล้ำ เวลาสัมผัสจะม้วนตัวกลมแบบตัวนิ่ม
มดชิด,น.,ชื่อแมลงชนิดหนึ่ง (ดู ชิด น. ๒.).
มดตรอด,น.,มดชนิดหนึ่ง ตัวเล็ก สีดำ ชอบทำรังบนต้นไม้ นิยมเอามาเป็นเหยื่อล่อปลา.
มดเยี่ยวแมว,น.,มดที่เกาะกินขนมและของหวาน มีกลิ่นเหม็น.
มดลิ้นไก่,น.,มดลิ้นตัวขนาดใหญ่ บางแห่งใช้เรียกปลวกตัวโตว่ามดลิ้นไก่ด้วย.
มดสาร,น.,มดขนาดเล็ก ชอบอยู่ในถังข้าวสารหรือในหนังสือ.
มดหนอย,น.,มดตะนอย มีอวัยวะสำหรับต่อยแล้วปล่อยน้ำพิษทำให้เจ็บปวด สีดำ ทำรังอยู่เป็นฝูงตามกอหญ้าใต้ก้อนหิน หรือตามใต้ดินที่ชื้น.
มดโหย่งหย้าง,น.,มดชนิดหนึ่ง สีน้ำตาล ขายาว.
มน,ว.,"กลม ๆ, โค้ง ๆ, ไม่เป็นเหลี่ยม เช่น หน้ามน - หน้ากลม."
ม่นเสา,น.,ต้นกันเกรา (ดู ตำเสา).
ม่นเสา (น.ธ.),น.,"ต้นกันเกรา, ชื่อไม้ต้นชนิดหนึ่ง (Fagraea fragans) ในวงศ์ Potaliaceae ชอบขึ้นในที่ชื้นแฉะ ใบสีเขียวแก่ ค่อนข้างหนา ใบยาวราว ๕ - ๗ เซนติเมตร ดอกสีขาวหรือขาวเหลือง มีกลิ่นหอม ดอกเป็นช่อแน่น ผลโตเท่าเมล็ดถั่วลันเตา เมื่อผลสุกจะมีสีแดง เนื้อไม้ละเอียดแน่นใสเป็นมัน แข็ง ทนทานใช้ทำเครื่องเรือน"
มบ,น.,"คบเพลิง, ของใช้สำหรับจุดไฟให้สว่าง ทำด้วยของแห้ง เช่น ใบไม้หรือขี้กบ เป็นต้น เอามามัดเป็นดุ้นยาว"
มบ,น.,น้ำตาลปึกที่ใส่กระบอก
มบ,น.,การกระทำทางไสยศาสตร์ เพื่อให้เกิดผลเสียหายแก่ฝ่ายตรงข้าม เช่น นั่งเมฺล่อเหมือนคนถูกมบ – นั่งเซ่อเหมือนคนถูกกระทำทางไสยศาสตร์.
มบ,น.,ไม้ที่ปักหมายไว้เป็นแนวสำหรับปลูกพืชหรือปลูกสร้างสิ่งต่าง ๆ.
มบ,น.,คบเพลิง (ดู คบ น. ๑).
มบ,น.,น้ำตาลปึกที่ใส่กระบอก (ดู งบ น. ด.).
มวง,น.,"ชะมวง, ชื่อไม้ต้น ใบมีรสเปรี้ยว ใช้เป็นอาหารได้."
ม่วง,น.,"มะม่วง, ชื่อไม้ต้น มีหลายชนิดและหลายพันธุ์."
ม่วง,น.,ชื่อฝีที่โคนขาหนีบ เกิดจากต่อมน้ำเหลือง ได้รับการติดเชี้อกามโรค เรียก ฝีมะม่วง.
ม่วง,ว.,สีน้ำเงินปนแดง.
ม่วงกรีด,น.,ชื่อไม้ต้นขนาดกลาง ผลมีรสเปรี้ยว (ดู มะปริด).
ม่วงกรีด,น.,ชื่อไม้ต้นขนาดกลางชนิดหนึ่ง ผลมีรสเปรี้ยว
มวงกวาง,น.,ชื่อไม้ต้นชนิดหนึ่ง ลำต้นตรง มักนิยมนำมาใช้ทำเสาบ้านเสาเข็ม.
ม่วงกะล่อน,น.,มะม่วงชนิดหนึ่งลำต้นใหญ่ ผลเล็กกลม มียางมาก เปลือกหนา
ม่วงขี้ไต้,น.,มะม่วงชนิดหนึ่งลำต้นใหญ่ ผลเล็กกลม มียางมาก เปลือกหนา
ม่วงควาย,น.,ชื่อไม้ต้นขนาดกลาง ผลมีรสเปรี้ยว (ดู มะปริด).
ม่วงควาย,น.,ชื่อไม้ต้นขนาดกลางชนิดหนึ่ง ผลมีรสเปรี้ยว
ม่วงคัน,น.,มะม่วงชนิดหนึ่งลำต้นใหญ่ ผลเล็กกลม มียางมาก เปลือกหนา
ม่วงชัน,น.,ชื่อมะม่วงชนิดหนึ่ง ผลเล็ก เนื้อไม่มีเสี้ยน เมื่อสุกมีกลิ่นหอมแรง
ม่วงชัน,น.,ไต้ (ดู ขี้ไต้ น. ๓.).
ม่วงชุนหัว,น.,มะม่วงหิมพานต์
ม่วงชุนหัว,น.,มะม่วงหิมพานต์ (ดู ยาร่วง).
ม่วงทูนหนวย,น.,มะม่วงหิมพานต์ (ดู ยาร่วง).
ม่วงทูนหนวย (ส.ฎ.),น.,มะม่วงหิมพานต์
ม่วงเบา,น.,มะม่วงชนิดหนึ่ง ออกผลเป็นช่อ.
ม่วงมุด,น.,มะม่วงชนิดหนึ่ง ลูกกลมโต กลิ่นหอม เนื้อคล้ายมะมุด แต่อร่อยกว่า
ม่วงมุด,น.,"มะม่วงชนิดหนึ่ง ลูกกลมโต กลิ่นหอม เนื้อคล้ายมะมุด แต่อร่อยกว่า (ภ.ก., พ.ง.)"
ม่วงยางหุย,น.,มะม่วงหิมพานต์
ม่วงยางหุย,น.,มะม่วงหิมพานต์ (ดู ยาร่วง).
ม่วงล่อ,น.,มะม่วงหิมพานต์ (ดู ยาร่วง).
ม่วงเล็ดล่อ,น.,มะม่วงหิมพานต์
มวน,น.,ชื่อไม้เถาชนิดหนึ่ง
มวน,น.,ชื่อแมลงชนิดหนึ่ง กลิ่นเหม็น ชอบกินผิวส้ม.
มวน,ก.,"มวน, ม้วนเส้นยาสูบด้วยใบตองหรือใบจากให้เป็นบุหรี่ เช่น มวนยา."
มวน,ก.,รู้สึกป่นป่วนอยู่ในท้อง.
มวนชิด,น.,ชื่อแมลงชนิดหนึ่ง มีหลายขนาด มีขามาก สีคล้ำ เวลาสัมผัสจะม้วนตัวกลมแบบตัวนิ่ม
มวนชิด,น.,ชื่อแมลงชนิดหนึ่ง (ดู ชิด น. ๒.).
มวนเมียน,ว.,"ยุ่ง, ไม่เป็นระเบียบ เช่น วัวควายเดินเหยียบหญ้ามวนเมียนหมด"
มวนเมียน,ว.,เกี่ยวพันกันไป.
มวนเมียน,ว.,ด้อม ๆ มอง ๆ เช่น ไม่โร้ไคเที่ยวมวนเมียนอยู่แถวหนี้ - ไม่รู้ใครเที่ยวด้อม ๆ มอง ๆ อยู่แถวนี้.
มวนหยา,น.,บุหรี่ (ดู ยาสูบ).
มวนหยา (ภ.ก.),น.,"บุหรี่, ยาสูบที่ใช้ใบตองหรือกระดาษมวนใบยาที่หั่นเป็นฝอย"
มวม,ว.,ลักษณะของคนที่แก่มากจนทำอะไรไม่ไหว.
มวม,ว.,"งอม, ลักษณะของคนที่แก่มากจนทำอะไรไม่ไหว (ดู งอม)."
ม้วม,ว.,"(เคี้ยว) ตุ้ย ๆ, อาการที่เคี้ยวอาหารเต็มปากจนแก้มโป่งออกมา."
ม้วย,ก.,ตาย
มอ,ว.,เต็มปริ่ม เช่น น้ำมอโอ่ง.
ม่อง,ก.,ตาย
ม่อง,ก.,ตาย (ดู ม่ง)
ม็อง,ลัก.,มวน เช่น ยา ๑ ม็อง - ยา ๑ มวน.
ม็องคล่อ,ว.,อาการที่ไก่เป็นโรคระบาด.
ม็องคล่อ,ว.,"เงื่องหงอย, อาการที่ไก่เป็นโรคระบาด (ดู คร็องคร่อ)."
ม็องเคราะ,ว.,สกปรกรุงรัง (คู ม้อร็อง).
ม็องเคราะ (น.ธ.),ว.,"สกปรกรุงรัง เช่น แด็กคนนี้อยู่ม้อร็องไม่น่าอุ้ม, คนนั้นแต่งตัวม้อร็องไม่น่าดู"
ม็องช็อง,ว.,อ้วนเทอะทะ
ม็องช็อง,ว.,"เปื้อนเปรอะ, สกปรก."
ม็องแซ็ง,ว.,"เฉื่อยชา, เซื่องซึม (น.ธ)."
ม็องเถง,ก.,ตาย
ม็องเถง,ก.,ตาย (ดู ม่ง).
ม่องเท่ง,ก.,ตาย
ม่องเท่ง,ก.,ตาย (ดู ม่ง).
ม็องมัง,น.,ตะลิงปิง (ดู ลิงปิง).
ม็องแม็ง,น.,ตะลิงปิง (ดู ลิงปิง).
ม็องแม็ง,ว.,มอมแมม.
ม็องแม็ง,ว.,กิริยาท่าทางอิดโรย ไม่สดชื่น.
ม่อฉี้ฉี,ก.,"พังทลาย, ตาย"
ม้อฉี้ฉี,ก.,"พังทลาย, ตาย (ดู บีลี่คี)."
มอชิด,น.,ชื่อแมลงชนิดหนึ่ง มีหลายขนาด มีขามาก สีคล้ำ เวลาสัมผัสจะม้วนตัวกลมแบบตัวนิ่ม
มอชิด,น.,ชื่อแมลงชนิดหนึ่ง (ดู ชิด น. ๒.).
มอด,น.,"สว่าน, เครื่องมือช่างไม้ปลายเป็นเกลียวแหลม สำหรับเจาะไช"
มอด,น.,สว่าน (ดู ดอกบิด).
มอด,น.,"ตัวมอด, ชื่อแมลงขนาดเล็กหลายชนิด ที่เจาะกินเข้าไปในวัตถุต่าง ๆ ทำให้เกิดเป็นรูพรุนทั่วไป กับทั้งมีวัตถุผสมมูลขับถ่ายออกมาเป็นขุยเป็นเม็ดเล็ก ๆ เรียก ขี้มอด ส่วนใหญ่เป็นแมลงปีกแข็ง."
มอด,ก.,หยิบเอาของคนอื่นไปบางส่วนไปเป็นของตน เช่น มอดตางค์.
มอด,ก.,หรี่จวนจะดับ เช่น ไฟมอดลงแล้วนั่นเปาเข้าทีต้า – ไฟหรี่จวนจะดับแล้วเป่าเข้าอีกทีซิ
