คำ,POS,ความหมาย
ยก,น.,"ยก, กำหนดช่วงระยะเวลาหนึ่ง ๆ หรือจำนวนหนึ่ง."
ยก,ก.,"เอาขึ้นให้สูงจากที่เดิมทั้งโดยตรงและโดยปริยาย, เคลื่อนไป, พากันไป, งดเว้น, เพิกถอน."
ยกไก,สำ.,"ยอมแพ้, เลิก."
ยกขนทง,ก.,อาการของไก่ที่ยกขนบนหัว แสดงอาการยอมแพ้.
ยกขนหยอก,ก.,อาการของไก่ที่ยกขนบนหัว แสดงอาการยอมแพ้.
ยกข้อ,สำ.,"อวดเบ่ง, อวดเก่ง เช่น อ้ายนี่ยกข้อจ้าน - อ้ายนี่อวดเบ่งมาก."
ยกขึ้น,ก.,ลุกขึ้น
ยกเครื่อง,ก.,ประโคมดนตรีเพื่อเอาฤกษ์ก่อนออกเดินทางไปแสดงของหนังตะลุง มโนราห์ ฯลฯ.
ยกเครื่อง,ก.,ทำสาว.
ยกเครื่อง,ก.,เข้าโรงพยาบาลเพื่อตรวจรักษาร่างกาย.
ยกแคล่,สำ.,"หย่าร้าง, เลิก"
ยกใจ,ว.,"ได้ใจ, เหลิง (ดู เอิด)."
ยกทง,สำ.,"คึก, สู้ ใช้กับอวัยวะเพศ."
ยกที่,ก.,ยกสำรับอาหาร.
ยกพาย,สำ.,หย่าร้าง.
ยกยอ,ก.,การจับปลาอย่างหนึ่ง นำยอขึ้นจากน้ำด้วยการยก.
ยกย่าง,ก.,เดิน เช่น จำจิตจำใจยกย่างไปไหน หัวใจอย่าลืมหนังสือ จำ ๆ ๆ ๆ.
ยกย้าย,สำ.,ย้ายบ้าน.
ยกร้าน,สำ.,"หย่าร้าง, เลิก"
ยกเลิก,ก.,"เพิกถอน, ไม่ใช้ต่อไป."
ยกแล่,สำ.,"หย่าร้าง, เลิก"
ยกหนำ,สำ.,"หย่าร้าง, เลิก"
ยกหยอก,ก.,อาการของไก่ที่ยกขนบนหัว แสดงอาการยอมแพ้.
ยกหอพาย,สำ.,"หนีตามชายชู้, ย้ายไปอยู่ที่อื่น."
ยกหอพาย,สำ.,ปลูกสร้าง เช่น ยกเริน - ปลูกบ้าน
ยกหอพาย,สำ.,"เริ่มต้น เช่น ยกข้อ - ยกเอานิยายขึ้นมาแสดง, เริ่มหัวข้อใหม่."
ยกหอพาย,สำ.,เก็บ เช่น ยกไว้กัน - เก็บไว้ด้วย.
ยกหอพาย,สำ.,มอบ เช่น ยกโลกสาวให้ผัว - ยินยอมมอบลูกสาวให้แก่ผู้มา สู่ขอ.
ยกหอพาย,ลัก.,ลักษณนามของระยะเวลาในการแข่งขันกีฬาบางชนิด เช่น มวยชก ๕ ยก.
ยกหฺมฺรับ,ก.,ยก สำรับ
ยกหฺมฺรับ,ก.,ยกสำรับไปถวายพระในวันสารท.
ยกหฺวัก,ก.,"แผ่แม่เบี้ย, แผ่พังพาน"
ยกหฺวัก,สำ.,แสดงท่าทีฮึดฮัดจะสู้.
ยง,น.,ชื่อไม้ล้มลุกจำพวกหญ้าคล้ายเลา.
ยง,ก.,การคนข้าวในหม้อด้วยไม้พายให้ข้าวสุกระอุ
