คำ,POS,ความหมาย
รก,น.,"รก, อวัยวะสำหรับหล่อเลี้ยงห่อหุ้มเด็กในครรภ์ แนบอยู่กับมดลูก มีสายล่ามมาที่สะดือเด็ก."
รก,น.,สิ่งที่เป็นเส้นคล้ายรากไม้ที่ห้อยอยู่ตามกิ่งไม้บางอย่าง หรือบางทีเป็นแผ่นห่อกาบไม้ เช่น รกพร้าว.
รก,ว.,"รกรุงรัง, ที่กระจัดกระจายอยู่เกลื่อนกลาดไม่เป็นระเบียบเรียบร้อย."
รก,ว.,หาเรื่อง เช่น หาที่รก - ไปหาเรื่องกับคนอื่น.
รกช้าง,น.,"กะทกรก, ชื่อไม้พุ่มรอเลื้อย ตามลำต้นมีหนามห่างๆ ใบรูปไข่หรือรี ๆ ดอกเล็กสีขาว อยู่เป็นกระจุกที่ง่ามใบ ผลกลมหรือรีขนาดเท่าเม็ดบัว เขื่อง ๆ เป็นสมุนไพร"
รกแร็ก,ว.,"ไม่เป็นชิ้นเป็นอัน, ไม่อยู่นิ่ง, ชักช้า, กะปริดกะปรอย เช่น ฝนตกสกแส็ก - ฝนตกกะปริดกะปรอย"
รกแร็ก,ว.,"กะปริดกะปรอย, อาการที่ฝนตกน้อย ๆ, ตก ๆ หยุด ๆ (ดู สกแส็ก)"
รกอกรกใจ,ว.,"กวนใจ, ไม่สบายใจ."
รง,ว.,เสื่อม ใช้กับเครื่องรางของขลัง เช่น เครื่องรางรง – เครื่องรางเสื่อมอิทธิฤทธิ์.
รด,ก.,เท ราด สาด ฉีด หรือโปรยน้ำหรือของเหลวไปยังสิ่งใดสิ่งหนึ่งเพื่อให้เปียกหรือให้เปียกชุ่ม.
รดท่อน,ก.,ล้างตัวเพียงท่อนบน.
รดอก,ว.,"ยุ่งใจ, รำคาญใจ."
รถ,ก.,"ยานที่มีล้อสำหรับเคลื่อนไป, ยานพาหนะซึ่งเดินด้วยกำลังเครื่องยนต์ กำลังไฟฟ้า หรือพลังงานอื่น."
รถกุดัง,น.,รถบรรทุก (ภ.ก.)
รถกุดัง,น.,รถบรรทุกขนาดใหญ่ชนิดหนึ่ง.
รถเกราะ,น.,รถถัง
รถขุด,น.,รถแบ็คโฮลด์
รถเครื่อง,น.,รถจักรยานยนต์.
รถงาน,น.,รถบรรทุก (ภ.ก.)
รถจอหนัง,น.,รถบรรทุกชักลากไม้ มีกรอบลี่เหลี่ยมคล้ายจอหนังอยู่ด้านหลัง (ก.บ.)
รถจอหนัง,น.,รถฉายหนังเร่.
รถจิ๊ปยักษ์,น.,รถบรรทุกขนาดใหญ่ ที่รูปทรงส่วนหน้าของรถคล้ายรถจิ๊ปขนาดเล็ก ปัจจุบันรถประเภทนี้ไม่มีให้เห็นแล้ว (ภ.ก.).
รถดุน,น.,รถแทรกเตอร์ที่มีใบมีดหน้า สำหรับเกลี่ยดิน
รถตักดิน,น.,รถแบ็คโฮลด์
รถถีบ,น.,รถจักรยาน
รถทอดิน,น.,รถแทรกเตอร์ที่มีใบมีดหน้า สำหรับเกลี่ยดิน
รถเท,น.,รถบรรทุกชนิดหนึ่ง ที่ยกตัวถังเทของที่บรรทุกได้.
รถป๊าเก๊,น.,"รถนั่งส่วนบุคคล, รถเก๋ง (ภ.ก., พ.ง.)."
รถโป้ต้อง,น.,รถรับจ้างสองแถว.
รถโพ้ถ้อง,น.,รถรับจ้างสองแถว.
รถมาสด้า,น.,รถสองแถว.
รถแม็คโค,น.,รถแบ็คโฮลด์
รถรุน,น.,รถเข็น.
รถล้อรี่,น.,รถบรรทุก (ภ.ก.)
รถล้อลี่,น.,"รถบรรทุก (ขนาดใหญ่ ๖ ล้อขึ้นไปไม่รวมรถปิกอัพ) (ภ.ก., พ.ง.)"
รถวิน (น.ศ.),น.,รถบรรทุกชักลากไม้ มีกรอบลี่เหลี่ยมคล้ายจอหนังอยู่ด้านหลัง (ก.บ.)
รน,ก.,อาการร้องขู่ในสำคอ ใช้กับสัตว์ เช่น เสือมฺรน - เสือคำราม
รน,น.,เรือน (ดู เริน).
รน,ก.,"รีบร้อน, ร้อนรน, นิ่งอยู่ไม่ได้, เร่าร้อน."
รน,น.,"บ้านเรือน, โรงเรือน เช่น บนเริน - บนบ้าน, ชั้นบน"
รบ,ก.,"สู้รบ, สู้กัน, ต่อสู้ในทางศึก."
รบ,ก.,ทะเลาะ เช่น แด็กรบกันเล่า - เด็กทะเลาะกันอีก.
ร่ม,น.,"ร่ม, สิ่งที่ใช้สำหรับกางกันแดด กันฝน มีด้ามสำหรับถือ."
ร่มค้างคาว,น.,ร่มผ้าสีดำคันใหญ่ ๆ เป็นร่มที่ผู้มีอันจะกินใช้ในสมัยก่อน (ภ.ก.)
ร่มดาษ,น.,ร่มที่ทำจากกระดาษ คนทั่วไปจะใช้ร่มชนิดนี้ เพราะราคาถูก (ภ.ก.).
ร่มดาษ,น.,"ร่มเงา, บริเวณที่แดดส่องไม่ถึง."
ร่มดาษ,ก.,"ไม่ทำตามระเบียบกติกา หรือสัญญาที่ตกลงไว้ เช่น ร่มโรงเรียน - หนีโรงเรียน, ร่มเบี้ย - ยืมเงินแล้วไม่ใช้คืน."
ร่มไฟ,น.,เมรุที่สร้างเป็นเสาสี่เสามีผ้าหรือกระดาษสีขาวทำเป็นเพดาน (ดู สามส้าง).
"ร่มไฟ (ป.น., น.ธ.)",น.,เมรุที่สร้างเป็นเสาสี่เสา มีผ้า หรือกระดาษสีขาวทำเป็นเพดาน
รวก,น.,เรียกลูกอ๊อดหรือลูกของสัตว์ครึ่งบกครึ่งน้ำ ในช่วงที่เป็นตัวอ่อนยังมีหางอยู่ว่า “ ลูกรวก ”
รวก,น.,ชื่อไม้ไผ่ชนิดหนึ่ง ขึ้นเป็นกอ ลำเล็กเรียวยาว ไม่มีหนามเรียก “ ไผ่รวก ”.
รวง,น.,ช่อ (ใช้กับข้าว).
รวง,ลัก.,ช่อ เช่น ข้าว ๓ รวง - ข้าว ๓ ช่อ.
รวง,ลัก.,ฝัก เช่น คง ๓ รวง - ข้าวโพด ๓ ฝัก.
ร่วง,ก.,"ร่วงหล่น, ตก เช่น ใบไม้ร่วง, ปีนี้แด็กสอบร่วงกันเป็นแถว – ปีนี้เด็กสอบตกกันเป็นแถว."
รวด,น.,หนองที่เป็นก้อนแข็งอยู่ในเนื้อ เกิดกับแผลอักเสบเรื้อรัง
รวน,ก.,"โยกคลอน, ไม่แน่น เช่น ฟันรวนหมดแล้ว."
รวน,ก.,เอาเนื้อสดหรือปลาสดหั่นเป็นชิ้น แล้วคั่วให้พอสุกเพื่อเก็บเอาไว้แกง เป็นต้น เช่น รวนหมู - เอาเนื้อหมู มาผัดน้ำมันพอสุกเพื่อเก็บเอาไว้ทำกับข้าวมื้อต่อไป.
รวน,ก.,"รบกวน, หาเรื่องทะเลาะ, แสดงกิริยา หรือวาจาชวนวิวาท เช่น มึงอย่าไปรวนเขาเลย."
รวน,ก.,ขยับไปมาเพื่อให้เข้าที่ โดยปริยายหมายถึงหารือ เพื่อหาข้อตกลง เช่น ไหนมารวนกันแลถี - ลองมาหาข้อตกลงกันดีกว่า.
ร่วม,ก.,มีส่วนร่วมอยู่ด้วยกัน.
ร่วมลงโรง,สำ.,ตกลงใจร่วมด้วย.
รส,น.,กลิ่น เช่น ซากนี้ส่งรสแล้ว - ศพนี้ส่งกลิ่นแล้ว.
รส,น.,"รส, สิ่งที่รู้ได้ด้วยลิ้น."
รอ,น.,"เขื่อนหรือคันดินกั้นน้ำ, หลักปักกันกระแสน้ำ."
รอ,ก.,รองรับด้วยมือ เช่น อย่าเอามือไปรอน้ำ.
รอก,น.,"กระรอก, สัตว์เลี้ยงลูกด้วยนม มีฟันแทะ ส่วนใหญ่ตาโต และหูใหญ่ หางยาวเป็นพวง กินผลไม้."
รอก,น.,กระดึงแขวนคอวัว หรือควาย (ส.ข.).
รอก,น.,"ลูกรอก, เครื่องผ่อนแรง รูปคล้ายล้อ มีแกนหมุนได้ รอบตัวที่แกนเป็นร่องสำหรับให้เส้นเชือก หรือเส้นลวดเดินได้สะดวก ใช้สำหรับยก ลาก หรือดึงของหนักให้เบาแรงและสะดวกคล่องขึ้น."
ร็อก,น.,ชื่อปาล์ม วงศ์ Palmae ใบประกอบรูปฝ่ามือ ดอกเล็ก ออกเป็นช่อแยกแขนงตามง่ามใบ ผลค่อนข้างกลม สีน้ำเงินแกมเขียว.
ร็อกคี่,น.,ก้น (ดู วาน น.).
ร็อกคี่ (น.ธ.),น.,"ก้น, ตะโพก, ทวาร"
รอกลอย,ก.,นำกลอยที่ผ่านการหมักเกลือไว้แล้ว ใส่ภาชนะโปร่งไปวางไว้ให้น้ำไหลผ่าน.
รอกลอย,ก.,รอคอย.
รอเก๊าะ,น.,"บุหรี่, ยาสูบที่ใช้ใบตองหรือกระดาษมวนใบยาที่หั่นเป็นฝอย"
รอเก๊าะ,น.,บุหรี่ (ดู ยาสูบ).
รอง,ก.,รองรับ เช่น เอาถุ้งไปรองน้ำ - เอาถังไปรับน้ำ.
ร้อง,ก.,"ร้อง, เปล่งเสียงดัง, โดยปริยายหมายถึงออกเสียงดังเช่นนั้น."
รองคอ,น.,คนถัดไปจากคนแรก ส่วนมากใช้ในวงการพนัน.
รองคอ,น.,รองเจ้าอาวาส.
รองคอ (พ.ง.),น.,รองเจ้าอาวาส
ร็องแง็ง,น.,การละเล่นอย่างหนึ่งของชาวไทยมุสลิม.
ร็องแฉ็ง (ร.น.),ว.,ไม่เป็นระเบียบ เช่น แตงตัวร็องแร็ง - ไม่เอาใจใส่กับการแต่งเนื้อแต่งตัว
รองทรง,น.,ทรงผมผู้ชายที่ตัดข้างล่างสั้นข้างบนยาว.
รองรัง,ก.,การเอาไข่ไก่ไปใส่ไว้ในรัง เพื่อล่อให้ไก่มาวางไข่ โดยปริยายหมายถึงการได้กำไรไว้เป็นทุน ในตอนต้นแล้ว.
รองรัง,ก.,การเล่นการพนันที่ถือข้างฝ่ายเสียเปรียบซึ่งลงทุนน้อยแต่เมื่อชนะจะได้ผลตอบแทนมาก.
รองรัง,ว.,ถัดไป.
ร้องเรือ,น.,เพลงกล่อมเด็ก
ร่องแร่ง,ว.,"ไม่มีที่อยู่แน่นอน, เทียวไปเทียวมา เช่น อยูหนี้ดีหวาไม่พักร่องแร่ง - อยู่ที่นี่ดีกว่าไม่ต้องเทียวไปเทียวมา."
ร็องแร็ง,ว.,ไม่เป็นระเบียบ เช่น แตงตัวร็องแร็ง - ไม่เอาใจใส่กับการแต่งเนื้อแต่งตัว
ร้องส่ง,ก.,เป็นการร้องในการสวดพระมาลัยหน้าศพตอนย่ำรุ่งในคืนสุดท้ายของการบำเพ็ญกุศลศพ เพื่อปลุกญาติของผู้ตายให้ลุกขึ้นมาฟัง โดยผู้ร้องจะต้องรู้ประวัติผู้ตายเป็นอย่างดี แล้วนำมาพรรณนาเป็นเพลงร้องส่ง เพื่อให้ญาติได้สำนึก.
รอด,น.,"คาน, ไม้ที่สอดรูเสาทั้งคู่สำหรับรับกระดานพื้นเรือน."
รอดกลิ้ง,น.,"ตง, ไม้รับตง (พ.ง.)."
รอดขัด,น.,ไม้รอดที่ช่วยรับตงของเรือนที่มีใต้ถุนสูงอยู่ระหว่างรอดของเสา จะใส่ไว้สักกี่ตัวขึ้นอยู่กับน้ำหนักของที่เก็บไว้ในห้องนั้น.
รอดขัด,ก.,"ไม่ตาย, ผ่านพ้นความตายมาได้, เอาชีวิตรอดมาได้ เช่น แม่ตายแต่ลูกรอด."
รอดขัด,ว.,"ได้, สำเร็จ, พ้นไป เช่น ไปไม่รอด - ทำไม่สำเร็จ, พารอด - สามารถเลี้ยงได้."
รอดหยิวรอดกา,สำ.,ปลอดภัย ตรงกับสำนวนที่ว่า รอดปากเหยี่ยวปากกา.
ร่อน,ก.,"ร่อน, แยกของละเอียดออกจากของหยาบโดยใช้เครื่องแยก มีเลียง เป็นต้น แกว่งยักย้ายไปมา เช่น ร่อนแร่."
ร้อน,ว.,"ร้อน, มีความรู้สึกตามผิวหนังเหมือนถูกไฟ เป็นต้น, ตรงข้ามกับเย็น, กระวนกระวายใจ, เร่งรีบ, ช้าอยู่ไม่ได้"
ร้อนทุกข์,ก.,"วิตก, ทุกข์ร้อน, เป็นกังวล."
ร้อนพุง,สำ.,"เคือง, มีเรื่องร้อนใจ เช่น กูร้อนพุงกับคนนี้จริง."
ร้อนไม่หลอด,สำ.,บ้า ๆ บอ ๆ เช่น คนที่พูดพลางหัวเราะไปพลางทั้งที่ไม่ได้ตลกอะไรเลย (ภ.ก.).
ร้อนวาน,สำ.,ร้อนตัว เช่น เขาไม่ได้ว่าตัวที ตัวร้อนวานขึ้นเอง.
ร้อนวาว,ว.,ร้อนวาบ.
ร้อนหัวอก,สำ.,กระหายน้ำ
รอฟัน,ก.,กรอฟัน เช่น หมอฟันเอาหินมารอฟันเสียวจัง - หมอฟันเอาที่กรอฟันมากรอเสียวมาก.
รอม,ก.,ทำให้ปลายทั้ง ๒ ข้างโค้งเข้าหากัน.
รอม,ว.,ปลายทั้ง ๒ ข้างโค้งเข้าหากัน (ภ.ก).
รอมฎอน,น.,เดือนที่ ๙ ของฮิจเราะห์ศักราช ซึ่งชาวมุสลิมทั้งโลกจะถือศีลอดเป็นเวลา ๑ เดือน.
รอย,น.,"รอย, ลักษณะที่เป็นเส้น เป็นริ้ว หรือลวดลาย เป็นต้น ที่ปรากฏอยู่บนพื้นสิ่งใดสิ่งหนึ่ง."
รอย,น.,"ของที่คนอื่นทำไว้, ของเหลือเป็นเดน เช่น กูไม่ทำรอยหมันแหละ - กูไม่ทำต่อจากมันแหละ"
รอยควาย,*น.,ชื่อขนมชนิดหนึ่ง
รอยเดนรอยชาน,น.,"ของเหลือจากผู้อื่น, ของที่ผ่านมือผู้อื่นมาก่อน."
รอยตีนนก,น.,ริ้วรอยที่เกิดขึ้นตามใบหน้าคนแก่
รอยตีนผี,น.,ริ้วรอยที่เกิดขึ้นตามใบหน้าคนแก่
รอเยาะ,น.,ชื่ออาหารชาวไทยมุสลิมภาคใต้อย่างหนึ่ง (ป.น.).
รอแย,น.,ส่วนประกอบท้ายเรือกอและ ใช้สำหรับผูกยึดหางเสือ (ป.น.).
ร่อแร่,ว.,"ป่วยหนัก, เจ็บมาก."
ระ,น.,"มะระ, ชื่อไม้เถาชนิดหนึ่ง ผลขรุขระ รสขม กินได้มี ๒ ชนิด คือ มะระจีน ผลโต และมะระขี้นก ผลเล็ก"
ระ,ก.,การเอามือหรือเท้าไปลากกระทบอะไรบางอย่าง เช่น รั้วสังกะสีที่เป็นลูกคลื่นให้เกิดเสียงดัง (ภ.ก.)
ระ,ก.,"ตัดออก เช่น หลิดกล้วย, หลิดตาไม้ไผ่"
ระ,น.,มะระ (ดู มฺระ).
ระ,ก.,ตัดออก (ดู หลิด ก. ๑.).
ระ,ก.,ทำให้เรียบ เช่น ระเพดาน - กวาดเพดาน.
ระ,ก.,ผ่าน เช่น เดินระมา - เดินผ่านมา.
ระ,ก.,"ไต่ไป, เลื้อยไป เช่น ไม้เถาระขึ้นเครือ"
ระ,ก.,การเอามือหรือเท้าไปลากกระทบอะไรบางอย่าง เช่น สังกะสีที่เป็นลูกคลื่น (ดู หระ ก.).
ระ,ว.,เรี่ยราด เช่น หลนระทาง - ตกเรี่ยราดมาตลอดทาง.
ระกันหม้อ,น.,"เสวียนรองหม้อ, ของใช้ชนิดหนึ่งทำด้วยหญ้า หวายหรือฟาง เป็นต้น ถักหรือมัดเป็นวงกลม มักมีหู ๒ ข้าง สำหรับหิ้ว ใช้รองก้นหม้อที่หุงต้มด้วยเตาฟืนหรือเตาถ่าน"
ระกันหม้อ,น.,เสวียนรองหม้อ (ดู กัน น. ๑.).
ระแก็ด,น.,เนื้อไม้ที่ตัดออกเป็นชิ้น ๆ.
ระคาพุง,ก.,"อิ่ม, หายหิว (น.ธ.)."
