คำ,POS,ความหมาย
ลกกุย,น.,ชื่อไม้ผลชนิดหนึ่ง (ดู ปุย น. ๓.).
ลกกุย (ก.บ.),น.,ชื่อไม้ ผลชนิดหนึ่ง ผลคล้ายสะท้อน แต่เล็กกว่า เมล็ดของผลซึ่งกินได้คล้ายมะไฟ รสหวาน
ลกเก้ง,น.,มะเขือพวง (ดู ลูกแว้ง).
ลกเก้ง (ก.บ.),น.,"มะเขือพวง, ชื่อไม้พุ่มชนิดหนึ่ง ผลเล็ก เป็นพวง กินได้"
ลกเขา,น.,ชื่อไม้ต้นชนิดหนึ่งในจำพวกหูกวาง (ก.บ.).
ลกลก,ว.,อาการที่รีบทำอย่างลุกลน
ลกลัก,ว.,อาการที่รีบทำอย่างลุกลน
ลกลัก,ว.,อาการที่รีบทำอย่างลุกลน (ดู ลกลก).
ลง,ก.,"ตก, ไปสู่เบื้องต่ำ, ไปสู่พื้นดินและพื้นอื่นๆ."
ลง,ก.,ปรากฏ มีขึ้น.
ลง,ก.,ขึ้นอืด เช่น ศพลงแล้ว – ศพขึ้นอืดแล้ว.
ลง,ก.,ยินยอม เช่น ลงคน - ยินยอมตาม.
ลง,ก.,คุ้นเคย เช่น ลงที่ - คุ้นเคยกับสถานที่.
ลง,ก.,ใช้เป็นคำสั่งวัวควายให้เลี้ยวเวลาไถนา.
ลง,ก.,"หยุด เช่น ลงเครื่อง - หยุดบรรเลงดนตรี, ลงทับ - หยุดตีทับ."
ลง,ก.,จับ เช่น คร็อมลง - เพลี้ยจับ (ต้นไม้).
ลง,ก.,"วาง, ปัก เช่น ลงหลอม - นำตาข่ายประเภทอวนไปวางดักปลา."
ลงการ,ก.,เริ่มทำงาน
ลงขันแพ็ด,น.,พิธีทางไสยศาสตร์ โดยใช้ไม้หวายเสกคาถาเพื่อตรวจหาสิ่งของที่สูญหาย
ลงแข้ง,น.,โรคเท้าช้าง.
ลงแข้ง,ก.,"หย่อนลง, ถอยลง, ต่ำลง, ทรุด."
ลงแข้ง,ว.,อาการของไก่ชนที่เดินขาแข็ง.
ลงคลอง,ก.,ระดมคนช่วยจับปลาในคลอง.
ลงคลอง,สำ.,ทำผิดพลาดมาก.
ลงได,สำ.,ออกจากบ้าน.
ลงตีน,ก.,เท้าบวม
ลงตีน,สำ.,"ชีพจรลงเท้า, ต้องเร่ร่อนไป."
ลงเที่ยง,น.,ช่วงเวลาที่ชาวนาเริ่มทำงานหลังจากหยุดพักรับประทานอาหารเที่ยง ประมาณ ๑๓.๐๐ นาฬิกา.
ลงไทรห้อย,ก.,การแสดงของมโนราห์ที่ไต่เชือกที่ห้อยไว้แล้ว ใช้เท้าเหนี่ยวเชือกเอาไว้ ห้อยหัวลงมาโดยที่มือยังแสดงท่ารำตามจังหวะ (ภ.ก.).
ลงไทรห้อย,ก.,"ท่ารำของมโนราห์ หงายหลังให้หัวจดพื้น, รำตัวอ่อนให้ศีรษะจดพื้นด้านหลัง."
ลงน้ำแป้ง,ก.,เป็นระดูขาว.
ลงโบสถ์,น.,ช่วงเวลาที่พระสงฆ์ทำสังฆกรรมประจำวัน ประมาณ ๐๗.๐๐ นาฬิกา และ ๑๙.๐๐ นาฬิกา.
ลงโบสถ์,ก.,ทำพิธีสังฆกรรม.
ลงโบสถ์,สำ.,เข้าเป็นพวกเดียวกัน.
ลงปง,น.,"ชื่อบทเพลงในพิธีลอยเรือชาวเล (ก.บ., ส.ต.)."
