คำ,POS,ความหมาย
วก,ก.,"หักเลี้ยวกลับ, วน."
วก,น.,ชื่อตัวตลกหนังตะลุง.
วกวก,ว.,"สกปรก, น่าสะอิดสะเอียน เช่น บ้านนี้แลสาวกวก - บ้านนี้ดูแล้วน่าสะอิดสะเอียน."
วกวัน (ช.พ.),ว.,อาการที่รีบทำอย่างลุกลน
วกแว็ก (ภ.ก.),ว.,"คดเคี้ยว, คดไปคดมา"
วกแวะ,ว.,"คดเคี้ยว, คดไปคดมา (ดู คดแค็ด)."
วง,น.,รูปที่มีเส้นนอกที่โค้งเข้ามาบรรจบกัน ล้อมรอบเป็นขอบเขตสิ่งใดสิ่งหนึ่ง.
วง,ก.,ทำเครื่องหมายเป็นรูปวงกลม.
วง,ว.,โก่ง เช่น แข้งวง - ขาโก่ง.
ว่ง,น.,ด้านยาว ใช้ในการวัดที่ดิน (ช.พ.).
วงชัย,ก.,การวิ่งเข้าอยู่ในวงกลมที่กำหนดไว้ในการเล่นเกมพื้นเมืองของเด็ก.
วงเดือน,น.,ว่าวชนิดหนึ่ง ที่หัวมีลักษณะคล้ายเขาควาย
วงเดือน,น.,ชื่อเลื่อยชนิดหนึ่ง ลักษณะเป็นแผ่นกลมมีฟันอยู่โดยรอบ.
วงเดือน,น.,ขี้กลากที่มีลักษณะเป็นวงกลม.
ว้งแว้ง,ว.,"รางราง, เห็นไม่ชัดเจน เช่น ตาฉานว้งแว้งจ้าน - ตาของฉันมองอะไรเห็นไม่ชัด"
วงโหนด,น.,ชื่อข้าวพันธุ์พื้นเมือง (ก.บ.).
วดวด,ก.,"รีบเร่ง, อยู่ไม่นิ่ง."
วดวด,ว.,"อ่อน, อ่อนปวกเปียก, ยืด เช่น น้ำลายวดวด - น้ำลายยืดเปียก, ปลานี้, ไม่สดตัวนวนวดวด - ปลานี้ไม่สดตัวนิ่มแล้ว"
วดวด,ว.,"มาก, ซก เช่น น้องตากฝนตัวเปียกวดวด - น้องตากฝนตัวเปียกซก."
วดเว็ด,ก.,แกว่งไปแกว่งมา.
วน,ก.,"เวียนไปเวียนมา, วนเวียนไปโดยรอบ."
วน,ก.,ร่าน เช่น โลกสาวบ้านตีนวนจ้าน - ลูกสาวบ้านเหนือร่านเหลือเกิน.
วน,ก.,"สาละวน, ยุ่งอยู่กับงาน."
วน,ก.,"กังวล, มีใจพะวงอยู่."
วร,น.,"จีวร, ผ้าห่มคลุมกายของภิกษุสามเณรในพุทธศาสนา."
วอ,น.,"วอ, ยานที่มีลักษณะเป็นรูปเรือนหลังคาทรงจั่ว สำหรับเจ้านายหรือข้าราชการฝ่ายในนั่ง มีคานรับอยู่ข้างใต้คู่หนึ่ง ใช้คนหาม, เรียกรถยนต์ที่มีวอสำหรับเชิญศพตั้งอยู่บนรถกระบะ."
วอ,ว.,ทันที่ทันใด เช่น ยกข้าวเทวอเดียว - ยกข้าวเทตูมเดียว
วอก,น.,ลิง.
วอก,น.,ชื่อปีที่ ๙ ของรอบปีนักษัตร มีลิงเป็นเครื่องหมาย.
วอกแวก,ก.,"กระเพื่อม, เคลื่อนไหว เช่น น้ำวอกแวก - น้ำกระเพื่อม."
วอกแวก,ก.,ลังเลใจ.
วอกแวก,ว.,ลับ ๆ ล่อ ๆ.
วอกแวก,ว.,อาการที่จิตใจไม่จดจ่อแน่วแน่อยู่กับสิ่งใดสิ่งหนึ่ง.
ว่อง,ก.,"ว่องไว, แคล่วคล่อง, ประเปรียว, รวดเร็ว, ปราดเปรื่อง."
ว็องแว็ง,ว.,"รางราง, เห็นไม่ชัด (ดู ว็องแว็ง)."
ว็องแว็ง (น.ศ.),ว.,"รางราง, เห็นไม่ชัดเจน เช่น ตาฉานว้งแว้งจ้าน - ตาของฉันมองอะไรเห็นไม่ชัด"
วอด,ก.,อ่อนปวกเปียก (ดู วดวด ว. ๑.).
วอด,ก.,"ฉิบหาย, วอดวาย, หมดไป, สิ้นไป."
วอด,ก.,อ่อนลง.
ว็อด,ว.,"อ่อน, อ่อนปวกเปียก, ยืด เช่น น้ำลายวดวด - น้ำลายยืดเปียก, ปลานี้, ไม่สดตัวนวนวดวด - ปลานี้ไม่สดตัวนิ่มแล้ว"
วอดแวด,ก.,อ่อนลง.
ว็อดแว็ด,ก.,"เกี่ยงงอน, ไม่เต็มใจ."
ว็อดแว็ด,ว.,"อ่อนตัว, นิ่ม เช่น ลอกอนี้นวนว็อดแว็ดแล้ว - มะละกอนี้สุกจนนิ่มมากแล้ว."
วอน,ก.,"อ้อนวอน, เฝ้าร้องขอ, ร่ำขอ, ขอด้วยอาการออด, เฝ้าร้องขอให้ทำตามประสงค์."
วอน,ก.,รนหาที่ เช่น วอนอี้แจ็บตัว - รนหาที่เจ็บตัว. วอนหาโดกใหม่ - รนหาที่ตาย.
วอม,ว.,เสียงดังเช่นนั้น (ช.พ.).
ว็อม,ว.,ทันที่ทันใด เช่น ยกข้าวเทวอเดียว - ยกข้าวเทตูมเดียว
ว็อม,ว.,ทันทีทันใด (ดู วอ ว.).
วะ,น.,"ช่องน้ำ, ช่องระบายน้ำลงสู่ทะเล"
วะ,น.,ดู ระวะ น. ๒.
วะ,น.,เครื่องมือจับสัตว์น้ำชนิดหนึ่ง ใช้ดันกุ้ง ดันเคย รูปร่างคล้ายสวิง เรียกว่า กะวะ.
วัก,น.,"นกกวัก, ชื่อนก ลำตัวสั้น ขาและนิ้วยาว หน้าผากและลำตัวด้านล่างสีขาว อาศัยอยู่ตามหนองน้ำ เดินหากินบนใบพืชนา เช่น บัว จอก แหน ในตอนเช้าหรือพลบค่ำ ร้องเสียงดัง “ กวัก ๆ ”"
วัก,น.,นกกวัก (ดู หวัก น. ๒.).
วักด้าม,น.,เครื่องเช่นวัก ใช้ในพิธีแต่งงาน
วักด้ำ,น.,เครื่องเช่นวัก ใช้ในพิธีแต่งงาน
วักวัก,ว.,เป็นช่วง ๆ.
วักวาน,ก.,ขอแรงให้ช่วยเหลือ (ส.ฎ.)
