คำ,POS,ความหมาย
สก,น.,"อุบาสก, อุบาสิกา, ฆราวาส."
สก,ว.,เปียกโชก
สก,ว.,"สะเด็ด, แห้งน้ำ เช่น สกน้ำ - สะเด็ดน้ำ."
สกครุ,ว.,สกปรก เช่น แด็กคนนี้อยู่สกมกจัง - เด็กคนนี้สกปรกมาก
สกโครก,ว.,สกปรก เช่น แด็กคนนี้อยู่สกมกจัง - เด็กคนนี้สกปรกมาก
สกมก,ว.,สกปรก เช่น แด็กคนนี้อยู่สกมกจัง - เด็กคนนี้สกปรกมาก
สกแส็ก,ว.,"ไม่เป็นชิ้นเป็นอัน, ไม่อยู่นิ่ง, ชักช้า, กะปริดกะปรอย เช่น ฝนตกสกแส็ก - ฝนตกกะปริดกะปรอย"
สกแส็ก,ว.,"อัตคัด, ขาดแคลน."
สกแส็ก,ว.,"รบกวนโดยไม่จำเป็น, วางตัวไม่เหมาะสม."
สกแส็ก,ว.,"กุกกัก, เสียงเบา ๆ ที่เกิดจากการเคลื่อนไหวเล็กน้อย"
สกแส็กซกแซ็ก,ว.,"กุกกัก, เสียงเบา ๆ ที่เกิดจากการเคลื่อนไหวเล็กน้อย"
สกุ๋น,น.,มดลูก (ดู กุน น. ๑.).
สกุ๋น (น.ธ.),น.,"มดลูก, อวัยวะภายในอันเป็นที่ตั้งครรภ์"
สง,น.,"พระสงฆ์, ภิกษุในพระพุทธศาสนา."
สง,ก.,"ส่ง, ทำให้สิ่งใดสิ่งหนึ่งเคลื่อนพ้นจากที่หนึ่งไปยังอีกที่หนึ่ง เพื่อให้ถึงผู้รับหรือเป้าหมายด้วยอาการต่าง ๆ กัน เช่น สงข้าม - ส่งข้าม, สงผาน - ส่งผ่าน, สงตอ - ส่งต่อ."
สง,ก.,เอาของขึ้นจากน้ำเพื่อให้น้ำสะเด็ด เช่น สงข้าว.
สง,ก.,"สุก, แก่จัด (สำหรับหมาก)."
สง,ก.,อาบน้ำ (ใช้แก่บรรพชิตและเจ้านาย).
สงครีพ,น.,"สุครีพ, ชื่อตัวละครในรามเกียรติ์ (ภ.ก.)."
สงครู,ก.,การร้องบทมโนราห์โรงครูเพื่อส่งครูมโนราห์ที่มาชุมนุมกันกลับไปสู่ที่เดิมของครูนั้น ๆ.
สงพระ,น.,พิธีส่งเจ้าซึ่งจะทำในคืนสุดท้าย (ขึ้น ๙ ค่ำ เดือน ๙ ) ของการกินผักหรือกินเจ.
สงเม่น,น.,รูที่เม่นอาศัยอยู่
สงเม่น,น.,รูที่เม่นอาศัยอยู่ (ดู ฉ็องแม่น).
ส่งรส,ว.,เริ่มมีรส
สงสการ,ก.,"ปลงศพ, ทำศพ, ฌาปนกิจ."
สง่า,ว.,"มาก ใช้ได้ทั้งในเรื่องดีและไม่ดี เช่น ดีสง่า - ดีมาก, เบฺร่อสง่า - โง่มาก (ส.ต.)."
สดาย,ก.,"เสียดาย, รู้สึกเสียใจในสิ่งที่ควรได้แต่ไม่ได้หรือในสิ่งที่ควรทำแต่ไม่ทำ, อาลัยถึงสิ่งที่จากไป."
ส้น,น.,"ส้น, ส่วนท้ายของเท้า, ส่วนท้ายของบางสิ่งบางอย่าง"
ส้นตีน,น.,"ส้น, ส่วนท้ายของเท้า, ส่วนท้ายของบางสิ่งบางอย่าง"
ส้นไม่ถึงดิน,สำ.,"ลำพอง, เย่อหยิ่ง, จองหอง."
ส้นเริก,สำ.,หวาดระแวง
สบ,น.,ภาชนะสานด้วยหวายเป็นรูปกลม ใช้ใส่มะพร้าว เข้าหนีบในกรามช้าง
สบ,น.,ตรงรอยต่อ เช่น หัวสบ - หัวต่อ.
สบ,น.,"ศพ, ซากผี, ร่างคนที่ตายแล้ว."
สบ,น.,ภาชนะสานด้วยหวาย เป็นรูปทรงกลม ใช้ใส่มะพร้าวเข้าหนีบในกรามช้าง (ดู กันพร้าว).
สบ,ก.,"ยุบ, ทุเลา, สงบ เช่น คลื่นสบแล้ว - คลื่นสงบแล้ว."
สบแจ้ง,น.,ช่วงเวลาใกล้สว่าง
สบแจ้ง,น.,เพียบหนัก เช่น เขาสบแล้ว - เขามีอาการเพียบหนักแล้ว (พ.ท.).
สบดิ,น.,สมประดี (ดู สับเดะ น.).
สบดิ,น.,สมประดี
สบเดะ,น.,สมประดี (ดู สับเดะ น.).
สบเดะ,น.,สมประดี
สม,ก.,"สะสม, ผสม, รวบรวมให้เพิ่มมากขึ้นเรื่อย ๆ เช่น สมเบี้ยไว้เพื่อเรียนหนังสือ – สะสมเงินไว้เพื่อเรียนหนังสือ."
สม,ก.,ปนกัน
