คำ,POS,ความหมาย
หก,น.,จำนวนห้าบวกหนึ่ง.
หก,ก.,"โกหก, จงใจกล่าวคำที่ไม่จริง."
หก,ก.,"หก, อาการที่ส่วนเบื้องสูงของร่างกาย ของภาชนะ หรือของสิ่งใดสิ่งหนึ่งเอียงลง เทลงจากระดับเดิมในทันใด."
หก,ก.,"สัปหงก, อาการที่หน้าหงุบลงเพราะง่วงนอน."
หกก้อน,ว.,ไม่เต็มเต็ง
หกค่ำ,ก.,พูดโกหกทั้งวัน
หกนก,ก.,"หลับนก, นั่งหลับ."
หกใส,ก.,"ใส่ความ, กล่าวหา, กล่าวโทษ, กล่าวร้าย."
หกโหฺยะ (น.ศ.),ก.,พูดโกหกทั้งวัน
หง,น.,"ต้นละหุ่ง, ชื่อไม้ทุ่ม เมล็ดเป็นพิษ น้ำมันที่ได้จากการหีบโดยไม่ใช้ความร้อน ทำยาได้ มีหลายชนิด เช่น หงแดง - ละหุ่งแดง"
หง,น.,"หงส์, นกในนิยายถือว่าเป็นนกในตระกูลสูง มีเสียงไพเราะ เป็นพาหนะของพระพรหม, ชื่อนกจำพวกเป็ด คอยาว ลำตัวใหญ่."
หง,ว.,"ระหง, สูงโปร่ง"
ห้ง,ว.,เงื่องหงอย เช่น ไก่ห้ง - ไก่เป็นโรค
หงก,ก.,"งอน เช่น ทำหงก - ทำงอน (ภ.ก., พ.ง.)."
หงก,ก.,"เกี่ยงงอน, กระเง้ากระงอด"
หงทอง,น.,"ตะกวด, ชื่อสัตว์เลื้อยคลาน ตัวสีน้ำตาลเหลือง ปากแหลม ลิ้นยาวแยกเป็น ๒ แฉก หางยาวใช้ฟาดเพื่อต่อสู้ป้องกันตัว อาศัยตามป่าโปร่งมากกว่าป่าทึบ หากินตามพื้นดิน ขึ้นต้นไม้เก่ง พาดตัวนอน ผึ่งแดดตามกิ่งไม้"
หงทอง,น.,ตะกวด (ดู แลน น.).
หงเทศ,น.,"สบู่ดำ, ชื่อไม้พุ่ม ก้านและใบและใบอ่อนสีเขียว มียางใส เมล็ดนำไปหีบได้น้ำมัน ใช้เป็นน้ำมันเชื้อเพลิงและหล่อลื่น ทุกส่วนเป็นพิษ (พ.ท.)."
