คำ,POS,ความหมาย
อก,น.,"อก, ส่วนของร่างกายด้านหน้าอยู่ระหว่างคอกับท้อง, โดยปริยายหมายถึงส่วนกลางหรือใจกลางของสิ่งนั้น, ใจ."
อกกรก,ว.,"สกปรก (ร.น., ช.พ., ป.น.)."
อกกลม,ว.,รูปร่างสันทัด.
อกกว้างย่างชิด,น.,หลักเกณฑ์ในการกำหนดระยะห่างของการปลูกพืชทุกชนิดที่ระยะระหว่างแถวต้องห่าง และระยะระหว่างต้นต้องชิด ซึ่งขึ้นกับพรรณพืชนั้น ๆ.
อกไก่,น.,"กบทู, ไม้เครื่องเรือนที่พาดเบื้องบนเป็นสันหลังคาเหนือใบดั้ง"
อกไก่,น.,ไม้เครื่องบนที่พาดเบื้องบนเป็นสันหลังคา เหนือใบดั้ง.
อกไก่,น.,เรียกอกคนที่มีลักษณะนูนยื่นออกมาอย่างอกไก่.
อกแตก,ก.,เจ็บช้ำใจ.
อกนู,น.,ไม้คาดคันธนูสำหรับจับ.
อกแบน,ว.,อ้วน.
อกเลื่อย,น.,ไม้คํ้าให้ใบเลื่อยตึง
อกเหลี่ยม,ว.,"ผอม, ยากจน."
อกแหก,ก.,กลุ้มหนักด้วยเหตุการณ์รุมเร้า.
อกแห้ง,ว.,ใจห่อเหี่ยว.
อกแห้ง,น.,ระยะระหว่างแถวของการปลูกพืช (ภ.ก.).
อด,ก.,"อดอยาก, ไม่มีอะไรกิน เช่น วัวอดหญ้า - วัวไม่ได้กินหญ้า."
อด,ก.,"ไม่ได้ตามที่ต้องการ, ไม่สมหวัง เช่น อดไป - ไม่ได้ไป, อดแลหนัง - ไม่ได้ดูหนัง"
อด,ก.,"กลั้น, งดเว้น, บังคับความรู้สึกที่อยู่ภายในร่างกายไม่ให้ แสดงออกหรือหลุดออกมา."
อดสา,น.,"ความอุตสาหะ, ความขยัน, ความพยายาม, ความอดทน"
อดหัว,ก.,"ขำ, อดหัวเราะไม่ได้."
อดแห้งอดแล้ง,สำ.,"ขัดสน, ไม่ค่อยมีกิน."
อ้น,น.,ชื่อมันชนิดหนึ่ง คล้ายมันมือเสือ มีทางภาคใต้
