คำ,POS,ความหมาย
ฮกขี่,ว.,"โชคดี, โชคลาภ, ความสุข, บุญวาสนา (จ., ภ.ก., พ.ง.)."
ฮกอือ,น.,แกงต้มกะทิใส่ส้ม.
ฮกฮัก,ว.,งก ๆ เงิ่น ๆ.
ฮกฮัก,ว.,แสดงความไม่พอใจ.
ฮวดกั๊ว,น.,"คนเชิญเจ้าให้เข้าทรง (จ., ภ.ก.)."
ฮวดโก้ย,น.,"ขนมสาลี่ (จ., ภ.ก.)."
ฮวดโสะ,น.,"แส้ที่พระจีนใช้ทำพิธีสะเดาะเคราะห์ (จ., ภ.ก.)."
ฮวน,ก.,ทำให้รำคาญ (ดู งวด ก. ๑.).
ฮวน,ก.,"กวน, คนให้เข้ากัน, คนให้เข้ากันจนข้น."
ฮวน,ก.,"รบกวน, ทำให้รำคาญ, ทำให้เดือดร้อน เช่น มึงงวดให้ดีต้ากูดีชัก - มึงมายุ่งให้ดีเถอะ กูจะตีให้ชักดิ้นไป เลย"
ฮ้วน,ก.,กลับ (ดู อ้วน ก.).
ฮ้วน,ก.,"กลับ, กลับรถ, กลับไปกลับมา เช่น อ้วนหัวรถ - กลับหัวรถ, เวลาซื้อเบอร์ให้อ้วนไว้มั่ง - เวลาซื้อหวยให้แทงกลับไปกลับมาบ้าง (ภ.ก.)"
ฮ่วนจู๋,น.,มัน (ดู มัน น. ๒.).
ฮวนจู๋ (ภ.ก.),น.,ชื่อไม้เถา หัวใช้เป็นอาหารได้
ฮ่วนเจ็ว,น.,พริก (ภ.ก.).
ฮ่วนหน้า,น.,คนไทย
ฮ่วนหลาง,น.,"คนป่า, คนไร้การศึกษา (จ., ภ.ก.)."
ฮ่วนหลาง,น.,คนไทย (ดู ฮวนหน้า).
ฮวม,น.,ชื่อนกชนิดหนึ่งคล้ายนกเปล้า แต่ตัวโตกว่า (ดู ควม น. ๒.).
ฮวม,น.,ชื่อนกชนิดหนึ่งคล้ายนกเปล้าแต่ตัวโตกว่า
ฮอ,ว.,คำสั่งให้ช้างหยุดเดิน.
"ฮ่อกุ๊ยอ้าต่าว (จ., ภ.ก.).",น.,ถั่วแขก.
ฮ่องก้อ,น.,"ใบพัดสูบน้ำที่อยู่ข้างในมอเตอร์ขนาดใหญ่ที่ใช้ สูบน้ำในเหมืองแร่ (จ., ภ.ก., พ.ง.)."
ฮ่องจี้,น.,"ไม้กลมยาวประมาณ ๑ ฟุต ใช้สำหรับเคาะเป็นจังหวะเวลาเชิญให้พระมาเข้าประทับร่างทรง (จ., ภ.ก.)."
ฮ่องบะ,น.,หมูพะโล้ (ดู หมูฮ้อง).
ฮ่องบะ (ภ.ก.),น.,หมูพะโล้
ฮ่องหลอ,น.,เตาอั้งโล่ (ดู อั้งเล่า).
"ฮ่องหลอ (ภ.ก.,พ.ง.)",น.,"เตาอั้งโล่, เตาไฟดินเผาชนิดหนึ่ง แบบมีเพดานรองถ่านไฟ"
ฮ่องอิ๋ว,น.,"น้ำมันลม, ยาหม่องน้ำ (ภ.ก., พ.ง.)."
ฮอม,น.,ชื่อนกชนิดหนึ่งคล้ายนกเปล้า แต่ตัวโตกว่า (ดู ควม น. ๒.).
ฮอม,ว.,งอม (ดู งอม).
ฮอม,ว.,เสียงดังเช่นนั้น เช่น ครางเสียงฮอม ๆ (ช.พ.).
ฮอม,น.,ชื่อนกชนิดหนึ่งคล้ายนกเปล้าแต่ตัวโตกว่า
ฮอม,ว.,ลักษณะของคนที่แก่มากจนทำอะไรไม่ไหว.
ฮ่อลั่นต่าว,น.,"ถั่วลันเตา (จ., ภ.ก.)."
ฮะ,ก.,เปิด (ดู งะ).
ฮะ,ว.,สัญญาณให้ทำพร้อมกัน (ช.พ.).
ฮะ,ว.,น้ำบ่าอย่างฉับพลัน.
ฮะ,ก.,"เปิด, แยกออก, แบะออก เช่น นั่งงะขา - นั่งถ่างขา"
ฮะโรย,อุ.,เสียงร้องเพราะความเจ็บปวด (ดู โตย).
"ฮะโรย (เทียบ ม. aduh ; ป.น., ย.ล.)",อุ.,เสียงร้องเนื่องจากความเจ็บปวด เช่น โตยแม่ - โอยแม่ (ภ.ก.)
ฮะเลือด,ก.,กระอักเลือด (ดู หะเลือด).
ฮะเลือด,ก.,อาเจียนเป็นโลหิต
ฮัก,ว.,ชะงัก (ดู งัก ว. ๒.).
ฮัก,ว.,"ชะงัก, หยุดลง กลางคันทันที"
ฮัง,น.,นกกะฮัง (ดู งัง).
ฮัง,น.,นกเงือก (ดู เฮียก).
ฮัง,ว.,เสียงดังเช่นนั้น (ช.พ.).
ฮัง,ว.,ทันทีทันใด (ช.พ.).
ฮัง,น.,นกกระฮัง
ฮัง (พ.ท.),น.,นกเงือก ส่วนใหญ่ลำตัวสีดำ ปากใหญ่ อยู่รวมกันเป็นฝูงในป่าลึก กินเนื้อสัตว์และผลไม้
ฮั่น,ว.,คำประกอบท้ายคำอื่น บอกความเป็นเชิงอ้อนวอน บังคับ ตกลง หรือเน้นให้หนักแน่น เช่น ยาไปนานนักฮั่น - อย่าไปนานนักนะ (ภ.ก.).
ฮั่นจู๋,น.,มัน (ดู มัน น. ๒.).
ฮั่นจู๋,น.,ชื่อไม้เถา หัวใช้เป็นอาหารได้
ฮั่นจู๋ถึ้ง,น.,ขนมหัวมันต้มน้ำตาล (ภ.ก.).
ฮั่นแหละ,ว.,คำตอบรับตรงกับคำว่าใช่ เหมือนกัน เช่น ของที่สั่งมาเติ้นเอากันใช่หม้าย อีกคนตอบว่า ฮั่นแหละ.
ฮั้ว,น.,"ดอกไม้ (จ., ภ.ก., พ.ง.)."
ฮั้วจ๋าน,น.,ปิ่นโต (ดู ชั้น น. ๑.).
"ฮั้วจ๋าน (ภ.ก., พ.ง.)",น.,"ปิ่นโต, ภาชนะสำหรับใส่ของกินซ้อนกัน เป็นชั้น ๆ มีหูร้อยหิ้วได้"
ฮั่วเชี้ย,น.,"วงแหวนที่ใช้รองตัวนอต (จ., ภ.ก., พ.ง.)."
ฮั่วซ้า,น.,เสื้อนอก (ดู เสื้อกด).
ฮั่วซ้า (ภ.ก.),น.,"สูท, เสื้อนอก (อ. Koat)"
ฮัวะ,ก.,"ข่มขู่, ขู่, กรรโชก (ภ.ก., พ.ง.)."
ฮาง,น.,นกเงือก (ดู เฮียก).
ฮาง (ช.พ.),น.,นกเงือก ส่วนใหญ่ลำตัวสีดำ ปากใหญ่ อยู่รวมกันเป็นฝูงในป่าลึก กินเนื้อสัตว์และผลไม้
ฮาด,ก.,"ตวาด, ดุ (ช.พ.)."
ฮายจิ,ว.,สกปรก (ช.พ.).
ฮ้าเลือด,ก.,กระอักเลือด (ดู หะเลือด).
ฮ้าเลือด,ก.,อาเจียนเป็นโลหิต
ฮ้าเลือด,ก.,กระอัก
ฮำ,ก.,กิน (ดู อำ ก. ๓.).
ฮำ,ก.,กิน เป็นคำที่พ่อแม่หรือผู้ใหญ่พูดชักชวนหรือคะยั้นคะยอให้ลูกหรือเด็กเล็ก ๆ กินข้าวหรืออาหาร
ฮิหนา,ก.,"รังเกียจ, เกลียด, ไม่พอใจ (น.ธ.)."
ฮี้,ว.,คำสร้อย เช่น ไม่เอาฮี้ - ไม่เอานะ (ภ.ก.).
ฮี่ก้าว,น.,ต่างหู (ดู ทองหู).
ฮีก้าว (ภ.ก.),น.,"เครื่องประดับหู, ต่างหู"
ฮึก,ก.,ดุ เช่น ยาไปยุ่งกับแกเดียวแกฮึกเอานะ - อย่าไปยุ่งกับท่านเดี๋ยวท่านดุเอานะ (น.ศ.)
ฮึด,ก.,ดุ (ดู ฮึก).
ฮึด (ภ.ก.),ก.,ดุ เช่น ยาไปยุ่งกับแกเดียวแกฮึกเอานะ - อย่าไปยุ่งกับท่านเดี๋ยวท่านดุเอานะ (น.ศ.)
ฮืออ๋วน,น.,ลูกชิ้นปลา (ดู อ้วน น. ๒.).
"ฮื่ออ๋วน (ภ.ก., พ.ง., ร.น.)",น.,ลูกชิ้น
ฮุย,ว.,เสียงดังเช่นนั้นเพื่อไล่วัวควาย (ดู หุย).
ฮุย,ว.,เสียงดังเช่นนั้นเพื่อไล่วัวควาย
ฮุ้ยฮุ้ย,ว.,เสียงร้องไล่วัวให้เดินเร็ว ๆ.
ฮุฮะ,ก.,พูดข่มขู่ (ช.พ.).
ฮูก,น.,"นกฮูก, ชื่อนกชนิดหนึ่ง หากินในเวลากลางคืน."
ฮูก,ก.,ทำให้ตกใจ (ดู ทูด).
ฮูก,สำ.,เรียกคนที่ทำตัวคล้ายนกฮูก.
