คำ,POS,ความหมาย
จบับ,น.,หนังสือเรื่องเดียวกันซึ่งมีข้อความเหมือนกันหรือต่างกันบ้าง
จลอง,ก.,รองแทน ทดแทน
ฉ,ว.,หก - สำหรับประกอบหน้าคำศัพท์อื่น ๆ เช่น ฉขัตติ ฉกกษัตริย์ คือ กษัตริย์ ๖ พระองค์ หรือ ช้างฉทันต์ - ช้าง ๖ งา เป็นต้น
ฉก,ก.,สับ โขก อย่างงูฉก ล้านนาใช้ ตอด หรือ ขบ
ฉกัน,ว.,ฉกรรจ์ ห้าวหาญ แข็งแรง
ฉกามาวจร,น.,ชั้นสวรรค์  6 ชั้น
ฉขัตติ,น.,กษัตริย์ ๖ พระองค์ คือ ท้าวสญชัย พระนางผสุดี พระเวสสนดร พระนางมัทรี ชาลีกุมาร กัณหากุมาร
ฉขัตติ,น.,ชั้ื่อกัณฑ์ที่ ๑๒ ใน มหาชาติ ซึ่งประกอบทั้งสิ้นจำนวน ๑๓ กัณฑ์
ฉงน,ว.,ไกล ใช้คู่กับ สงาย
ฉงาย,ว.,ไกล
ฉทันต์,น.,ช้าง ๖ งา
ฉทันต์,น.,ชื่อตระกูลช้าง
ฉนำ,น.,ปี
ฉบับ,น.,หนังสือเรื่องเดียวกันซึ่งมีข้อความเหมือนกันหรือต่างกันบ้าง
ฉเพราะ,ว.,จำเพาะ มุ่งตรง
ฉเมียง,ก.,ชำเลือง
ฉลอง,ก.,ทำบุญหรือบูชาสิ่งใดสิ่งหนึ่งเป็นการเอิกเกริกเพื่อแสดงความปิติยินดี
ฉลอง,ก.,รองแทน ทดแทน
ฉลาด,น.,เฉียบแหลม ปัญญาดี
ฉลู,น.,ชื่่อปีที่ ๒ ของรอบปีนักษัตรมีวัวเป็นเครื่องหมาย
ฉัตต์,น.,ฉัตร เครื่องประดับคล้ายร่ม เท่าที่พบจาก ศัพท์หมวดบาลี - ล้านนา มีดังนี้ ฉัตต์งวงเข้า- ฉัตรทำด้วยรวงข้าว ฉัตต์ดอกไม้ ฉัตต์อันสานด้วยไม้ตอก ฉัตต์ขาว ฉัตต์ดอกคำ - ฉัตรที่มีลวดลายทำด้วยทองคำ ฉัตต์ผ้าเหลือง ฉัตต์ขาวยับห้อยดอกคำ ฉัตต์แดง
ฉัททันต์,น.,ช้างโพธิสัตว์
ฉัททันต์,น.,ชื่อตระกููลช้าง
ฉัททันต์ ,น.,ชื่อตระกูลช้าง
ฉัน,ก.,กิน(ใช้กับพระสงฆ์)
ฉัน,ว.,เสมอ เหมือน เช่น
ฉันเฉก,ว.,ประหนึ่ง เหมือน
ฉันได,ว.,ฉไน อย่างไร
ฉันไดค็แล้ว,สัน.,อย่างไรก็ตาม จะเป็นอย่างไรก็ให้เป็นไป
ฉันทะ,น.,ความพอใจ ความยินดี
ฉันทะ,น.,การแต่งคำประพันธ์ตำราฉันทศาสตร์
ฉันทาคติ,น.,ความลำเอียงเพราะความรักใคร่ชอบใจ
ฉัพพัณณรังสี,น.,รังสี ๖ ประการที่เปล่งออกจากพระกายของพระพุทธเจ้า คือ นีละ - เขียวเหมือนดอกอัญชัน ปีตะ - เหลืองเหมือนหรดาลทอง โลหิตะ - แดงเหมือนตะวันอ่อน โอทาตะ - ขาวเมือนแผ่นเงิน มัญเชฐะ - สีหงสบาทคือสีเหมือนดอกหงอนไก่ ปภัสสระ - เลื่อมพรายเหมือนแก้วผลึก
ฉาง,น.,คลัง ยุ้งขนาดใหญ่สำหรับเก็บข้าว
ฉายา,น.,เงา
ฉายา,น.,รูปถ่าย
ฉายา,น.,ร่มไม้
ฉายา,น.,แสงสว่าง
ฉายา,น.,ชื่อภิกษุที่เป็นภาษาบาลี
ฉำฉา,น.,ต้นก้ามปูหรือต้นจามจุรี
ฉิง,น.,ความงาม
ฉิง,น.,ร่างกาย
ฉิง,น.,ผู้ดูแล เทวดา
ฉิ่ง,น.,เครื่องตีชนิดหนึ่งทำด้วยโลหะหล่อหนารูปร่างกลมคล้ายถ้วยเจาะลูตรงกลาง ใช้ร้อยเชือกให้เป็นคู่กันสำหรับตีบอกจังหวะเข้ากับดนตรี
ฉีก,ก.,ขาดแยกจากกันหรือทำให้ขาดแยกจากกัน
ฉีด,ก.,ใช้กำลังอัดหรือดันให้ของเหลวอย่างน้ำพุ่งออกจากช่องเล็ก ๆ
ฉีดอยา,ก.,พ่นอย่างพ่นยาฆ่าแมลง ถ้าฉีดเข้าสู่ร่างกายเพื่อรักษาไข้ ฉีดอยา ปักอยา หรือ แทงอยา
เฉลย,ก.,อธิบายหรือชี้แจงข้อปัญหา
เฉลียวฉลาด,ว.,ปัญญาดี มีไหวพริบ
โฉม,น.,โฉม รูปร่าง
โฉมฉาย,น.,รูปงามสดใส
สก,ก.,สับ โขก อย่างงูฉก ล้านนาใช้ ตอด หรือ ขบ
สกัน,ว.,ฉกรรจ์ ห้าวหาญ แข็งแรง
สขัตติ,น.,ชั้ื่อกัณฑ์ที่ ๑๒ ใน มหาชาติ ซึ่งประกอบทั้งสิ้นจำนวน ๑๓ กัณฑ์
สงน,ว.,ไกล ใช้คู่กับ สงาย
สงาย,ว.,ไกล
สทัน,น.,ชื่อตระกูลช้าง
สนำ,น.,ปี
สม ,น.,โฉม รูปร่าง
สเมียง,ก.,ชำเลือง
สลู,น.,ชื่่อปีที่ ๒ ของรอบปีนักษัตรมีวัวเป็นเครื่องหมาย
สักกติ,น.,ชั้ื่อกัณฑ์ที่ ๑๒ ใน มหาชาติ ซึ่งประกอบทั้งสิ้นจำนวน ๑๓ กัณฑ์
สักขติ,น.,ชั้ื่อกัณฑ์ที่ ๑๒ ใน มหาชาติ ซึ่งประกอบทั้งสิ้นจำนวน ๑๓ กัณฑ์
สัน,ว.,เสมอ เหมือน เช่น
สันได,ว.,ฉไน อย่างไร
สันทะ,น.,การแต่งคำประพันธ์ตำราฉันทศาสตร์
สันเสก ,ว.,ประหนึ่ง เหมือน
สันเสลก,ว.,ประหนึ่ง เหมือน
สับเพราะ,ว.,จำเพาะ มุ่งตรง
สาง,น.,คลัง ยุ้งขนาดใหญ่สำหรับเก็บข้าว
สายา,น.,ชื่อภิกษุที่เป็นภาษาบาลี
สำสา,น.,ต้นก้ามปูหรือต้นจามจุรี
สิง,น.,ผู้ดูแล เทวดา
สีก,ก.,ขาดแยกจากกันหรือทำให้ขาดแยกจากกัน
เสลย,ก.,อธิบายหรือชี้แจงข้อปัญหา
เสลียวสลาด,ว.,ปัญญาดี มีไหวพริบ
โสม,น.,โฉม รูปร่าง
