Word,Alternative Forms,POS,Definition
กก,,น.,"น. กก, ชื่อไม้ล้มลุกชนิดหนึ่งเกิดในที่ชุ่มน้ำ ลำต้นสามเหลี่ยม หรือกลมยาว ใช้จักสานได้"
กกขี้หมา,,น.,น. กกลังกาชนิดหนึ่ง แต่ต้นเล็กกว่า ใช้เป็นสมุนไพร
กกลังกา,,น.,น. กกชนิดต้นกลม ใช้เป็นสมุนไพร
"๒ ก๊ก, เหล่า, กำพืด ๓ อวัยวะเพศหญิง (ดู เคย น. ๒) ก. กกไข่, นอนกก ว. เสียงดัง เช่นนั้น",,,
กกกก,,ว.,"ว. มาก, ยิ่ง เช่น แก่กกกก - แก่มาก, แห้งกกกก - แห้งผาก, แหม็ดเกลี้ยงกกกก - หมดไม่เหลือเลย"
ข็อกข็อก,ก็ว่า,,
กกกอ,,น.,"น. เหล่ากอ, กำพืด."
ก็กแก็ก,,ว.,"ว., เล็ก ๆ น้อย ๆ, เหลาะแหละ (ภ.ก.)., เสียงดังเบา ๆ"
กง,,น.,"น., กง, ไม้รูปโค้งที่ตั้งเป็นโครงเรือ"
กงข้าง,,น.,น. กงเสริมของเรือ
"กงโค้ง, กงแซม, กงหนาบ",ก็เรียก.,,
กงวาน,,น.,น. กงเรือที่มีรูให้น้ำถ่ายเทไปได้ตลอดท้องเรือ
๒. ชื่อสัตว์สี่เท้าสะเทินน้ำสะเทินบก ตระกูลเดียวกับคางคก ตัวโต มีจุดแดงบริเวณหัว อาศัยตามป่าในช่วงฤดูผสมพันธุ์ต้วผู้จะเปลี่ยนสีผิวหนังเป็นสีแดง ผิวหนังมีพิษ,,,
"กงเขา, โก้งโค้ง, ค้างคกไฟ, โคตรค้างคก, โจงโคร่ง (ส.ฎ.), ผลักโก้งโค้ง (น.ศ.)",ก็เรียก.,,
"๓. ชื่อพืชคลุมดินชนิดหนึ่งคล้ายว่านหางช้าง มี ๒ ชนิด คือ กงแดงกับกงขาว. ๔. ชื่อพืชน้ำ ขึ้นตามทุ่งนา หรือพื้นที่ชุ่มน้ำ. ๕. ผ้าคลุมศีรษะของชาวไทยมุสลิมใช้ในพิธีละหมาด (น.ธ.). ๖. ส่วนรอบของล้อรถหรือเกวียน เรียก ""กงล้อ"". ๗. ไร่ล้มลุกที่ถางเป็นป่าหย่อม ๆ ตามเนื้อที่และกั้นเป็นขอบเขตไว้ เช่น หักล้างถางกงในดงดิน (สุวรรณวงศา). ๘. ชื่อขนมชนิดหนึ่งใช้ทำบุญในวันสารทไส้ถั่วเขียวบดละเอียดผสมน้ำตาล ชุบแป้ง ปั้นเป็นรูปต่าง ๆ แล้วทอดน้ำมัน",,,
หนมไขปลา,ก็เรียก.,,
๙. กระบะโลหะใส่น้ำยางพาราเพื่อนำไปทำให้น้ำยางแข็งตัว (ดู เบ้ายาง) ๑๐. ชื่อต้นไม้ชนิดหนึ่ง (ดู ปรง น. ๒). ก. ๑. การร้องของนกกบางชนิดในตอนกลางคืน เช่น นกคุ่ม นกเขาเล็ก นกเขาใหญ่. ๒. ทำให้โก่ง ๓. อาการที่คนกอดคอขี่หลังคนอีกคนหนึ่ง,,,
กอดกง,ก็ว่า,,
"ว. ค่อม, โค้ง เช่น ตาแปะหลังกง - คนแก่หลังค่อม.",,,
ก้ง,,น.,"น. ปู่, ตา แต่ถ้าต้องการชี้ชัดว่าปู่เรียก ""หล่ายก้ง"" ส่วนตาเรียก ""หวั่วก้ง"" (จ., ภ.ก., พ.ง.)."
กงกอน,,น.,น. ชื่อไม้ต้น คล้ายโกงกาง ยอดสีแดง (ส.ฎ.).
กงกาง,,น.,"น., ไม้โกงกาง, ชื่อไม้ต้นขึ้นตามป่าชายเลน ชายทะเล นิยมใช้ทำฟืน และเผาถ่าน"
"พังกา (ภ.ก., พ.ง.)",ก็เรียก.,,
๒. ชื่อเรือชนิดหนึ่งไม่มีใบ ไม่มีเครื่องยนต์ ต้องใช้เรืออื่นชักลาก (ดู ตั้ง น.).,,,
กงเกง,,น.,"น. กางเกง, เครื่องนุ่งห่มมี ๒ ขา"
"ก้างเกง, ก้างกิง, กุงกิง, กุงเกง, ข่อ (ภ.ก., พ.ง.)",ก็เรียก.,,
กงเกงหรัง,,น.,น. กางเกงสากลขายาว.
ก้งแก้ง,,ว.,"ว., โอ้อวด, อวดเบ่ง เช่น อย่ามาทำก้งแก้งเดียวโถกถีบ - อย่ามาทำโอ้อวดเดี๋ยวถูกเตะ, เก่งหรือดีเกินตัว เช่น แด็กหนี้ก้งแก้งจ้านตัวหีดเดียวหิ้วน้ำตั้งสองถุ้ง - เด็กนี้เก่งเกินตัว ตัวนิดเดียวหิ้วน้ำตั้งสองถัง., ทำเจ้าชู้, กรีดกราย (ป.น.,, น.ธ.)."
กงโกะ,,ว.,ว. ผอมสูง
"สูงโม่ง, โย่งโกะ (ภ.ก.)",ก็ว่า.,,
กงโกะกงหยก,"ยงโย่ยงหยก., นั่งยอง ๆ",ว.,"ว. ไม่ทะมัดทะแมง, ไม่กระฉับกระเฉง."
กงเขา,,น.,"น. ชื่อสัตว์สี่เท้าสะเทินน้ำสะเทินบก ตระกูลเดียวกับคางคก (ดู กง, น., )."
ก้งโค้ง,,ก.,"ก. โก้งโค้ง, โก่งก้นให้โด่ง, โน้มตัวลงยกก้นให้สูงขึ้น."
ก้งฉ่าย,,น.,น. ผักกาดดองเค็ม.
กงซัง,,น.,น. ตอซังข้าว.
ก้งซุ้น,,น.,"น. กงสุล, พนักงานผู้มีหน้าที่ดูแลผลประโยชน์และคนในบังคับ ณ ต่างประเทศ ( อ. Consul ) (ภ.ก.)., สำ. ภรรยา เช่น คืนนี้อี้ไปกินเลี้ยงบอกก้งซุ้นแล้วหม้าย."
ก่งเต็ก,,น.,น. พิธีทำบุญให้แก่ผู้เสียชีวิต มีการสวดและเผากระดาษที่ทำเป็นรูปต่าง ๆ เช่น บ้านเรือน รถ คนใช้ เป็นต้น ไปให้ผู้ตาย (จ .ภก.).
ก้งทู้,,ว.,ว. ยุติธรรม (ดู ก้งโท้).
ก้งโท้,,ว.,"ว. ยุติธรรม, ซื่อสัตย์ เช่น คนนี้เป็นคนก้งโท้"
"ก้งทู้, ก็องโถ่ (ส.ฎ.), ก็องโต่ (ภ.ก., พ.ง.)",ก็ว่า.,,
กงลิ้นช้าง,,น.,น. โกร่งครอบไกปืน.
กงแล็บ,,น.,"น. กรงเล็บ, กลุ่มเล็บของแมวหรือนก เป็นต้น เมื่อขยุ้มเหยื่อมีเค้าคล้ายกรง."
กงวิน,,น.,น. หวายถักเป็นวงสำหรับร้อยจมูกวัวควายที่เจาะใหม่
"เทียน, หวิง, หวิน, วิ้นเทียน",ก็เรียก.,,
กงสี,,น.,"น., กองกลางที่ใช้รวมกันสำหรับคนหมู่หนึ่ง ๆ, บริษัท, หุ้นส่วน., โรงเรือนที่ใช้ร่วมกัน."
กงหนิด,,น.,น. สลักสำหรับเกี่ยวแร้ว เพื่อโก่งคันแร้ว.
กงเหม็ง,,ก.,"ก. ออกกำลังเต็มที่, มุ, เกร็งเต็มที่ เช่น กงเหม็งเข้าต้าแค่อี้เสร็จแล้ว - ออกกำลังเข้าให้เต็มที่ เกือบจะเสร็จแล้ว."
กงหางกางเงี่ยง,,สำ.,"สำ., เตรียมต่อสู้., ตรงกับสำนวน หมูเขาจะหามเอาคานเข้าไปสอด."
ก้งฮู้หลาง,,น.,"น. ชาวจีนกวางตุ้ง (จ., ภ.ก.)."
กด,,น.,"น., กด, ชื่อปลาไม่มีเกล็ด มีหนวด ครีบหลังตอนแรกและครีบอกมีก้านครีบเป็นเงี่ยง ครีบตอนที่สองเป็นแผ่นเนื้อ พบมากในเขตน้ำกร่อย มีหลายชนิด เช่น กดขี้ลิง, กดกล้วย, กดดอกบด (ภ.บ.)., นกกด."
กดตาแดง,,สำ.,สำ. ตะเกียง เช่น นกกดตาแดงน้ำแห้งตาย - ตะเกียงหมดน้ำมัน (ปริศนาค่าทาย).
"ก. ๑. อดกลั้น, ยับยั้งไว้, ตรึงไว้.",,,
กดไม่ติด,,ก.,"ก. กลั้นไม่อยู่, อั้นไม่ไหว."
กดยิ้ม,นั่งยิ้มหรือนึกขำอยู่ในใจ เมื่อได้พบเห็นหรือนึกขำอยู่ในใจ เมื่อได้พบเห็นหรือฟังเรื่องขำขัน,,
กดโรง,,ก.,ก. ตรึงไว้ ใช้กับการประชันหนังตะลุงหรือมโนราห์เป็นการทำอาคมทางไสยศาสตร์กับคนดู เพื่อตรึงไว้ไม่ให้ไปดูฝ่ายตรงข้าม.
กดหัว,,ก.,ก. อดกลั้น ไม่หัวเราะ.
กดอกกดใจ,,ก.,ก. สะกดอกสะกดใจ.
"๒. บังคับ ลง, ข่ม, ใช้กำลัง ดันให้ลง เช่น ช่วยกดพุงที - ช่วยกดท้องหน่อย.",,,
กดเข,,ก.,"ก. กดขี่, ข่มให้อยู่ในอำนาจตน."
กดลายมือ,,ก.,ก. พิมพ์ลายมือ.
กดหัว,,สำ.,"สำ. บีบบังคับ, ข่มขู่ให้กลัว."
กดเงา,,ก.,ก. การดูเวลาโดยวิธีนับชั้นฉาย (ดู ชั้นฉาย).
กดดง,,ก.,ก. การทำพิธีขอโชคลาภจากเจ้าป่า โดยวิธีไสยศาสตร์เพื่อการล่าสัตว์ของพราน
ทำปาบังไพร,ก็ว่า.,,
กดดม,,ก.,"ก. ปล้นสะดม, ปล้นโดยวิธีรมยาให้เจ้าของทรัพย์หลับสนิทไม่รู้สึกตัว."
กดรอย,,ก.,"ก. สะกดรอย, ตามไปติด ๆ โดยไม่ให้รู้ตัว."
กดหัวแข็ง,,น.,น. ชื่อปลาชนิดหนึ่ง จำพวกปลากด (ดู ค้างโคะ).
กดาส,,น.,น. กระดาษ (ตำราพระบรมราชูทิศกัลปนานครศรีธรรมราช).
กน,,น.,น. ภาชนะเย็บด้วยกาบหมากหรือสิ่งอื่น ที่มีลักษณะคล้ายกัน
"โกระ, โคระ, โคล่ (พ.ท.), โตระ (น.ศ.)",ก็เรียก.,,
"ก. โค่น, ตัด, ทำให้ล้มอย่างต้นไม้ล้ม.",,,
ก้นหอย,,น.,น. ลักษณะลายนิ้วมือที่ม้วนขดกลมอย่างก้นหอย (ดูลายเวียนลุกขี้หอย).
กบ,,น.,"น., กบ, ชื่อสัตว์สี่เท้าสะเทินน้ำสะเทินบก ไม่มีหาง เท้าแบนมีหนังติดเป็นพืด กระโดดได้ไกล ว่ายน้ำ ดำน้ำได้เร็ว มักวางไข่ในน้ำ เมื่อยังเป็นตัวอ่อนจะมีหาง ภายหลังจึงงอกขา หางหดหายไปแล้วขึ้นอาศัยบนบก."
กบทูด,กบทูด,น.,น. กบชนิดหนึ่ง ตัวโต อาศัย ตามลำธารบนภูเขาในป่าฝน
กบโนรา,ก็เรียก.,,
กบบัว,,น.,น. กบชนิดตัวเล็ก ตัวสีเขียว ขนาดเล็กกว่า กบนา มักอาศัยอยู่ตามกอบัว.
"๒. กบไสไม้, เครื่อง มือช่างสำหรับไสไม้เพื่อทำหน้าไม้ให้เรียบ หรือให้ เป็นร่าง ก. ประกบ, แนบชิดกัน, ทาบกัน, ชิด, ถึง เช่น เข้กบวัง - จระเข้กบดาน.",,,
กบขอบ,,ก.,ก. เต็มเปี่ยมถึงขอบ
กบคู่,,ก.,ก. ประกบคู่ เป็นคำที่ใช้ในการชนวัว.
กบโคน,,ก.,ก. แทงจนถึงโคน.
กบเงิน,,ก.,ก. วางเงินเดิมพัน.
กบตา,,ก.,ก. ปรกตาหรือ ปิดตา.
"กบตาง, กบเบี้ย",,น.,น. การพนันชนิดหนึ่ง ใช้ธนบัตรมาสอบตัวเลขกัน
กบกับ,,ว.,"ว. รีบเร่ง, อาการที่รีบทำอย่างลุกลน (ดู ลกลก)."
กบตู,,น.,"น., สลักไม้ที่ใส่ไว้ด้านในส่วนล่างตอนกลางของบานหน้าต่างหรือประตู ทำหน้าที่คล้ายกลอน เมื่อปิดหน้าต่างหรือประตูใช้กบตัวนี้สอดเข้าไปในช่องเจาะตัวไม้ธรณี., ไม้เครื่องเรือนที่พาดเบื้องบนเป็นสันหลังคาเหนือใบดั้ง (ดู แปทู)."
กบโรง,,น.,น. หมอประจำโรงมหรสพ เช่น โรงมโนราห์ หนังตะลุง เมื่อมีการประชันจะทำหน้าที่เรียกคนผูกคน และ ป้องปัดอันตรายโดยใช้อาคม.
กบาย่า,,น.,น. เสื้อสตรีมุสลิมยาวถึงครึ่งขา มีกระดุมติดเป็นช่วง ๆ เรียกว่า กบาย่าลาโบ๊ะ หากเสื้อสั้นขึ้นมาปิดสะโพก เรียกว่า กบาย่าแปชะ
กม,,น.,"น. ลูกกระเดือก, ส่วนอวัยวะเป็นก้อนแข็งที่ในคออยู่เหนือหลอดลม (เทียบ ม. halakon)."
กรก,,ว.,"ว., เหมาะเจาะ, พอดี เช่น เข้ากันกรกเลย -เข้ากันพอดีเลย, เข้ากันสนิท., มาก, ยิ่ง เช่นจืดกรก - จืดชืด, แห้งกรก - แห้งสนิท"
กรกกรก,,ว.,"ว. มาก, ยิ่ง (ดู กรก, ว., )."
กรกกรอย,,ก.,"ก. ตกอับ, แร้นแค้น"
กร็องกรอย,ก็ว่า.,,
กรกแกร็ก,,น.,"น. ไฮโล, ชื่อการพนันชนิดหนึ่ง เล่นด้วยลูกเต๋า., ว., อ่อนเปลี้ย, ย่ำแย่ เช่น เดินจนหัวเขากรกแกร็ก - เดินจนเข่าอ่อน, ฐานะกรกแกร็ก - ฐานะย่ำแย่"
"ขล็อกแขล็ก (ภ.ก., พ.ง.)",ก็ว่า.,,
"๒. หลวม, คลอน เช่น รถนี้กรกแกร็กแหม็ดแล้ว - รถนี้ (ชิ้นส่วน) หลวม หรือคลอนหมดแล้ว",,,
"ขล็อกแขล็ก (ภ.ก., พ.ง.)",ก็ว่า.,,
"๓. เหลวไหล, ไม่แน่นอน, ไม่คงที่, เชื่อถือไม่ได้ เช่น คนกรกแกร็ก - คนที่เชื่อถือไม่ได้",,,
หลกแหล็ก (น.ธ.),ก็ว่า.,,
๔. เสียงดังเช่นนั้น.,,,
กรง,,น.,"น., ชื่อนกขนาดเล็ก มีหลายชนิด ชนิดที่มีจุก เชิดแหลมบนหัวเรียก ""กรงหัวจุก จุกหลอ หรือ ปรอดจุก"" ชนิดตัวโต ขนสีเทาเรียก “กรงแม่พะ”, ชนิดเล็กกว่ากรงแม่พะ ไม่มีจุกบนหัวเรียก ""กรงดอกแตง"""
กรงแกร็ง,,น.,น. นกกรงตัวสีเทาขนาดเท่านกกรงหัวจุก แต่ไม่มีจุกบนหัว
กรงหน้าลาย,ก็เรียก.,,
กรงหน้านวล,,น.,น. นกกรงตัว สีน้ำตาล ขนแก้มขาว.
"๒. กระสอบ เช่น “เสด็จขึ้นปรางมาศปราสาทเตย เอาเศียรเกยสอบกรงแล้วร้องสั่ง"" (กลอนหนังตะลุง). ๓. กรง, สิ่งที่ทำเป็นซี่ ๆ สำหรับขังนก เป็นต้น ตั้งอยู่กับที่หรือยกไปได้.",,,
กรงกราด,,น.,น. สุ่มขังไก่ชนสานด้วยไม้ไผ่
กรงตราด (ส.ฎ.),ก็เรียก.,,
กรงหมี,,น.,น. ห้องขังที่สถานีตำรวจ
คอกหมี,ก็เรียก.,,
"ว. ตรง เช่น ยืนกรง - ยืนตรง, เดินกรง - เดินตรง.",,,
กรงเหมา,,น.,น. ชื่อพืชสมุนไพรชนิดหนึ่ง หัวใช้ทำยา
