คำ,POS,ความหมาย
ฅกมองมอง,น.,ครกกระเดื่อง
ฅนน้ำโตะ,น.,คนบ้ายอ
ฅนน้ำสุ่ย,น.,คนบ้ายอ
ฅบงัน,ว.,สนุกสนาน
ฅบยำ,ก.,เคารพ ยำเกรง
ฅอก,น.,คอก ที่ขังสัตว์ คุก กรง
ฅอกเหล็ก,น.,กรงเหล็ก
ฅอบ,น.,จด จรด ถึง ย้อนกลับ
ฅอออม,น.,คอพอก
ฅอเอิม,น.,คอพอกขนาดใหญ่
ฅัก,ว.,ดี ชัดเจน แน่ชัด จริง แน่นอน
ฅั้ง,น.,เครื่องมือจับสัตว์นํ้าชนิดหนึ่งคล้ายโพงพาง
ฅันได,น.,บันได
ฅ้าว,ว.,แก่ ชรา เข้าไคล
ฅ่าวซอ,น.,บทประพันธ์ที่แต่งด้วยฉันทลักษณ์คร่าว มักเป็นเรื่องชาดกมีลักษณะคล้ายเรื่องประเภทจักรๆ วงศ์ๆ
ฅาวทอง,น.,ชื่อพรรณไม้ล้มลุกชนิดหนึ่ง
ฅ่าวนางสีชม,น.,ชื่อคร่าวที่แสดงออกถึงความรักความในใจ ที่ดีที่สุดชี่งเป็นผลงานของพระยาพรหมโวหาร เรียก คร่าวสี่บท
ฅ่าวสี่บท,น.,ชื่อคร่าวที่แสดงออกถึงความรักความในใจ ที่ดีที่สุดชี่งเป็นผลงานของพระยาพรหมโวหาร เรียก คร่าวสี่บท
ฅ่ำ,น.,กำหนดยามเท่าเวลา ๑๖.๓๐ - ๑๘.๐๐ (ปวงคำ)
ฅ่ำ,ว.,ครํ่าคร่า เก่า ทรุดโทรม
ฅำเครือ,ก.,กำยานเครือ
ฅิ่น,ว.,ของที่เป็นกรรมสิทธิ์ ผู้เป็นที่รัก แท้ เช่น แม่คิ่น ลูกคริ่น
ฅีไฟ,น.,กระบะดินสำหรับตั้งก้อนเส้าหรือตั้งเตา
ฅึ,ว.,สง่า ภาคภูมิ ผึ่งผาย ยิ่งใหญ่
ฅืด,ก.,ครูด เสียดสี
ฅืน,น.,ครืน - บ่วงขนาดเล็กสำหรับดักนกและไก่
ฅืน,น.,ครืน - ชื่อเครื่องดักนกหรือไก่ ทำเป็นบ่วง
ฅือ,น.,คู คูเมือง
ฅุ,น.,ภาชนะสานขนาดใหญ่มาก ใช้เป็นลานนวดข้าวเคลื่อนที่
ฅุ,น.,ภาชนะสานขนาดใหญ่ใช้ตีข้าว
ฅุ่ม,น.,พุ่มอย่างพุ่มไม้
ฅุ้ม,น.,วังหลวง ราชสำนัก
ฅุมคาง,ก.,ดูแล ระวังรักษา หวงแหน
ฅูด ๆ ยาด ๆ,ก.,อิด ๆ ออด ๆ
เฅ่ง,ว.,ตึง ไม่หย่อน
เฅ็ดม่ำ,ก.,นุ่งผ้าหยักรั้ง
เฅว็ด,น.,กิ่งไม้ กิ่งแขนงของไม้
เฅ่า,น.,อึ่งอ่างชนิดหนึ่งหลังสีดำร้องเสียงดัง ค่อกๆ
เฅิ่ง,ว.,ครึ่ง กึ่ง
เฅิย,ก.,ค้าง ติดข้อง เกย
เฅี่ยน,น.,พุ่ม
เฅียว,ก.,ยอกเย้า แหย่ ทำให้โกรธ
เฅียวเอา,ก.,รบเร้าเพื่อให้ได้สิ่งประสงค์
แฅ้ว,ว.,คอดกิ่ว เช่น เอวแฅ้ว - เอวคอด
แฅวน,ว.,ค่อยยังชั่ว อาการดีขึ้น เช่น หายไข้หรือยัง? แฅวนแล้ว ยังแควนแล้ว
แฅวน,ว.,มาก ยิ่ง
แฅวน,ว.,ค่อย ยังชั่ว ดีขึ้น มักจะใช้กับอาการเจ็บป่วย
ไฅว่,ว.,ทั่ว - ทั้งหมด ทั้งสิ้น ทุกหนทุกแห่ง ไม่จำกัด
