คำ,POS,ความหมาย
ตก,ก.,หล่น - ตกลงมา ร่วงลง
ตก,ก.,กิริยาที่ลดลงสู่ระดับต่ำอย่างฉับพลัน ลดลง ขาดไป สิ้นสุด
ตก,ก.,มอบให้ มอบหมาย จัดแจง เช่น ตกแต่งเครื่องบูชา
ตก,ก.,ถึงที่ ถึงคราว เช่น ตกก่อนเป็นขุน ตกลุนเป็นไพร่
ตก,สำนวน.,ถึง ถึงกำหนด ถึงวาระ เช่น ตก วันลูน - ต่อมาภายหลัง
ตก,ก.,เพาะข้าวลงในตากล้า นำข้าวกล้าที่ถอนมามัดแล้วโยนลงไปในนาระยะห่างๆ เพื่อลดภาระคนปลูกเรียกว่า ตกเข้า หรือ ตกกล้า
ตก,ก.,กำหนด เกณฑ์
ตก,ก.,เรียกอาการที่สีละลายหรือจางไปจากผ้า เป็นต้นว่า สีตก
ตก,ว.,ตลอด บรรลุ สำเร็จ เช่น คิดบ่ตก คิดตัดสินใจยังไม่สำเร็จ
ตกขะพ่า,ก.,ตกประหม่า ตกตะลึง ตกใจ
ตกขัว,ก.,ตกจากสะพาน
ตกขัวตางอาบน้ำ,สำนวน.,ตกกระไดพลอยโจน
ตกเข้า,ก.,ให้เงินไปก่อนแล้วคิดเอาข้าวทีหลัง
ตกเขียว,ก.,ให้เงินไปก่อนแล้วคิดเอาข้าวทีหลัง
ตกคะพ่า,ว.,ตกตะลึง
ตกคะพ่า,ก.,ตกประหม่า ตกตะลึง ตกใจ
ตกเครือ,ก.,​ ออกเครือ (ใช้แก่กล้วย)
ตกงวง,ก.,ออกรวง (ใช้แก่ข้าว)
ตกจำ,ก.,ใช้ยอตกปลาอยู่ในที่ใดที่หนึ่งต่อเนื่องกันเป็นเวลานาน
ตกจำ,ก.,ยกยอ
ตกจำ,ก.,จับปลาโดยใช้ยอเป็นอุปกรณ์
ตกไจ,ก.,สะดุ้ง มักใช้รวมกับคำว่า ตกอกตกใจ
ตกต่า,ก.,มอบหน้าที่ให้ทำในจุดนั้น
ตกต่าเพิ่นเปนดีใคร่หัว ตกต่าตัวเปนดีใคร่ไห้,สำนวน.,หัวเราะเยาะเมื่อเห็นคนอื่นพลาด ถึงคราวตัวเองพลาดแทบร้องไห้
ตกแต่ง,ก.,ตกแต่ง ประดับประดา
ตกแต่งรังดา,ก.,ตกแต่ง ประดับ จัดเตรียม
ตกแต่งแรงดา,ก.,ตกแต่ง ประดับ จัดเตรียม
ตกไต้ขึ้นเหนือ,ว.,ไม่ลงกัน
ตกทุกข์ได้ยาก,ก.,ลำบาก ยากจน ตกระกำลำบาก
ตกธรรม,ก.,การเอาธรรมมอบให้พระหรือเณรเทศน์ การหาเจ้าภาพกัณฑ์เทศน์ในระหว่างพรรษา หรือในประเพณีตั้งธรรม
ตกปล้อง,ว.,(กวีนิพนธ์) คำยกย่องหรือบรรยายว่าหญิงงามมีลำคอเป็นปล้อง ๆ ลดหลั่นกัน
ตกล่อย,ว.,ตกต่ำ ได้รับความยากลำบาก
ตกวง,ก.,ล้อมวง
ตกวันลูน,สัน.,ถึงวันต่อมา ภายหลัง
ตกสลั้ง,ก.,งงงวย ชะงัก จังงัง
ตกสะกึด,ก.,ตกตะลึง ชะงัก จังงัง
ตกสะเก็ด,ก.,ตกตะลึง ชะงัก จังงัง
ตกสะพ่า,ก.,ตกตะลึง ชะงัก จังงัง ดู ตกขะพ่า
ตกสะหลั้ง,ก.,งงงวย ชะงัก จังงัง
ตกเสิ็ก,ก.,ทำศึก ทำสงคราม
ตกหม้อหน้ารก,ก.,ตกนรก (หม้อหน้ารก หม้อนารก ว่า ขุมนรก)
ตกหล่น,ก.,ขาดตกไป
ตกหล้มตกจม,ก.,ล่มจม พินาศ สำนวน. ล่มหัวจมท้าย
ตกอยา,ก.,ให้ยา จ่ายยา
ตง,น.,ไม้ตง
ตงคาง,น.,ขากรรไกร กระโดงคาง
ตงดัง,น.,ขื่อจมูก สันจมูก
ตงเมืองลั่น,ก.,แผ่นดินไหว แผ่นดินแยก
ตงเสี้ยง,ว.,ทั้งหมด ทั้งสิ้น
ตงเสี้ยง,ว.,ทั้ั้งหมด ทั้งสิ้น
ตด,น.,ตด ผายลม
ตด,ก.,ตด ผายลม
ตโต,บ.,แต่นั้น ถัดจากนั้น
ตโต,สัน.,แต่นั้น ถัดจากนั้น
ตถาคตะ,น.,ผู้ไปแล้วอย่างนั้น เป็นคำที่พระพุทธเจ้าทรงเรียกพระองค์เอง ตถาคต
ตทา,*น.,ในกาละนั้นเป็นคำขึ้นต้น
ตน,ก.,กรอก ใช้กับสัตว์ เช่น ตนยางัว - กรอกยาให้แก่วัว
ตน,ลัก.,ใช้เรียกพระพุทธเจ้า พระพุทธรูป พระสงฆ์ เทวดา ยักษ์ กษัตริย์
ตน,ก.,กรอก บังคับให้ดื่มอย่างกรอกยาวัวควาย เป็นต้น
ต่น,ก.,คลุก อย่างไก่คลุกฝุ่น
ต้น,น.,เครื่องไทยทาน
ต้น,น.,ต้นอย่างต้นไม้
ต้น,ลัก.,ใช้เรียกพืชทุกชนิด
ต้น,ว.,แรก เริ่ม เหตุเดิม
ต้นกัณฑ์,น.,เครื่องไทยทานที่นำมาจัดอย่างต้นไม้
ตนขนาด,ว.,ตัวขนาดใหญ่เต็มที่ ใช้กับสัตว์
ต้นข่า,น.,อาหารน้ำที่ใช้ข่าเป็นเครื่องปรุงให้มีกลิ่นหอม เช่น ต้มข่าไก่ บางครั้งอาจมีกะทิใส่ด้วย (ปรุงแบบภาคกลาง)
ต้นเค็ม,น.,อาหารประเภทน้ำ เช่น ปลา หมู เนื้อ ต้มให้มีรสเค็มนำหน้า
