คำ,POS,ความหมาย
ถก,ก.,ถลก ถอน ดึง ดึงรั้งให้สูงขึ้นหรือให้หลุดจากที่
ถง,น.,ถุง ย่าม
ถง,ว.,หมกมุ่นอยู่กับเรื่องใดเรื่องหนึ่งในทางที่ไม่ดี เช่น ถงเหล้า - นักเลงสุรา
ถง,น.,นักเลง เช่น โถงเหล้า - นักเลงสุรา
ถงกระหนัน,น.,การถักทำขึ้นสำหรับบรรจุพระเครื่องหรือวัตถุมงคลประจำตัวเรียกว่า ถงสะชา
ถงกระหนัน,น.,ถุงหรือย่ามที่ใส่วัตถุมงคลหรือเครื่องราง
ถงขนัน,น.,การถักทำขึ้นสำหรับบรรจุพระเครื่องหรือวัตถุมงคลประจำตัวเรียกว่า ถงสะชา
ถงขนัน,น.,ถุงหรือย่ามที่ใส่วัตถุมงคลหรือเครื่องราง
ถงคะชา,น.,ถุงตะเครียว ถุงที่ถักด้วยด้ายหรือไหมเป็นตาโปร่งมีหูรูด
ถงคะชา,น.,ถุงตะเครียว
ถงเงินถงฅำ,น.,ถุงใส่เงินทอง นิยมใช้เป็นของขวัญในโอกาสต่าง ๆ ที่เป็นมงคล บางครั้งใช้เป็นเงินขวัญถุงให้คู่บ่าวสาวมักใช้ผ้าแดงเย็บ
ถงตีน,น.,ถุงเท้า
ถงเตี่ยว,น.,กระเป๋ากางเกง
ถงน่อง,น.,ถุงเท้า ถุงเท้ายาว
ถงบาตร,น.,ถลงบาตร - ถุงสำหรับใส่บาตรมีสายโยง
ถงเป้ง,น.,ถุงหรือย่ามบรรจุเงิน หรือเงินก้นถุง ย่ามบรรจุเงินตราหรือของมีค่า (เป้ง -นํ้าหนักที่ใช้ถ่วงตาชั่งแบบตราชู)
ถงเปอ,น.,ย่าม ย่ามสะพายขนาดใหญ่
ถงภ้าย,น.,นักเลงไพ่
ถงแม่ยิง,น.,นักเลงผู้หญิงเจ้าชู้
ถงลัวะ,น.,ย่ามแบบชาวลัวะ
ถงสะชา,น.,ถุงตะเครียว ถุงที่ถักด้วยด้ายหรือไหมเป็นตาโปร่งมีหูรูด
ถงสะชา,น.,ถุงตะเครียว
ถงห่อเข้า,น.,ถุงผ้าใส่ห่อข้าวสำหรับเดินางไกล ๆ ถุงย่ามเย็บด้วยผ้าขาวสำหรับใส่ห่อข้าวและอาหารให้คนตาย ชาวล้านนาจะให้คนคอนหรือสะพายนำหน้าศพไปป่าช้า
ถงหิง,น.,ร่างแหแบบที่ใช้คลุมผมสตรี (หิง - ตาข่ายชนิดละเอียด)
ถงเหล้า,น.,ขี้เมา นักเลงสุรา
ถด,ก.,กระถด ถอยเลื่อนไปเล็กน้อย
ถนอม,ว.,หม่นหมอง เศร้าโศก
ถนัด,ว.,แม่นยำ หนัก เต็มที่
ถนี่,ก.,ตระหนี่ หวง
ถบ,น.,ของเล่นเด็กประกอบด้วยกระบอกไม้ไผ่ขนาดเล็ก มีแกนไม้ซึ่งเมื่อกระทุ้งแกนนั้น ก็จะส่งกระสุนด้วยแรงอัดอากาศและมีเสียงระเบิดดัง
ถบ,น.,เรียกกระบอกขนาดเล็กที่เด็กใช้ยิงกระสุนโดยวิธีการอัดลมซึ่งกระทุ้งด้วยแส้ ว่า บอกถบ เพราะมีเสียงระเบิดดังเช่นั้น เรียกประทัดว่า บ่าถบ หรือ ถบลม
ถบลม,น.,ประทัด
ถปนา,ก.,สถาปนา ตั้ง วาง แต่งตั้ง ถัปปนา ถัปปันนา
ถปนา,ก.,ยกย่องโดยแต่งตั้งขึ้นให้สูง จัดตั้ง จัดสร้าง
ถม,ก.,ถม - เอา ดินหรือสิ่งอื่นใส่ลงไปที่เป็นหลุม กองสุมไว้อย่างไม่เป็นระเบียบ
ถ่ม,ก.,ถ่ม - ทำให้ น้ำลายหรือสิ่งอื่น ๆ ออกจากปากโดยแรง
ถมโข่,ก.,เอากิ่งไม้ไปจัดวางไว้เป็นที่ๆ ในน้ำเพื่อล่อให้ปลาเข้าไปอยู่อาศัยโดยประสงค์จะจับปลา
ถมนาคุณ,ก.,สมนาคุณ ตอบแทนบุญคุณ
ถมหนาม,ก.,สะหนาม -ใช้หนามอย่างหนามไผ่ไปวางไว้เป็นที่ ๆ
ถมอ,น.,หิน (ปรากฏในโคลงนิราศหริภุญชัย)
ถ่วง,ก.,ถ่วงทำให้หนัก ทำให้ช้า
ถ้วน,น.,มาตราวัดความลึกแบบโบราณ เท่ากับความสูงท่วมหัว สุดมือเหยียด คือประมาณ ๒ เมตร
ถ้วน,ก.,ท่วมอย่างน้ำท่วม
ถ้วย,น.,จาน ชาม ภาชนะมีรูปร่างและขนาดต่างๆ เรียก ขนมถ้วยว่า เข้าหนมถ้วย
ถ้วยขาว,น.,ชามสีขาว กาละมังเคลือบ
ถวยใจ,ก.,หายใจ
ถ่วยไจ,ก.,หายใจ
ถ่วยไจออก,ก.,หายใจออก
ถ้วยตะไหล,น.,จาน จานแบน
ถ้วยไตร,น.,จาน จานแบน
ถ้วยถะไหล,น.,จาน จานแบน
ถ้วยบ้าง,น.,ถ้วยที่ปากแตกไปบางส่วน
ถ้วยบิ้ง,น.,ถ้วยที่ปากชำรุดเล็กน้อย
ถ้วยเบิ้ง,น.,ชามกระเบื้อง (ถ้า เบิ้งถ้วย แปลว่าเศษของชาม)
ถ้วยเบี้ยว,น.,ชามเปล มักจะหมายถึง จานสังกะสี
ถ้วยแบน,น.,จานแบน
ถ้วยแผ,น.,จานแบน
ถ้วยสาย,น.,ปิ่นโต ใช้ในบางท้องที่ ทั่วไปใช้ พินโท อ่านว่าปินโต
ถ้วยโห้ง,น.,ชามก้นลึก (โห้ง - เป็นแอ่ง)
ถ้วยอี่ปิก,น.,ถ้วยขนาดเล็กอย่างที่ใช้ใส่นํ้าจิ้ม
ถ้วยแอ่ง,น.,ชามอ่างขนาดไม่ใหญ่
ถวาย,ก.,ให้ มอบให้ ใช้แก่สงฆ์ หรือเจ้านาย
ถ่อ,น.,ถ่อ
ถ่อ,ก.,ถ่อ - ทำให้เรือแพเลื่อนไปด้วยการใช้ไม้ยัน
ถอก,ก.,เท ทำให้ตกหรือไหลอย่างเทน้ำ
ถอง,ก.,สึก กร่อน หมดสิ้นไปทีละน้อย
ถอง,ว.,ถึง จนถึง จนกระทั่ง
ถ่อง,ว.,ชัดเจน แน่แจ้ง สิ้นสงสัย
