คำ,POS,ความหมาย
ปก,น.,เรียกปลาแก้มช้ำว่า ปลาปก
ปก,น.,เรียกนกตีทองว่า นกปก
ปก,น.,โกลม - ชื่อเครื่องมือจับปลาชนิดหนึ่ง
ปก,ก.,ปก - แผ่ออกคลุมเบื้องบน ปิด บัง ยกขึ้น ตั้งขึ้น เช่น ปกเสาเรือน - ยกเสาบ้านขึ้น
ปก,ก.,บอกกล่าว ประกาศ
ปกกะดก,ก.,อาการที่สิ่งของขนาดใหญ่กระดกขึ้น
ปกขาก่ายง้อน,ก.,ยกขาไขว่ห้าง
ปกแฅ่งปกขา,ก.,ยกแข้งยกขา ไม่สำรวมกริยา
ปกเติน,ก.,บอกกล่าว ตักเตือน
ปกเตือน,ก.,บอกกล่าว ตักเตือน
ปกป่าว,ก.,ป่าวประกาศ แจ้งข่าว
ปกหงก,น.,เหง้าไม้
ปกหงก,ก.,อาการที่ของสิ่งใหญ่ผงกขึ้นหรือโผล่ขึ้น
ปกหงก,ว.,ตั้งอยู่ เห็นได้ชัด
ปกหลก,ว.,ลักษณะสิ่งของขนาดใหญ่ที่เป็นก้อนหรือปุ่มปม
ปกหัวเข่า,ก.,(นั่งหรือนอน) ชันเข่า
ปกาสะ,ก.,​ แจ้งให้ทราบทั่วไป
ปกิณณกะ,ว.,เรี่ยราย เบ็ดเตล็ด กระจาย ระคนกัน มักใช้ประกอบหน้าศัพท์
ปง,ก.,ปลง เอาลง เช่น ปลงหม้อแกง
ป่ง,น.,​ ดินที่มีรสเค็ม
ป่ง,ก.,ผลิ มักใช้กับต้นไม้ผลิใบ
ปชา,น.,หมู่สัตว์ หมู่คน
ปฏากะ,น.,ธงที่เป็นผืนยาวห้อยลง ธงอย่างธงตะขาบ
ปฏิมา,น.,รูปแทนองค์พระพุทธเจ้าคือพระพุทธรูป
ปฏิมากระ,น.,รูปแทนองค์พระพุทธเจ้าคือพระพุทธรูป
ปฏิสังขรณะ,ก.,การซ่อมแซม การทำให้ดีเหมือนเดิม
