คำ,POS,ความหมาย
ยก,ก.,ยก เคลื่อนไป พากันไป เดินทาง มอบให้
ยกขันครู,ก.,​ ไหว้ครู
ยกครู,ก.,​ ไหว้ครู
ยกย่าง,ก.,ย่าง ย่างเท้า เดิน
ยกย่างย้าย,ก.,ย่าง ย่างเท้า เดิน
ยง,ก.,ทำให้สูงขึ้น ยกขึ้นอย่างยกของขึ้นจบก่อนทำบุญ
ยง,ก.,จบ ยก มักใช้กับการยกพานหรือเครื่องบูชาเพื่อเป็นการถวาย
ยง,ก.,ยกขึ้น อย่างการยกของขึ้นจบก่อนทำบุญ ทำให้สูงขึ้น ทำให้โปร่งอย่างใช้ไม้เขี่ยฟางให้เมล็ดข้าวร่วงลง ตัวอย่าง ลงฟาง
ย่ง,ก.,ยก ยกขึ้น เช่น ย่งขันโตกเข้ามา - ยกตะลุ่มอาหารมา
ย่ง,ว.,คำประกอบท้ายเพื่อแสดงว่าเบา โล่ง เช่น ใจดีย่ง - เบาใจ
ย้ง,น.,เรียกชื่อกางเกงเป้ายานแบบจีน เตี่ยวย้ง เตี่ยวสะดอ
ยงขัน,ก.,ไหว้ครู
ย่งชัด,ก.,ยกขึ้นแล้วทิ้งไป
ย่งชัด,ว.,คำขยายท้ายคำ หายใจ เช่น หายใจย่งชัด - หอบ หายใจถี่ด้วยความเหนื่อยหรืออ่อนเพลีย
ยงๆ,ว.,เห็นได้ชัดเจน เช่น หัวล้านใสยงๆ
ย่งๆ,ว.,อาการสั่นเทิ้ม สั่นระรัว วูบวาบ เช่น โคมลอยขึ้นย่งๆ - บอลลูนกระดาษลอยวูบวาบขึ้นสู่ฟ้า
ยด,น.,ยศ ดู - ยส
ยน,ก.,​ กระโดดโลดเต้น คึกคะนอง
ย้น,ก.,ดันเข้า อัดเข้า ยัดเข้า ยัดเยียด
