คำ,POS,ความหมาย
รก,น.,รก - เครื่องสำหรับหล่อเลี้ยงทารกในครรภ์ แนบอยู่กับมดลูก มีสายล่ามมาที่สะดือเด็ก สายดือ สายแห่ สายแหร่ สายแจหักแห่ ก็ว่า.
รก,ว.,รก - กระจัดกระจาย ไม่เป็นระเบียบเรียบร้อย งอกขึ้นหรือรวมกันอยู่อย่างยุ่งเหยิง เช่น ป่ารก
รกฟ้า,น.,ต้นรกฟ้า เปลือกให้น้ำฝาดสีแดงใช้ย้อมสีทำยาได้ น้ำด่างจากเถ้าใช้ทำน้ำยาเคลือบเครื่องปั้นดินเผา
รดู,น.,ฤดู - ส่วนของปีซึ่งเป็นสามคราวขึ้นไป เช่น ฤดูร้อน ฤดูฝน ฤดูหนาว
รดู,น.,เลือด - ประจำเดือนของผู้หญิง
รตนไตร,น.,​ แก้วสามประการ หมายถึง พระพุทธ พระธรรม พระสงฆ์
รตนะ,น.,​ แก้ว : คน สัตว์ สิ่งของที่ถือว่าวิเศษมีค่ามาก
รถ,น.,รถ เกวียน ยานที่มีล้อสำหรับเคลื่อนไป
รถกูบ,น.,รถเก๋ง - รถยนต์ส่วนบุคคลที่มีหลังคาคล้ายหลังเต่า
รถขายอยา,น.,หน่วยโฆษณาเคลื่อนที่ของบริษัทที่ผลิตและจำหน่ายยารักษาโรค มักจะแายภาพยนตร์กลางแปลงในการโฆษณาขายยา
รถเครื่อง,น.,รถจักรยานยนต์
รถซาเล้ง,น.,รถจักรยานสามล้อชนิดที่มีกระบะบรรทุกของอยู่ด้านหน้าผู้ขับขี่ มักมีสีแดง
รถต่างครัว,*น.,รถบรรทุกของ
รถตุ๊กๆ,น.,รถจักรยานยนต์สามล้อ มักใช้รับจ้าง
รถถีบ,น.,รถจักรยานสองล้อ
รถพู้,น.,รถจักรยานสองล้อแบบชาย
รถมอเทอร์,*น.,รถยนต์ มักหมายถึงรถโดยสาร
รถม้า,น.,รถม้า
รถแม่,น.,รถจักรยานสองล้อแบบหญิง
รถสองวง,น.,รถจักรยานสองล้อ
รถสามล้อ,น.,รถจักรยานสามล้อ มักใช้รับจ้าง
รถสามล้อเครื่อง,น.,รถจักรยานยนต์สามล้อ มักใช้รับจ้าง
รถสามล้อแดง,น.,รถจักรยานสามล้อชนิดที่มีกระบะบรรทุกของอยู่ด้านหน้าผู้ขับขี่ มักมีสีแดง
รถสี่ล้อ,น.,รถสองแถว - รถยนต์โดยสารขนาดเล็กที่ต่อเติมจากรถกระบะ นิยมใช้รับจ้างในเมืองเก็บค่าโดยสารเป็นรายหัว ไม่เก็บตามระยะทาง
รถสี่ล้อแดง,น.,รถสองแถว - รถยนต์โดยสารขนาดเล็กที่ต่อเติมจากรถกระบะ นิยมใช้รับจ้างในเมืองเก็บค่าโดยสารเป็นรายหัว ไม่เก็บตามระยะทาง
รนึก,ก.,ระลึก คิดถึง นึกถึง
รบ,ก.,รบ ต่อสู้ ข้าศึก
รบ,ก.,วิงวอน หรือเร้าจะเอาให้ได้
รบเรว,ก.,ต่อสู้ (ล้านนาไม่นิยมใช้)
รม,ก.,รม - อบด้วยความร้อนของไฟ ด้วยควัน หรือด้วยกลิ่น
ร่ม,น.,ร่ม - บริเวณที่ไม่ถูกแดดถูกฝน
ร่ม,ว.,ซึ่งไม่มีแดดหรือฝน
รมัก,ว.,รื่นรมย์ น่าบันเทิงใจ น่าสนุก
รเมา,ว.,รื่นรมย์ เป็นที่พอใจ
รวก,น.,ไม้รวก
รวก,น.,ลูกอ๊อด - ลูกกบหรือเขียด ขณะยังมีหางและอาศัยอยู่ในน้ำ เรียก อี่รวก และเรียกชื่อตามชนิด เช่น อี่รวกกบ อี่รวกเขียด อี่รวกอึ่ง
รวง,น.,รวง - พวง ช่อ
รวง,น.,เรือนขนาดใหญ่กว้างและโล่ง
ร่วง,น.,นามของพ่อขุนรามคำแหง ซึ่งมรตำนานเรียก พระยาร่วง
ร้วง,น.,ชื่อแม่ปีแม่วันอันดับแปดในจำนวน ๑๐ ชื่อ ล้วง ก็ว่า.
ร้วง,ก.,​ มัดอ้อมไปด้านหลังของสิ่งใหญ่ มัดรวบขุดให้เป็นช่องใต้ แท ให้น้ำเข้าคลองมาก
ร้วง,ก.,ทำด้ายให้ทบกันเป็นหลายเส้นเพื่อทำด้วยผูกข้อมือหรือสายสิญจน์
ร่วน,น.,ร่วน แตกละเอียดได้ง่าย
ร่วน,ว.,ลักษณะไข่ที่ฟักแล้วไม่เป็นตัว เมื่อต้มแล้วมีลักษณะเป็นก้อนและยุ่ยง่าย
ร่วนร้อง,ก.,ส่งเสียงดัง (กวี)
รวบ,ก.,รวบ - กอด รัด อาการที่รวมเอาสิ่งต่างๆ เข้ามาไว้ด้วยกันให้เป็นฟ่อน เป็นมัด เป็นกลุ่ม เป็นกอง ด้วยวิธีต่างๆ อย่างเอามือทั้งสองโอบกวาดเข้ามาหาตัวหรือเอามาอยู่ในอำนาจ
รวบรัด,ก.,รวบเข้่ามาและรัดไว้ให้แน่นอย่างการขันชะเนาะ
ร่วม,ก.,ร่วม - มีส่วนรวมอยู่ด้วยกัน สมทบ
ร่วมกินร่วมทาน,ก.,ร่วมทำบุญและร่วมฉลองด้วยกัน
ร่วมขันเข้า,ก.,​ ร่วมรับประทานอาหารสำรับเดียวกัน
รวาย,น.,คำนำหน้าชื่อปีนักษัตรประกอบการนัลปีหรือวันตรงกับเบข ๘ ล้านนา ถือว่าเป็นแม่ปีหรือแม่วัน ปี รวายสะง้า วัน รวายยี เป็นต้น
รวาย,ว.,รุ่งเรือง เจริญ มักใช้ประกอบคำอื่น เช่น รวายเรือง - รุ่งเรือง
รวายตรี,น.,ราตรี กลางคืน
รวายถี,น.,ราตรี กลางคืน
รวายเรือง,น.,คำนำหน้าชื่อปีนักษัตรประกอบการนัลปีหรือวันตรงกับเบข ๘ ล้านนา ถือว่าเป็นแม่ปีหรือแม่วัน ปี รวายสะง้า วัน รวายยี เป็นต้น
รวายสี,น.,ราศี - กอง หมู่ เช่น บุญราสี ความสง่า ลักษณะความดีงามของคน
รวายสี,น.,กลุ่มดาวที่พระอาทิตย์โคจรผ่านในแต่ละเดือน
รส,น.,รส - สิ่งที่รู้ได้ด้วยลิ้น ดูเพิมที่ รสะ
รสะ,น.,รส - สิ่งที่รู้ได้ด้วยลิ้นโดยเฉพาะ เช่น เปรี้ยว หวาน
รสี,น.,ฤาษี - นักบวชผู้อยู่ในป่า
รหัส,น.,เหตุลับ ความลับ
รอ,ก.,กรอ ฝนหรือขัดให้กร่อนบางลง
ร่อ,ว.,"ซึ่งกันและกัน ผินหน้าเข้าหากัน จ่อ จด ใกล้ เช่น ลิลิตพระลอว่า ""...พระพักตร์ดุจดวงดอกบัว บานร่อกันนา..."" บ่ปากร่อกัน - ไม่ยอมพูดกับอีกฝ่ายหนึ่ง"
รอก,น.,กระรอก อี่ฮอก ก็ว่า.
รอก,น.,กระดิ่งเครื่องไม้มีรูปคล้ายกระดิ่ง มีลูกกระทบแววนประกบอยู่สองข้าง ใช้แขวนคอสัตว์อย่างวัวควาย
รอกกะแหล้ม,น.,กระดึงทำเป็นรูปแบน มีลูกกระทบหลายอันเรียงกันอยู่ภายใน มักใช้แขวนคอแม่วัวหรือแม่ควาย
รอกกิก,น.,กระดึงขนาดเล็กสำหรับแขวนคอลูกวัว ทำจากไม้หรือเขาสัตว์ ก็ได้
รอกแข้มแหล้ม,น.,กระดึงทำเป็นรูปแบน มีลูกกระทบหลายอันเรียงกันอยู่ภายใน มักใช้แขวนคอแม่วัวหรือแม่ควาย
รอง,ก.,รอง - รับให้สิ่งอื่นวางอยู่เบื้องบน หนุนให้สูงขึ้นอย่างรองโต๊ะ
รอง,ก.,สำรอง มีไว้เผื่อเหลือเผื่อขาด
ร่อง,น.,ร่อง ดูเพิ่มเติมที่ ร่อม
ร้อง,น.,ช่วงระยะที่ตะโกนถึงกันได้ เรียกว่า เช่นร้อง
ร้อง,ก.,ร้อง - เปล่งเสียงดัง โดยปริยายหมายถึงออกเสียงดังอย่างฟ้าร้อง เรียก บอกให้ไปหา
ร้อง,ก.,ร้องไห้ มักใช้ ไห้ มากกว่า
ร่องขี้ไถ,น.,รอยไถ
ร้องซ้าว,ว.,ส่งเสียงเซ็งแซ่
ร้องตายร้องวาย,ว.,โวยวาย ส่งเสียงดังเหมือนจะขาดใจตาย
ร้องถ้อง,ก.,ส่งเสียงร้องโต้ตอบกันไปมา
ร้องป่าว,ก.,ป่าวประกาศ ตะโกน บอกข่าว
รองพืน,น.,ชื่ออันดับสองของระบบเก้ากองซึ่งมี ๑๒ ชื่อ
รองพื้น,น.,ชื่ออันดับสองของระบบเก้ากองซึ่งมี ๑๒ ชื่อ
ร่องรอย,น.,เบาะแส เครื่องหมายซึ่งทิ้งไว้เป็นแนวบ่งให้รู้ ร่องรอย
ร้องร่ำริร่ำไร,ก.,ร้องคร่ำครวญ ร้องโหยหวน ร้องและรำพัน
ร่องรูดัง,น.,ร่องที่อยู่ระหว่างริมฝีปากบนกับฐานจมูก
ร่องแร่ง,ว.,อาการที่ห้อยแกว่งไปมา
ร่องแร่งต่องแต่ง,ว.,อาการที่ห้อยแกว่งไปมา
ร่องล้อ,น.,ทางเกวียนที่เดินจนเป็นร่อง
ร้องลุก,ก.,เรียกให้ตื่น ปลุก
