คำ,POS,ความหมาย
หก,น.,หก
หก,ก.,วิ่ง กระโดด เต้น โลด ผันกลับไปกลับมา แสดงอาการคึกคะนอง
หกขะหยก,ก.,ผก โขยกเขยก อย่างอาการของม้าโขยก
หกขึ้นหกล่อง,ก.,ขึ้น ๆ ล่อง ๆ มักหมายถึงการไปโน่นมานี่แต่ไม่ได้ผลหรือเป็นเรื่องเป็นราว
หง,ก.,โยน โปรย
หง,ก.,หุง - ปรุง ทำให้สุกด้วยไฟ ดู โหง
หง,ก.,หุง ปรูง ถลุง ต้ม กลั่น อย่าง หุงเหล้า - กลั่นสุรา หุงเข้า - หุงข้าว หุงแร่ - ถลุงแร่
หง,ก.,โยน โปรย เช่น โหงบ่านาว - โปรยมะนาวเป็นการทิ้งทาน
หงก,ว.,ลักษณะเป็นโหนกนูนหรือตะโหงกอย่างตอไม้
หงกหงัก,ว.,ลักษณะโหนกนูนเป็นตะโหงกโง้งงอ
หงบ่านาว,ก.,โปรยทาน ทิ้ง ทาน - นิยมใช้เงินเหรียญสอดไว้ในมะนาว หรือก้านกล้วยที่ตัดเป็นท่อนสั้น ๆ เพื่อโปรย เป็นการทิ้งทานในขณะเคลื่อนขบวนศพ หรือขบวนแห่นาค
หงวบ,ก.,กัด ขย้ำ - อาการที่สัตว์อย่างสุนัขงับสิ่งของ
หงวม,ก.,ตะปบ ตะครุบ คว้า ฉวย
หง่วย,ว.,เป็นง่อย
หงวาบ,ก.,กัด ขย้ำ - อาการที่สัตว์อย่างสุนัขงับสิ่งของ
หงวาบ ๆ,ว.,อาการปวดมากเรียก ขบหงวาบ ๆ
หงวาบเหงวบ,ว.,อาการปวดมากเรียก ขบหงวาบ ๆ
หงวาม,ก.,ตะปบ ตะครุบ คว้า ฉวย
หงว้าว ๆ,ว.,เสียงแมวตัวผู้เรียกหาตัวเมีย ประกอบที่ แหง้ว ๆ หรือ แหงว้ว ๆ
หงส์,น.,หงส์ - นกในนิยายถือกันว่าเป็นนกในตระกูลสูง งดงามและมีเสียงไพเราะ
หงเหล้า,ก.,หุงเหล้า กลั่นสุรา
หงอก,ว.,หงอก ใช้แก่ขนหรือผมคนที่เปลี่ยนจากสีเดิม
หง็อกแหง็ก,ว.,งอพับไปพับมา
หง้องแหง้ง,ว.,เสียงอย่างลูกหมาส่งเสียงขณะกัดกัน
หง้องแหง้ง,ว.,ลักษณะของสิ่งเล็กที่งอพับไปมา
หง็อด ๆ,ว.,อาการที่ปวดตุบ ๆ อย่างเล็บขบ
หง็อดแหง็ด,ว.,งอพับไปพับมา
หงอน,น.,หงอน
หง่อน ๆ,ว.,อาการสั่นด้วยความชรา
หงอนไก่,น.,หงอนของไก่
หงอนไก่,น.,เรียกดอกหงอนไก่ซึ่งเป็นพรรณไม้ล้มลุกที่มีดอกสีแดงคล้ายหงอนไก่ว่า ดอกดายหงอนไก่
หง่อม,ว.,หง่อม - แก่มากจนหลังงอ
หง้อม,ก.,ง้อมลง งุ้มลง
หง้อม,ก.,ไม่พึงพอใจ
หง้อม,ว.,ง้ำ ค้อมอย่างปากนกแกว
หงอม ๆ,ว.,อาการที่กินอาหารอย่างสงบและต่อเนื่อง
หง้อมเคาะเงาะ,ว.,ลักษณะง้อม งุ้ม
หง้อมเคาะเงาะ,ว.,ทำสีหน้าเพราะถูกด่า หน้าม่อย
หงอย,ว.,หงอย -ไม่สดชื่น ซบเซา
หงัก,ก.,ก้มลง น้อมลง พับลง
หงักคาง,ก.,พยักหน้า
หง่างเงง,ว.,กระโดกกระเดก ไม่เสมอกัน
หง้างเหง้ง,ว.,ลักษณะของสิ่งใหญ่ที่ เกะกะ ดู ง่างเงง
หงาด,ก.,ใช้ฟันหน้ากัดหรือแทะ
หงาน,น.,ตะโหงก เรียกเนื้อนูนที่ขึ้นตรงคอวัวควาย เป็นต้น เมื่อเวลาหนุ่ม
หงาน,ว.,ฉกรรจ์ เปลี่ยว หนุ่ม คะนอง
หงาย,ก.,หงาย - ตรงข้ามกับคำว่าคว่ำ
หง้าว ๆ,ว.,เสียงแมวตัวผู้เรียกหาตัวเมีย ประกอบที่ แหง้ว ๆ หรือ แหงว้ว ๆ
หงำ,ก.,บัง ข่ม ครอบงำ คลุม อย่างต้นไม้ใหญ่แผ่กิ่งและใบบดบังไม้ต้นเล็ก
หงิก,ว.,หงิก - งอที่ปลาย อย่างใบไม้หงิก
หงิ้น,ก.,เทให้ไหลออกเรื่อย ๆ ทีละน้อย
หงิ้น,ก.,ริน - ระบายน้ำออกให้หมด อย่างเอียงหม้อเทน้ำออกจนไม่ให้น้ำค้างอยู่เลย เหลือแต่สิ่งที่ต้องการ
หงีบ,น.,ขมับ - ส่วนที่อยู่หางคิ้วเหนือกระดูกแก้มทั้งสองข้าง
หงุ่น ๆ,ว.,อาการสั่นกระเพื่อมอย่างวุ้น
หงูบ,ก.,หงุบ - ฟุบลง งุบลง เอนล้มไปด้านหน้า
หงูบหงาบ,ก.,หงุบหงับ – ฟุบลง อาการที่ฟุบลง ช่วยตัวเองไม่ได้
หงูบหงาบเหงบ,ก.,หงุบหงับ – ฟุบลง อาการที่ฟุบลง ช่วยตัวเองไม่ได้
หญ้าหลับมืน,น.,ชื่อพืชตรงกับชุมเห็ดเทศ ดู เล็บมืน
หด,ก.,รด - เท ราด หรือสาดน้ำไปยังสิ่งใดสิ่งหนึ่งเพื่อให้เปียกชุ่ม
หด,ก.,หด - สั้นเข้า ร่นเข้า ลดลง
หดดอก,ก.,รดน้ำดอกไม้
หดทรง,ก.,สรงน้ำ รดน้ำในพิธีการเพื่อยกย่องสถานภาพของบุคคลให้สูงขึ้นอย่างพิธีราชาภิเษกหรือสังฆาภิเษก
หดน้ำปีใหม่,ก.,รดน้ำในเทศกาลสงกรานต์
หดหย้อ,ก.,ย่นย่อ ระย่อ หวาดกลัว
หทยะ,น.,หทัย หัวใจ ใจ
หน,น.,ทาง ทิศ ฝ่าย ครั้ง คราว
หน,ก.,ถอยอย่างถอยหลัง
หน ๆ ขวาวง ๆ,ว.,รี ๆ ขวาง ๆ หาทางที่จะถอย ไม่ยอมไปข้างหน้า
หนขวัญ,น.,การผูกข้อมือให้แก่ผู้ที่ตกใจด้วยอุบัติเหตุ หรืออย่างอื่นโดยไม่มีพิธีบายศรี มีข้าวเหนียว ๑ ปั้นกลัวย ๑ ลูก แล้วเรียกขวัญ พร้อมผูกข้อมือ
หนทาง,น.,ถนน ทางเดิน แนวทาง
หนที,น.,ครั้งแรก คราวแรก
หนที,น.,หัวที - เวลาแรก ครั้งแรก ตอนต้น
หนบ้าน,น.,คามวาสี คันถะธุระ - หมายถึง พระสงฆ์ที่อยู่ในเขตเมืองซึ่งมุ่งไปในด้านการศึกษาพระคัมภีร์หรือด้านปริยัติธรรม
หนป่า,น.,อรัญวาสี - วิปัสสนาธุระ - หมายถึง พระสงฆ์ที่อยู่ในเขตนอกเมืองซึ่งมุ่งเน้นไปในด้านการบำเพ็ญกรรมฐาน
หนป่าแดง,น.,หมายถึง ภิกษุในสำนักหรือเชื่อตามการสั่งสอนแบบวัด ป่าเดง เข้ยงใหม่ ซึ่งเป็นแบบลังกาวงค์ใหม่
หนพายนอก,น.,ฝ่าย ฆราวาส มักปรากฏคู่คับ หนพายใน ในการกล่าวถึงกิจกรรมการทำบุญ
หนภายใน,น.,ฝ่าย บรรพชิต ฝ่ายนักบวช คู่กับ หนพายนอก หรือ พายนอก มักใช้กล่าวในกิจกรรมการทำบุญ
หนลุน,ว.,ครั้งหลัง ในคราวหลัง
หนวก,ก.,ไม่ได้ยิน (ใช้แก่หู)
หนวกหู,ว.,มีเสียงเซ็งแซ่อื้ออึงชวนรำคาญ
หนวด,น.,หนวดมือหรือหนวดของพรรณไม้เลื้อยบางชนิดใช้เกาะสิ่งอื่นอย่างมือ
หนวดว้อง,น.,มีหนวดเป็นวง โว้ง
หน่วย,น.,ผลไม้สิ่งที่มีลักษณะกลมป้อมขนาดใหญ่กว่าเมล็ด เช่น ลูกตา ลูกกระสุน
หน่วย,ลัก.,เรียกสิ่งที่กลมป้อม
หน่วยตา,น.,ลูกตา นัยน์ตา
หน่วยไม้,น.,ผลไม้ทั้งลูก บางครั้งหมายถึง เม็ด (ถ้าเม็ดที่ใช้ทำพันธุ์ด้วยเรียกว่า แก่น)
หนเวียง,น.,ลัทธิการนับถือพุทธศาสนาแบบที่มีวัดนันทาราม เชียงใหม่เป็นแกนนำ
หนสวนดอก,น.,ลัทธิลังกาวงค์หรือสีหลนิกายเก่า ดูเพิ่มเติมที่ หนป่าแดง
หนอ,*อ.,คำออกเสียงแสดงความรำพึง
หน่อ,น.,หน่อไม้ไผ่ พืชที่งอกจากกอหรือเหง้าของต้นใหญ่ โดยปริยายเรียกสิ่งที่เกิดขึ้นเช่นนั้น อย่าง ลูก ลูกชาย เชื้อสาย
หนอก,น.,หนอก - ก้อนเนื้อที่ต้นคอของสัตว์บางอย่าง เช่น วัว
หนอก,น.,ผักหนอก บัวบกใบและต้นกินได้ และใช้ทำยาได้ เรียกว่า ผักหนอก
หนอก,ว.,ลักษณะของสิ่งที่โหนกนูนคล้ายหนอกวัว
หน็อก,ก.,กระตุก กระทก ชักหรืองอเข้ามาโดยเร็ว แต่ไม่ใช้กำลังมาก เช่น กระตุกสายว่าวหรือ อาการที่ปลากินเหยื่อ ทำให้ทุ่นของเบ็ดตกปลาเคลื่อนไหว
หน็อก ๆ,ว.,ตงิด ๆ ใช้กับความคิดถึง เช่น คิดเทิงหาหน็อก ๆ - คิดถึงตงิด ๆ
หน่อกก,น.,ลูกคนโต
หนอง,น.,หนอง - แอ่งน้ำที่ใหญ่กว่า บวก ทั้งที่เกิดเพราะคนขุดขึ้นหรือโดยธรรมชาติ
หนอง,น.,น้ำเลือดที่กลายเป็นสีขาวขึ้นที่กลัดอยู่ตามแผลและฝี
หนอง,น.,ผักกระเฉด เรียกว่า ผักหนอง
หน่อง,ก.,ดึง เหนี่ยว รั้ง ดูเพิ่มเติมที่ หน่วง
หน้อง,น.,กระเทย (แพร่)
หน่องแนง,น.,สะพานไม้ไผ่สองลำที่ทอดขนานกันและมัดไว้พอไม่ให้แยกจากกัน ว่า ขัวหน่องแนง
หน่องแนง,น.,เรียกวิธีมัดแบบตีตรวนนักโทษว่า มัดหน่องแนง
หน่องแนง,ว.,น่องแน่ง ติดกันนุงนัง
หน่องหนัก,น.,รา - ไม้ที่กระหนาบอยู่ใต้ตงหรือพื้นเรือนเพื่อมิให้พื้นอ่อน อยู่ระหว่างรอด
หน้องแหน้ง,ว.,น่องแน่ง ติดกันนุงนัง
หน้องแหน้ง,ว.,ท่าทางการเดินที่อ้อนแอ้นเรียกว่า เทียวหน้องแหน้ง
หน่อตา,น.,หน่อไม้ไผ่ที่งอกออกจากตาไม้ในระดับผิวดิน
หนอน,น.,หนอน
หนอนน้ำ,น.,ลูกน้ำ
