คำ,POS,ความหมาย
อก,น.,อก - อวัยวะ ด้านหน้าถัดคอลงมาและกัดท้องขึ้นไป
อก,น.,ไป มาตราวัดความยาว กำหนดเอาช่วง ตั้งแต่ปลายแขนจนถึงกลางอก
อก,น.,(โบ) คำเรียกบุตรหญิงคนที่ ๖ คู่กับเรียกบุตรชายคนที่ ๖ ว่า ลก
อกไข,ว.,เปิดอก อกกว้าง อกใหญ่ งาม ผึ่งผาย
อกเจ้าพ่อ,ว.,"“อกพ่อเอย"" คำอุทานแสดงความรักความสงสาร"
อกเจ้าพ่ออก,ว.,"“อกพ่อเอย"" คำอุทานแสดงความรักความสงสาร"
อกเจ้าแม่,ว.,"""อกแม่เอ๋ย"" คำอุทานแสดงความรักความสงสาร"
อกเจ้าแม่อก,ว.,"""อกแม่เอ๋ย"" คำอุทานแสดงความรักความสงสาร"
อกตัญญู,น.,ผู้ไม่รู้คุณที่ท่านผู้อื่นทำแก่ตน
อกพุทโถ พุทโธ,*อ.,"คำอุทาน อย่างคำ ''พุทโธ่"""
อกพุทโธ,*อ.,"คำอุทาน อย่างคำ ''พุทโธ่"""
อกุสล,น.,ความชั่ว ความไม่ดี
อคติ,น.,ความลำเอียง ๔ อย่าง คือ ฉันทาคติ - ลำเอียงเพราะรัก โทสาคติ - ลำเอียงเพราะโกรธ ภยาคติ - ลำเอียงเพราะกลัว โมหาคติ - ลำเอียงเพราะเขลา
อโฆสะ,ว.,ไม่ก้อง เรียกพยัญชนะที่มีเสียงไม่ก้องว่าพยัญชนะอโฆสะ คือ ก ข จ ฉ ฏ ฐ ต ถ ป ผ ศ ษ ส และห
อง,ว.,ลักษณะศีรษะที่เถิกแต่ยังไม่ล้าน
อ้ง,น.,อุ้ง อย่างอุ้งมือ
อ้ง,น.,อก อย่างอกไก่
อ้ง,น.,ลักษณะของที่เป็นอุ้งหรือแอ่ง เว้าเป็นภาชนะได้
องแก่นตา,น.,เบ้าตา
อ้งขะหล้ง,น.,ที่ซึ่งยุบลงหรือทำให้เป็นแอ่งมีขนาดใหญ่กว่าที่ควร อย่างที่นอนที่ยุบลงเป็นแอ่ง
องค์คราน,น.,รูปโฉมอันงาม
องคะ,น.,ส่วนของร่างกาย อวัยวะ ตัว รูปโฉม เช่น เสียองคะ - เสียโฉม พิการ
องคุลี,น.,นิ้ว
องฅาน,น.,รูปร่างงาม
องมง,น.,อุโมงค์
อ้งหม้ง,น.,ที่ซึ่งเป็นแอ่งโดยธรรมชาติ
องอาจ,ว.,องอาจ กล้าหาญ ผึ่งผาย สง่างาม
อจินเตยย,น.,สายฟ้าแลบที่พ้นความคิด ไม่ควรคิด (สิ่งที่ไม่ควรคิด มี ๔ อย่าง คือ พุทธวิสัยของพระพุทธเจ้าทั้งหลาย ๑ ญาณวิสัยของผู้ได้ฌาน ๑ วิบากแห่งกรรม ๑ แนวความคิดเรื่องโลก ๑)
