Word,POS,Definition
ธชะ,น.,ธง เครื่องหมาย สัญลักษณ์
ธตรฐะ,น.,ชื่อท้าวมหาราชที่ดูแลทิศตะวันออกของเขาพระสุเมรุ เป็นหัวหน้าของเหล่าคนธรรพ์ หนึ่งในท้าวจตุโลกบาล
ธนะ,น.,ทรัพย์สิน เงินตรา
ธนู,น.,ธนูรูปวัวหรือควายที่ใช้ตอกสานหรือใช้ดินปั้นแล้วลงอาคมเพื่อต่อต้านศัตรู
ธนูสิง,น.,​ ธนูคู่บุญของตัวละครในชาดกเรียกว่า ธนูสิง หรือ ธนูสิงห์ ฝีมือยิงธนู ศิลปะการยิงธนู
ธมกรกะ,น.,กระบอกกรองน้ำของพระสงฆ์
ธมมกถา,น.,การกล่าวธรรม ถ้อยคำที่เป็นธรรม
ธรณี,น.,แผ่นดิน พื้นแผ่นดิน
ธรมาน,ว.,ยังดำรงชีวิตอยู่ มักใช้กับพระพุทธเจ้า
ธอ,ก.,ภาชนะที่มีสิ่งของบรรจุอยู่
ธอรณี,ก.,ภาชนะที่มีสิ่งของบรรจุอยู่
ธอรณีสาร,น.,​ เสนียดจัญไร
ธอรมาน,น.,​ เสนียดจัญไร
ธอเหมี้ยง,น.,ภาชนะคล้ายไหข้าวทำด้วยไม้หรือไม้ไผ่สานแต่มีขนาดใหญ่กว่ามาก ใช้บรรจุเหมี้ยง
ธ็อก,น.,เงินตราชนิดหนึ่งทำด้วยเงิน มีลักษณะกลมแบนคล้ายลูกสะบ้า
ธ็อก,ก.,รอง หนุน แบก ใช้บ่ารับน้ำหนัก เช่น เอาบ่าธ็อก คือ เอาไหล่หนุน
ธ้องน้อง,ว.,โค้งหรือโก่งมาก ใช้กับสิ่งของขนาดเล็กอย่างคันเบ็ด มักใช้ร่วมกับคำว่า โก่ง เป็น โก่งธ้องน้อง
ธอน,ก.,ทอน - ตัดหรือบั่นให้เป็นท่อนๆ ทำให้สั้นลงหรือลดลง เพิ่มเงินให้ครบราคาของที่ตนมีส่วนอยู่นั้นเพื่อความเป็นเจ้าของโดยสมบูรณ์ หักเงินตามราคาแล้วคืนส่วนที่เหลือไป เช่น ทอนเงิน
ธอนไฟ,น.,ราไฟ ถอนฟืนออกจากเตาบ้าง
ธะล้อ,น.,เครื่องดนตรีคล้ายซอด้วงของไทยภาคกลาง
ธัญญชาติ,น.,คำรวมเรียกข้าวต่างๆ
ธัมม์,น.,คัมภีร์ใบลานที่เกี่ยวข้องกับพระพุทธศานา โดยทั่วไปเรียกว่า ธัมม์ คำสั่งสอนในพุทธศาสนา
ธัมม์,ว.,​ ดีงาม ถูกต้อง
ธัมม์ชาตาเดือนเกิด,น.,คัมภีร์ที่กำหนดให้ผู้เกิดในแต่ละเดือนพึงสร้างหรือมีส่วนสร้างถวายไว้ในพุทธศาสนา ซึ่งมีชื่อคัมภีร์หรือชาดก ดังนี้ เดือนเกียง หรือเดือนเจียง - สุทธนู หรือปฐมกัปป์ เดือนยี่ - ช้างฉัททันต์ หรือ ปทุมกุมาร เดือนสาม - มัฎฐกุณฑลี หรือ มโหสถ เดือนสี่ - หงส์ผาดำ หรือ ภูริทัตต์ เดือนห้า - อุทรา หรือ โปริสาท เดือนหก - พุทธโฆสา เดือนเจ็ด - อรินทุมหรือเนมิราช เดือนแปด - ภารทมานหรือสิทธาตถ์ เดือนเก้า - พุทธาภิเสก หรือสิบชาติ เดือนสิบ - สุวัณณสาม เดือนสิบเอ็ด - พุทธนิพพาน หรือ เวสสันตระ เดือนสิบสอง - มหามังคลสูตรหรือสมภมิตต์ (บุญคิด)
