Word,POS,Definition
ปรวนแปร,ก.,เปลี่ยนไปเปลี่ยนมา
ประกอบ,ก.,เอาชิ้นส่วนต่างๆ มารวมหรือคุมกันเข้าเป็นลักษณะที่ต้องการ
ประกัน,ก.,รับรองว่าจะรับผิดในความเสียหายที่เกิดขึ้น
ประกา,น.,ดอกไม้
ประกาย,น.,ดาว
ประการ,น.,อย่าง ทำนอง แบบ
ประคำ,น.,ลูกกลมๆ ที่ร้อยเป็นพวงสำหรับการนับในเวลาบริกรรมภาวนา
ประจน,ก.,ผจญ ต่อสู้ ต้านทาน
ประจนแพ้,ก.,ปราบแล้ว ได้ชัยชนะ
ประจัย,น.,ปัจจัย เหตุอันเป็นทางให้บังเกิดผล
ประจัย,ก.,ประจำ คอยเฝ้า เป็นปรกติ เสมอ
ประจิต,ก.,ประดับ ตกแต่ง
ประชุม,ก.,ประชุม ชุมนุม
ประณม,ก.,​ น้อมไหว้
ประณีต,ว.,ละเอียด ดีเลิศ
ประดับประดา,ก.,ประดับ ตกแต่ง
ประดุจ,ว.,เปรียบ เหมือน
ประตู,น.,ช่องทางเข้าออกของบ้านเรือน เป็นต้น
ประถม,ว.,ปฐม ลำดับแรก
ประทักขิณ,ก.,เวียนขวา
ประทัด,น.,บรรทัด กำหนด มาตรฐาน
ประทัด,น.,เส้นเชือกชุบหมึกใช้ดีดเป็นแนวตรง
ประทีป,น.,​ ประทีป โคม ตะเกียง
ประทืน,น.,ประทุน หลังคารถ เรือ หรือเกวียนที่มีรูปโค้งคุ่ม
ประเทส,น.,บ้าน เมือง แว่นแคว้น
ประธาน,น.,หัวหน้า ผู้เป็นใหญ่
ประธาน,ก.,ประทาน ให้ มอบให้
ประนม,ก.,ยกมือขึ้นกระพุ่ม ไหว้
ประปราย,ก.,​ โปรยปราย เรี่ยราย
ประมุข,น.,​ ประธาน หัวหน้า ผู้เป็นใหญ่
ประโยชนะ,น.,สิ่งที่มีผลใช้ได้ดีสมกับที่คิดหมายไว้
ประสงค์,ก.,ต้องการ อยากได้ มุ่งหมาย
ประสาน,ก.,ทำให้เข้ากันสนิท เชื่อม
ประสุม,ก.,ประชุุม ชุมนุม
ประสุมชุ่มนุม,ก.,ประชุม ชุมนุม
ประสูติ,ก.,ประสูติ คลอดลูก
ประเสิฏ,ว.,ประเสริฐ ดีงาม
ประหนิม,น.,ถนิม เครื่องประดับกาย
ประหนีต,ว.,ประณีต ละเอียด ลึกซึ้ง
ประหมวน,ก.,รวบรวมให้เป็นระเบียบหมวดหมู่
ประหมาท,ก.,ประมาท เลินเล่อ
ประหมาน,ก.,ประมาณ คาดหลักเกณฑ์ กำหนด
ประหยา,น.,ปัญญา ความรู้ทั่ว
ประหัส,น.,วันพฤหัสบดี ดูเพิ่มเติมที่ ผัด
ประหาร,น.,ฆ่า การตี การฟัน การล้างผลาญ
ประอูบ,น.,ผอบ ภาชนะขนาดเล็กมีฝาปิด
ปรากฏ,ก.,สำแดงออกมาให้เห็น
ปราการ,น.,กำแพงสำหรับป้องกันการรุกราน
ปราง,น.,มะปราง
ปรางค์,น.,สถูปหรือปราสาทมียอดสูง ปราสาท
ปราจีน,น.,ทิศตะวันออก
ปราชญ์,น.,ผู้มีปัญญารอบรู้
ปราณี,ก.,เอ็นดูด้วยความสงสาร
ปราทีส,น.,ประทีป โคม ตะเกียง
ปราบ,ก.,ทำให้อยู่ในอำนาจ
ปราบเหง้า,น.,ปราบแล้วทุกอย่าง หมายถึงกษัตริย์
ปราม,น.,ปะรำ - สิ่งปลูกสร้างชั่วคราว มีเสา หลังคาแบนคาดด้วยผ้าหรือใบไม้
ปรามาส,น.,การจับต้อง การลูบคลำ
ปรามาส,ก.,ดูถูก
ปราย,ก.,ปราย - ซัด หว่าน สาดให้กระจายไป โปรด เมตตา ซึ่งมักใช้กับ โปรด เป็น โปรดปราย
ปรารถนา,ก.,ปรารถนา มุ่งหมาย อยากได้ ต้องการ
ปราสรัย,น.,ปราศรัย - การพูดด้วยไมตรีจิต
ปราสสจาก,ก.,ปราศจาก - ไม่มี ขาด จากออก
ปราสาท,น.,เรือนมียอดเป็นชั้นๆ สำหรับเป็นที่ประทับของพระเจ้าแผ่นดินหรือประดิษฐานสิ่งศักดิ์สิทธิ์
เปรต,น.,เปรต - สัตว์ในอบายภูมิจำพวกหนึ่ง
เปรียบ,ก.,เปรียบ - เทียบเอาสิ่งหนึ่งเข้ามาเทียบกับอีกสิ่งหนึ่งเพื่อให้เห็นความใกล้ชิดหรือความต่าง
เปรียบเทียม,ก.,เปรียบเทียบ
แปร,ก.,เปลี่ยน กลายจากลักษณะหรือภาวะเดิม
แปรปรวน,ก.,แปรปรวน - เปลี่ยนไปเปลี่ยนมา
แปร่,ก.,ขยายออก คลี่ออก
