Word,POS,Definition
ฟก,ว.,ฟก - บวม ช้ำ บวมช้ำตามร่างกายเพราะถูกกระทบกระแทกอย่างแรง เป็นต้น
ฟอก,ก.,ฟอก ทำให้สะอาดหมดจด เช่น ฟอกผ้า ทำให้เกลี้ยงเกลา เช่น ใช้กับค่อยๆ ไสไม้ให้เรียบ
ฟอง,น.,ว.  จุด จุดเด่น สิ่งที่มีลักษณะกลมอย่างไข่ เช่น จันทร์ฟอง ฟองจันทร์ - จันทร์เพ็ญ
ฟอง,น.,กระแส คลื่น ลำ เปลว
ฟองน้ำ,น.,กระแสน้ำ ต่อมน้ำที่ผุดหรือปุดขึ้นเป็นรูปโป่งๆ อาจเป็นต่อมเดียวหรือรวมกันเป็นแพก็ได้
ฟองน้ำ,น.,สัตว์น้ำไม่มีกระดูกสันหลังชนิดหนึ่งมีเนื้อเยื่อเป็นรูพรุนและอ่อนนุ่ม
ฟองน้ำ,น.,ฟองน้ำ ใช้ถูทำความสะอาดร่างกายได้ดี
ฟองน้ำ,น.,เรียกสิ่งที่มีลักษณะเป็นรูพรุนอ่อนนุ่มและซับน้ำได้ดีว่า ฟองน้ำ
ฟองไฟ,น.,เปลวไฟ
ฟองลม,น.,กระแสลม
ฟองสมุทท์,น.,คลื่น คลื่นในทะเลหรือแม่น้ำ
ฟ่อง,ว.,ลอยสูง ลอยเด่น ลอยอยู่ตามลำพัง มักใช้ร่วมกับคำอื่นเป็น ฟูฟ่อง
ฟ้อง,ก.,ฟ้อง - กล่าวหา กล่าวโทษ แสดงให้รู้
ฟอน,ก.,เลือกค้นหาสิ่งที่ต้องการ อย่างควานหาเนื้อในชามแกง
ฟ่อน,ก.,รวมกันเป็นกอง เช่น เข้าฟ่อน หรือเข้าเฟ่า เชือกด้าย กองเป็นฟ่อน
ฟ้อน,ก.,ฟ้อน - รำ
ฟ้อนแง้น,น.,การฟ้อนรำของ ช่างซอ หรือนักขับซอที่จะฟ้อนรำ เพื่อเป็นการพักการขับซอ ทั้งนี้ผู้ฟ้อนจะแอ่นกายไปข้างหลัง บางคนสามารถฟ้อนแอ่นตัวไปคาบธนบัตรที่ผู้ฟังแกล้งวางไว้ให้ได้สำเร็จ เป็นที่นิยมกันมากในขอบเขตอิทธิพลเมืองน่าน
ฟ้องเชิง,ก.,ฟ้อนรำท่าออกศึก ปรกติมักประกอบกับการตบไปตามส่วนต่างๆ ของร่างกายด้วย
ฟ้อนดาบ,น.,ก.  การร่ายรำโดยใช้ดาบประกอบ
ฟ้อนเทียน,น.,ก.  การฟ้อนตอนกลางคืน ช่างฟ้อน จะถือเทียนที่จุดแล้วร่ายรำไปในจังหวะกลองตึ่งโนง การฟ้อนอย่างเดียวกับการ ฟ้อนเล็บ
ฟ้อนผีมด,น.,ก.  การฟ้อนเพื่อบวงสรวงบรรพบุรุษ มักกระทำในช่วงก่อนฤดูกาลทำนา
ฟ้อนผีเมง,น.,ก.  การฟ้อนเพื่อบวงสรวงบรรพบุรุษ มักกระทำในช่วงก่อนฤดูกาลทำนา
ฟ้อนรับ,น.,​  ก.  การฟ้อนที่ฝ่ายเจ้าภาพจะต้องฟ้อนหรือจัดการฟ้อนเพื่อต้อนรับและตอบรับการฟ้อนของผู้ฟ้อนเข้ามา โดยจะต้องให้เหมาะสมกับศักดิ์ศรีของกันและกันด้วย
ฟ่อม,น.,พุ่มอย่างพุ่มไม้ขนาดเล็ก
ฟ่อม,น.,ทุ่น - ของโป่งที่ลอยน้ำได้เพื่อให้สิ่งอื่นเกาะหรือพยุงสิ่งอื่นให้ลอยน้ำ
ฟ่อมเบ็ด,น.,ทุุ่นเบ็ด - ทุ่นสำหรับผูกสายเบ็ดตกปลาเพื่อเป็นสัญญาณให้รู้ว่าปลากินเบ็ด
ฟ่อมไม้,น.,พุ่มไม้ ไม้พุ่มขนาดเล็ก
ฟะ,ก.,หก อาหารที่น้ำในภาชนะกระเพื่อมอย่างแรงเพราะความสั่นสะเทือนจนส่วนหนึ่งล้นออกมา
ฟัก,น.,ชื่อไม้เถา
ฟัก,ก.,กกไข่ให้เป็นตัว โดยปริยายหมายถึง ดูแลทะนุถนอม
ฟัก,ก.,สับให้ละเอียด
ฟัง,ก.,ฟัง - ตั้งใจสดับ คอยรับเสียงด้วยหู ได้ยิน เชื่อ ทำตามถ้อยคำ
ฟังคำเหนือคำใต้,สำนวน.,ข่าวลือ
ฟั่ง,ก.,รีบ รีบร้อน
ฟั่งเทื่อ,ก.,ช้าก่อน รอประเดี๋ยว อย่าเพิ่ง
ฟั่งฟ้าว,ก.,รีบร้อน (ในภาษาไทดั้งเดิม ฟ้าว แปลว่า รีบร้อน)
ฟัด,ก.,กระทบ กระแทก
ฟัด,ก.,สััมผัส - การที่คำในกวีนิพนธ์หรือคำกลอนคล้องจองกัน
ฟัน,น.,ฟันเลื่อย
ฟัน,ก.,ฟัน - เอาของมีคมอย่างดาบฟาดลงไป
ฟั้น,ก.,ฟั้น - นวด ขยำ
ฟั้นขี้เก่าเพิ่น,ก.,เอาของเก่าจากผู้อื่นมาประคบประหงม
ฟั้นมะๆ,ก.,​ ใช้มือขยำสิ่งที่เหลวเขละขละอยู่ไปมา
ฟ้า,น.,ฟ้า อากาศ สวรรค์
ฟ้าผ่า,น.,​ ฟ้าผ่า
ฟ้าแมลบ,น.,ฟ้าแลบ - แสงที่เกิดวาบขึ้นในท้องฟ้า ลักษณะเป็นเส้นหรือเป็นแผ่น
ฟ้ายก,น.,เวลารุ่งอรุณ
ฟ้าร้อง,น.,ฟ้าร้อง - เสียงที่ดังลั่นอยู่บนฟ้า
ฟ้าร่าม,น.,ฟ้าอร่าม - แสงเงินแสงทอง
ฟาก,น.,ฟาก - ไม้ไผ่ทำให้แบนสำหรับปูเป็นพื้นเรือน
ฟาง,ว.,ฟาง - เห็นไม่ถนัด มักใช้กับตา เป็น ตาฟาง
ฟาด,ก.,ฟาด - หวด เหวี่ยง ตี
ฟาดฟื้น,ก.,เป็นขบถ ปฏิวัติ (กวีนิพนธ์)
