คำ,POS,ความหมาย
ขกบก,น.,จอบ
ขกอยาก,ก.,กระโดดขึ้น
ขง,น.,กรุง เมืองอาณาบริเวณ
ขง,น.,กรง - สิ่งที่ทำเป็นซี่ๆ สำหรับขัง สัตว์เล็ก
ขง,ก.,กลัด - อาการที่เลือดหรือหนองคั่งอยู่ในผิวหรือแผล เช่น ขงหนอง
ขง,น.,กรง
ขง,น.,ขอบเขตน่านน้ำ
ขงขวาย,ก.,แสวงหา เสาะหา
ขงเขต,น.,อาณาบริเวณ
ขงเลือดขงหนอง,ว.,ช้ำเลือดช้ำหนอง
ขงหนอง,ก.,กลัดหนอง มีหนองเกิดที่แผล
ขงหนอง,ก.,กลัดหนอง
ขจิต,ก.,"ประดับ, ตกแต่ง"
ขด,ก.,กระถด ถอยเลื่อนไปเล็กน้อย
ขด,ล.,เรียกของที่เป็นวง เช่น เชือก ๒ ขด
ขด,ก.,ม้วนเป็นวง
ขด,ก.,ขยดเขยิบ กระเถิบ
ขดก้องหง้อง,ว.,อาการที่คน สัตว์หรือสิ่งของขนาดไม่ใหญ่ ขดตัวทอดอยู่บนพื้น
ขดขององอด,ก.,งอก่องอขิง
ขดฅ้าย,ก.,ขยับ กระเถิบ ย้าย
ขดฅู้,ก.,คุดคู้
ขดถวาย,ก.,ขัดสมาธิ
ขดหล้องหง้อง,ว.,อาการที่คน สัตว์หรือสิ่งของขนาดไม่ใหญ่ ขดตัวทอดอยู่บนพื้น
ขน,น.,ขน
ขน,น.,ชื่อหญ้าชนิดหนึ่ง
ขน,ก.,เคลื่อน ย้าย อพยพ
ขน,ก.,กรน
ขนค่าง,น.,เอื้องชะนีหรือเอื้องนางนี
ขนฅิง,น.,ขนตามลำตัวคน
ขนฅิงลุก,ก.,ขนลุกขนพอง
ขนดัง,น.,ขนจมูก
ขนบั่ว,น.,ขนอ่อน อย่างขนนก
ขนยุย,น.,ขนอ่อนยาว
ขนแร้,น.,ขนรักแร้
ขนหนอน,น.,ต้นกลอนคู่
ขนหัวพุ,ก.,ขนหัวลุก (ด้วยความหวาดกลัว)
ขนอุย,น.,ขนอ่อน
ขนาน,น.,คำเรียกผู้ที่สิกขาขณะเป็นพระภิกษุ
ขนาบ,น.,กระหนาบ ประชิดเช้า ไปทั้งสองข้าง บังคับให้อยู่ในระหว่าง
ขบ,ก.,กัด ขบกัด เอาฟันเน้นเพื่อให้แตกหรือขาด
ขบ,ก.,อาการปวดจากการกลัดหนอง ขบหนอง
ขบเนื้อขบตัว,ก.,ปวดเมื่อย ครั่นเนื้อครั่นตัว
ขม,น.,ชื่อหอยชนิดหนึ่ง
ขม,น.,ชื่อผักชนิดหนึ่ง
ขม,ว.,รสขมอย่างรสสะเดาหรือบอระเพ็ด
ข่ม,น.,ชานแล่น-บริเวณทางเดินบนบ้านที่ลดระดับให้ต่ำกว่าระดับห้องนอน หรือห้องพักผ่อน เป็นต้น
ข่ม,ก.,ใช้กำลังกดลง
ข่ม,ก.,กระทำด้วยคาถาอาคมเพื่อให้ผู้อื่นเสื่อม ให้ฝียุบไป เรียกข่มฝี
ข่ม,ก.,อาการที่ แม่ช่าง หรือหมอตำแย ใช้มือกล่อมทารกในครรภ์ให้อยู่ในท่าที่คลอดได้สะดวก
ขมกิก,น.,รสขมมาก
ขมแค็ก,น.,รสขมมาก
ขมจ่อมหล่อม,น.,รสขมกำลังดี
ข่มท้อง,ก.,ใช้มือกดท้องช่วยในการคลอดลูก
ข่มเท้า,ก.,ใช้ไม้พยุงกายเดิน
ข่มเหงเตงเต็ก,ก.,ข่มเหงคะเนงร้าย
ขม่อม,น.,กระหม่อม
ขยือ,น.,มองคร่อ - โรคชนิดหนึ่งมีเสมหะแห้งอยู่ในหลอดลม โรคหืด
ขรอม,น.,ชาวเขมรโบราณ
ขรอม,น.,ชนชาติขอม
ขระกูล,น.,สกุล วงศ์ เชื้อสาย
ขระกูล,น.,ตระกูล
ขระจก,น.,กระจกหุง กระจกเงา
ขระจวน,ว.,ละเอียดเป็นจุณ
ขระจวน,น.,ฝุ่นผง
ขระจอนหู,น.,เครื่องประดับหูต่อจากกรอบหน้าใช้กับตัวพระ
ขระจุกขระจุย,ว.,กระจุยกระจาย
ขระจุม,น.,มงกุฎ ชฎา
ขระแจ,น.,กุญแจ
ขระแจะ,น.,ชื่อไม้พุ่ม (พญายา) ต้น และกิ่งมีหนาม ส่วนเปลือกขรุขระสีเทา ดอก ขนาดเล็กสีขาวเป็นช่อยาวประมาณ ๒ เซนติเมตร กลิ่นหอมอ่อน เนื้อไม้ใช้ฝนกับน้ำเพื่อประทินผิว รากใช้ทำยา
ขระแจะ,น.,ปลอกเหล็กสวมเท้าหน้าช้างเพื่อมิให้ช้างเดินเร็ว
ขระโจม,น.,มงกุฎ ชฎา
ขระโจมหัว,น.,มงกุฎ ชฎา
ขระเซิง,น.,หน่วยปกครองระดับกระทรวง (ไทลื้อสิบสองปันนา)
ขระด็อกขระดอน,ว.,กระดอนขึ้นกระดอนลง
ขระด้าง,ว.,กระด้าง
ขระดาษ,น.,กระดาษ
ขระดูก,น.,กระดูก - โครงร่างกายมีลักษณะแข็ง
ขระต่าย,น.,กระต่าย
