คำ,POS,ความหมาย
ค็,สัน.,ก็ แล้ว จึง ย่อม
คก,น.,ครก
คกงก,ว.,โด่เด่ เช่น ไม้ที่ยื่นออกมา หรือโผล่ออกมา
คกงก,ว.,อาการของคนที่นั่งเฉยๆ ไม่ปริปาก อาการตรึกตรอง
คกภิก,น.,ครกสำหรับตำน้ำพริกหรือใช้ในครัว
ค็ข้าแล,*น.,คำลงท้ายแสดงความเคารพเมื่อสามัญชนพูดกับเสนาบดี
คชปาละ,น.,ควาญช้าง
คชะ,น.,ช้าง
คณนา,ก.,นับ คำนวณ
คณะ,น.,พวก หมู่ เหล่า
คณะคะนัง,ว.,ใหญ่โต มากมาย
คณะคะนัง,ว.,วุ่นวาย สับสน
คณา,น.,คณะ หมู่ เหล่า
คด,ว.,คด - ไม่ตรง
คดเลี้ยว,ก.,ไม่ชื่อสัตย์
คดหง้องคดแหง้ง,ว.,คดเคี้ยว งอไปงอมา ใช้กับสิ่งของเล็ก
คดโหง้งคดหง้าง,ว.,คดเคี้ยว งอไปงอมา ใช้กับสิ่งของใหญ่
คด้าง,น.,กระด้าง
ค็ดี,สัน.,ก็ดี แสดงความหมายเป็นส่วนๆ หรือเน้น ความให้มีน้ำหนักเท่ากัน
คถา,น.,คาถา คำประพันธ์ชนิดหนึ่งในภาษาบาลี ๑ คาถามี ๔ บาทๆ ละ ๘ คำ คำเสกเป่าที่ถือว่าศักดิ์สิทธิ์
คน,ก.,คน - กวนให้เข้ากัน
ค้น,ว.,ซ้น - ข้อมือหรือข้อเท้าถูกกระแทกโดยแรงทำให้กระดูกเคลื่อน
ค้น,ก.,เคล็ด ขัด แพลง
คนคูน,ก.,คำนวณแบบโหราศาสตร์
คนน้ำสู่ย,น.,บุคคลที่ชอบให้ยอเช่นนั้นเรียกว่า คนน้ำโตะ
คบ,ก.,ทบ ควบ ประกบ ซ้อน ทับ ตาม ประคบ
คบ,ลัก.,งบ แว่น ชิ้น ก้อน อย่างน้ำอ้อยหรือข้าวต้มผัด
คบ,ว.,งบ แว่น ชิ้น ก้อน อย่างน้ำอ้อยหรือข้าวต้มผัด
คบ,ก.,ทบ ประกบ กระแทก
ค้มง้ม,ก.,ค้อมลง น้อมลงไปด้านหน้า ใช้กับของใหญ่
คมรบ,ก.,นอบน้อม
ค็มี,สัน.,ก็มี
ครก,น.,ครก
ครกพริก,น.,ครกสำหรับตำน้ำพริกหรือใช้ในครัว
ครกมอง,น.,ครกกระเดื่อง
ครบ,ก.,นอบน้อม แสดงความเคารพยำเกรง
ครบ,ว.,ถ้วน เต็มจำนวนตามที่กำหนด
ครบงัน,ว.,สนุกสนาน
ครบยำ,ก.,เคารพ ยำเกรง
ครอก,น.,ฝูงสัตว์ที่เกิดร่วมกันในคราวเดียว
ครอก,น.,คอก ที่ขังสัตว์ คุก กรง
ครอกเหล็ก,น.,กรงเหล็ก
ครอง,ก.,ปกครองรักษาโดยความเป็นใหญ่ ดำรงไว้ รักษาไว้
ครอง,ก.,นุ่งห่ม [ใช้กับนักบวช]
ครอบ,น.,จด จรด ถึง ย้อนกลับ
ครอบครัว,น.,ข้าวของ สมบัติที่อยู่ในความครอบครอง ในภาษาไทยกลาง ครอบครัว แปลว่า ผู้ร่วมครัวเรือน
คร่อม,ก.,สึกหรือกร่อนไป ร่อยหรอลง
คระชัง,ว.,กระชั้น ทันที มักปรากฏร่วมกับคำอื่น เช่น ฟื้นตื่นชื่นคระชังฝัน ตื่นขึ้นจากความฝันโดยพลัน
คระชั้ง,ว.,กระชั้น ทันที มักปรากฏร่วมกับคำอื่น เช่น ฟื้นตื่นชื่นคระชังฝัน ตื่นขึ้นจากความฝันโดยพลัน
คระชิง,น.,ลวดหนังสำหรับเล่นไต่ลวดหรือไต่สายหนัง
คระเช้า,น.,กระเช้า ภาชนะมีหูโค้งขึ้นไป สำหรับหิ้ว ดู ซ้างวง
คระด้าง,ว.,กระด้าง
คระดาน,น.,กระดาน ไม้ซุงที่เลื่อยออกเป็นแผ่นๆ
คระตึก,น.,ตึก อาคารที่ก่อด้วยอิฐถือปูน
คระนอง,ว.,ดุ ร้าย คึก ลำพอง มักใช้กับสัตว์ เช่น เนื้อกล้าคระนองของป่า - สัตว์ปา
คระนิง,ก.,คำนึง คิด
คระพุม,ว.,ลักษณะที่เป็นพุ่มอย่างกิ่งก้านของต้นไม้
คระพุม,น.,กระพุ่ม
คระพุม,น.,กระพุ่ม ลักษณะของที่เป็นยอดแหลมอย่างดอกบัวตูม
คระพุม,ว.,กระพุ่ม - ลักษณะของสิ่งที่เป็นยอดแหลมอย่างดอกบัวตูม
คระมวย,น.,ขโมย โจร
คระมุย,น.,ขโมย โจร
คระหวัด,ก.,กระหวัด กอด กลับคืน ย้อนหลัง
คระอบ,น.,ผอบ ภาชนะทำด้วยโลหะหรือไม้มีฝาครอบ
ครัก,ว.,ดี ชัดเจน แน่ชัด จริง แน่นอน
ครั่ง,น.,ครั่ง - ชื่อเพลี้ยชนิดหนึ่งดูดกินน้ำเลี้ยงจากพืชและผลิตสารที่เรียกว่า ขี้ครั่ง
ครั่ง,น.,เรียกกล้วยสีนากว่า กล้วยครั่ง
ครั่ง,น.,เรียกกล้วยไม้ชนิดหนึ่ง - เอื้องน้ำครั่ง
ครัว,น.,วัตถุ สิ่งของ เครื่องใช้ เครื่องประกอบ
ครัว,น.,ครอบครัว ผู้ร่วมเรือน
ครัว,ก.,ชำระ - จัดการให้เรียบร้อย เช่น ครัวปลา ทำปลาให้เรียบร้อยก่อนปรุง
ครัวกิน,ว.,อาหารการกิน
ครัวทรง,น.,เครื่องทรง เครื่องประคับ
ครัวท้อง,น.,อวัยวะภายในท้อง
ครัวท้องลง,น.,มดลูกหย่อน
ครัวทาน,น.,เครื่องไทยทาน สิ่งของถวายพระ
ครัวไน,น.,เครื่องในอย่าง ตับ ปอด หัวใจ ไส้ ฯลฯ
ครัวมือ,น.,เครื่องมือที่ใช้ในการช่างหรืองานฝีมือต่างๆ
ครัวรอม,น.,ของช่วยทำบุญ
ครัวรอม,ว.,[ภาษาปาก] มีของหรือสมบัติที่จะต้องสืบหรือรับมรดกมาก ซึ่งบิดามารดามักจะยกสมบัติให้ลูกคนสุดท้องได้รับมากกว่าพี่ๆ เนื่องจากเลี้ยงดูบิดามารดายามชรา มีสำนวนว่า ลูกหล้าครัวรอม
ครัวเรือน,น.,ครอบครัว ผู้อยู่ร่วมครัวเรือน
ครัวหอครัวเรือน,น.,ของใช้ในบ้าน
ครัวอยา,น.,เครื่องยา ส่วนประกอบของยา สมุนไพร
ครา,น.,คราว ครั้ง หน
คราก,ก.,ยึดออกแล้วไม่คืนตัว
คราง,ก.,คราง - เสียงร้องที่ลากยาวๆ
คราด,ก.,มัดให้แน่น
คราน,ก.,เดินทาง เคลื่อนไป
คราน,ก.,การเกณฑ์ผู้คน
คราน,ว.,ยาก ลำบาก เดือดร้อน
คราน,ว.,สวยงาม น่ารัก มักใช้กับคำอื่น เช่น เชียงคราน แปลว่า สวยงาม น่ารัก
คร้าน,ก.,เกียจคร้าน
คราบ,น.,ครั้ง คราว มื้อ
คราบ,น.,หนังหรือเปลือกนอกของสัตว์บางชนิดที่ลอกได้เช่น งู
คราบ,น.,รอยเปื้อนติดกรังอยู่
คราบ,น.,ซากศพ
คราบร้าย,ว.,รูปร่างอัปลักษณ์
คราม,น.,ต้นครามป่า ครามป่าหรือช้าคราม
คราม,น.,สีครามหรือสีนํ้าเงิน
คร้าม,ก.,ขยาด ไม่กล้าสู้
ครามป่า,น.,ต้นครามที่ใช้ย้อมผ้าให้เป็นสีครามซึ่งมีอยู่หลายชนิดเรียก ห้อม หรือ ห้อมเมือง
ครามหลวง,น.,ครามหลวง - ชื่อพรรณไม้พุ่มหรือพุ่มยืนต้นในสกุลคราม
ครามหลวง,น.,ครามช้าง
คราว,น.,ขนาด รุ่นราว ครั้ง หน
คราว,น.,ระยะทางที่สัตว์พาหนะหรือสัตว์ต่างต้องหยุดพัก
คราว,ว.,เสมอกัน เท่ากัน
คร่าว,น.,ชื่อคำประพันธ์ชนิดหนึ่ง มักเขียนกันว่า ฅ่าว
คร่าว,น.,เชือกใหญ่ขนาดยาวเรียก เชือกคร่าว
คร้าว,ว.,แก่ ชรา เข้าไคล
คร่าวก้อม,น.,คำประพันธ์โบราณประเภทคร่าวขนาดสั้น มักเป็นภาษิต หรือโวหารที่กินใจ [ก้อม แปลว่า สั้น]
คร่าวเครือ,ว.,มีลักษณะต่อเนื่องกันไป ยืดยาว หรือ เป็นคร่าวเป็นเครือ
คร่าวไช้,น.,เพลงยาว สารรักที่มีไปมาระหว่างชายหนุ่มและหญิงสาวแต่งด้วยฉันทลักษณ์คร่าว
คร่าวซอ,น.,บทประพันธ์ที่แต่งด้วยฉันทลักษณ์คร่าว มักเป็นเรื่องชาดกมีลักษณะคล้ายเรื่องประเภทจักรๆ วงศ์ๆ
คราวทาง,น.,ช่วงเวลาเดินทางในแต่ละวัน
คราวทาง,น.,ระยะทาง
คร่าวธัมม์,น.,บทประพันธ์ที่แต่งด้วยฉันทลักษณ์คร่าว มักเป็นเรื่องชาดกมีลักษณะคล้ายเรื่องประเภทจักรๆ วงศ์ๆ
คร่าวนางชม,น.,ชื่อคร่าวที่แสดงออกถึงความรักความในใจ ที่ดีที่สุดชี่งเป็นผลงานของพระยาพรหมโวหาร เรียก คร่าวสี่บท
คร่าวร่ำ,น.,คร่าวที่แต่งขึ้นพรรณาเรื่องใดเรื่องหนึ่งโดยเฉพาะ
คร่าวร่ำนางชม,น.,ชื่อคร่าวที่แสดงออกถึงความรักความในใจ ที่ดีที่สุดชี่งเป็นผลงานของพระยาพรหมโวหาร เรียก คร่าวสี่บท
คร่าวว้อง,น.,คร่าวขนาดสั้น เพียง ๑ บทแต่คำสุดท้ายวนไปสัมผัสกับท่อนหัวทำให้สามารถนำมาขับเป็นทำนองเสนาะวนเวียนไปมาได้โดยไม่รู้จบ เช่น หมาหางกิด ไต่คันนา ด้อมๆ หมาหางก้อม ไต่คันนาดิดๆ
คร่ำ,ก.,ข่มเหง รังแก ทำให้เสียหาย
คร่ำ,ว.,ครํ่าคร่า เก่า ทรุดโทรม
คร่ำขาราวี,ก.,ทำให้เดือดร้อนหรือสูญเสีย
คร่ำครัว,ก.,ทำให้ข้าวของเสียหายหรือหมดไป
คร่ำงำ,ก.,ทำให้เดือดร้อน ทำให้สูญเสียทรัพย์สิน
คร่ำชรา,ว.,แก่เฒ่า อายุมาก
คริ่น,ว.,ของที่เป็นกรรมสิทธิ์ ผู้เป็นที่รัก แท้ เช่น แม่คิ่น ลูกคริ่น
ครึ,ว.,สง่า ภาคภูมิ ผึ่งผาย ยิ่งใหญ่
ครืด,ก.,ครูด เสียดสี
ครืน,น.,ครืน - บ่วงขนาดเล็กสำหรับดักนกและไก่
ครืน,น.,ครืน - ชื่อเครื่องดักนกหรือไก่ ทำเป็นบ่วง
ครือ,น.,คู คูเมือง
ครือ,ก.,ครือ เสียดสี
ครือ,ก.,ไม่คับไม่หลวม พอดี
ครุ,น.,ภาชนะสานขนาดใหญ่มาก ใช้เป็นลานนวดข้าวเคลื่อนที่
ครุ,น.,ภาชนะสำหรับตักน้ำ
ครุ,น.,ภาชนะสานขนาดใหญ่ใช้ตีข้าว
ครุ,ก.,คู้ คุกเข่า คู้เข่า
ครุงคราว,น.,ค้างคาว มักเรียกทั่วไปว่า รุ้งฅาว
ครุฑ,น.,ครุฑ - พญานกที่เป็นพาหนะของพระนารายณ์
ครุบ,น.,กับดักสัตว์
ครุบ,ก.,ทรุดลง ล้มลง
ครุบ,ก.,ปล้นสะดม แย่งชิง
ครุบชิง,ก.,ปล้นสะดม แย่งชิง
ครุ่ม,น.,พุ่มอย่างพุ่มไม้
ครุ้ม,น.,วังหลวง ราชสำนัก
ครุ่มเครือวัลลิ์,น.,เถาวัลย์ ซุ้มเถาวัลย์
ครุ้มหน้อย,น.,วังลูกหลวง
ครุ้มหลวง,น.,พระราชวังหลวง
ครู,น.,ผู้สั่งสอนศิษย์
ครูด,ก.,ครูด เสียดสี ขูดขีด ลากถูหรือรู่ไปบนของแข็ง เช่น อย่าเอาทองไปรู่กระเบื้อง
ครูบา,น.,เจ้าอาวาส คำใช้เรียกพระภิกษุผู้เป็นที่เคารพนับถืออย่างยิ่ง ตำแหน่งพระภิกษุของ ไทเขิน ลำดับรองจากพระสังฆราช [ทวี สว่าง-ปัญญางกูร]
คลวง,น.,บริเวณ ละแวก ในวงเขต
คลวง,ลัก.,ใช้เรียกของ เช่น กำไล หรือแหวน
คลอง,น.,ครรลอง แนว ทางเดิน ถนน วิถี
คล้อง,น.,ฆ้อง [ดูเพิ่มเติมที่ ค้อง]
คล้อง,ก.,คล้อง เอาของที่เป็นวงหรือบ่วงสวมสิ่งใดสิ่งหนึ่ง สอดคล้องรับกัน
คล้อง,ก.,คล้อง สอดคล้อง รับกัน
คลองกีด,น.,ทางเดินแคบๆ
คลองไฅว่,น.,ทางสี่แพร่ง ตะแลงแกง
คลองซาย,น.,ถนนที่มีทรายมาก ถนนโรยด้วยทราย
คลองรีบ,น.,ทางน้ำที่พวกลูกถ่อทำขึ้นเพื่อนำเรือผ่านแก่ง
คลองหน้อย,น.,ซอย ตรอก ทาง ถนนแคบ
คลองหลวง,น.,ถนนหลวง ถนนใหญ่
คล้อม,ก.,ค้อม น้อมลง โค้ง
คล้อม,ว.,อ่อน โค้ง
คล้อย,ก.,เพิ่งพ้นจากที่กำหนดไป
คล้อย,ว.,มักใช้ประกอบคำว่า คํ่า เพื่อให้ความหมายว่า ตกตํ่า หรือได้รับความยากลำบาก
คลั่ง,ก.,บ้าจี้ ทำอะไรสับสน จับต้นชนปลายไม่ถูก ไม่มีสติ ละเมอ
คลั้งคลาด,ก.,เพลี่ยงพล้ำ คลาดเคลื่อนไป
