คำ,POS,ความหมาย
งก,ว.,ทุยโหนกใช้กับของขนาดใหญ่
งง,ว.,โค้ง
งด,ก.,หยุด ยั้ง ไม่กระทำ
งบหงุบ ๆ,ว.,อาการปวดมากเรียก ขบหงวาบ ๆ
ง้ม,ก.,โค้ง งอ ก้ม
ง้มง่าว,ว.,โง่งม
งมๆ ซวามๆ,ก.,คลำหาของ คลำเปะปะไปมา
งวง,น.,รวง - พวง ช่อ
งวง,น.,จมูกของช้าง เรียกสิ่งที่ยื่นห้อยออกมาอย่าง งวงช้าง
งวง,น.,เรียกกาต้มนํ้าว่า หม้องวง
ง่วง,ก.,อาการที่ร่างกายอ่อนเพลีย เช่น ง่วงเหล้า คือ ซึมเซาเพราะฤทธิ์สุรา
งวงช้าง,น.,จมูกช้าง
งวงช้าง,น.,งูงวงนํ้า
ง้วน,น.,ยาเบื่อ - ยาที่ทำให้คนหรือสัตว์มีอาการเบื่อเมา และบางขนานอาจทำให้ถึงตายได้
ง้วน,น.,ตำรา
ง้วน,น.,ยาพิษ ยาเบื่อ
ง้วนดิน,น.,ดินที่มีโอชะเกิดขึ้นเมื่อสร้างโลกใหม่
ง้วนพิษ,น.,ยาเบื่อ - ยาที่ทำให้คนหรือสัตว์มีอาการเบื่อเมา และบางขนานอาจทำให้ถึงตายได้
ง้วนพิษ,น.,ยาพิษ
ง้วนสาร,น.,ยาพิษ
ง่วย,ว.,เป็นง่อย
ง่วย,ว.,ลักษณะ งกๆ เงิ่นๆ
ง่วยสึง,ว.,เป็นง่อย
งว้า,ว.,สับสนวุ่นวาย มักใช้คู่กับคำอื่น เช่น งุ้มงว้า - เคลื่อนที่ไปอย่างเก้งก้าง
งวาก,ก.,วก เลี้ยว กลับ
งวากงว้าย,ก.,เลี้ยว เบน หัน
งว้าย,ก.,บ่าย เบน เอน เลี้ยว ตีโค้ง
งว้าย,ก.,กลับหลัง
งว้าย,ก.,วก เลี้ยว กลับ
งว้ายงวาก,ก.,วก เลี้ยว กลับ
