คำ,POS,ความหมาย
ชก,น.,จอบ
ชก,ก.,เขกลง เขกลง เคาะลง สับหรือขุด
ชกคก,ว.,ลักษณะของสิ่งของค่อนข้างใหญ่ที่งอ ชู หรือ ยกสูง หรืออาการที่คนนั่งเจ่าจุก ส่วนมากใช้ คกงก (ก๊ก-งก)
ชกงก,ว.,ลักษณะของสิ่งของค่อนข้างใหญ่ที่งอ ชู หรือ ยกสูง หรืออาการที่คนนั่งเจ่าจุก ส่วนมากใช้ คกงก (ก๊ก-งก)
ชง,น.,ไก่อู
ชง,ว.,สันทัด ปานกลางค่อนข้างจะสูง ระหง ครงงาม สูงพองาม
ชง ,ว.,ระหง ทรงงาม
ชงอง,ว.,ลักษณะสิ่งที่สูงระหง
ชด,ว.,เชิด อย่างหน้าเชิด เช่น หน้าชื่อเหมือนหมาขี่รถ หน้าชดเหมือนหมาขี่ล้อ - ทำหน้าเฉยเหมือนหมาขี่รถหรือหน้าเชิดเหมือนหมานั่งเกวียน หน้าบึ้งหน้างอ
ชน,ก.,โดนแรง ๆ ต่อสู้ บรรจบ
ชนาน,ว.,ชำนาญ เชี่ยวชาญ
ชม,ก.,ดูเพื่อให้เกิดความเพลิดเพลิน
ชม,ก.,จูบ ดม ใช้จมูกสูดกลิ่นด้วยรัก
ชมชื่น,ว.,สนุก รื่นรมย์ สดชื่น พอใจ
ชระล่ำ,ว.,นานพอควร
ชระลิ่ว,ว.,ลิ่ว ไปไกล ไกลมาก นาน นานมาก
ชรา,ว.,แก่ด้วยอายุ คร่ำคร่า ทรุดโทรม
ชราธัมม์,ว.,มีความคร่ำคร่าเป็นธรรมดา
ชวด,ก.,ชวด พลาด ผิด ไม่สำเร็จ ไม่ถูก ขาด ไม่ครบ
ชวน,ก.,จูงใจ โน้มนำ
ช่วย,ก.,ส่งเสริมเพื่อให้สำเร็จประโยชน์
ช้วย,ว.,เฉียง เอียง เช่น วันตกช้วยไต้ - ตะวันตกเฉียงใต้
ชวะ,ก.,แฉะ พุพอง
ชวัก,ก.,ทิ่ม แทง จวก แยงด้วยไม้ยาว
ชว่า,ก.,แผ่ออก กระจายออกรอบตัวอย่างหมึกซึมบนผืนผ้า
ชวาก,น.,(ล.) มันมือเสือ มันนก
ชวาก,ก.,ขุดโพรงให้กว้างออกไป
ชอ,น.,วิธ๊ปรุงอาหารน้ำอย่างหนึ่ง
ชอ,น.,บริเวณที่เป็นมุมกว้างมักหมายถึงที่ซึ่งอยู๋ห่างออกไปจากผู้ค้นมาก
ชอ,ว.,อยู่ไกลจากที่ชุมชนหรือไกลจากที่คนผ่านไปมา
ช่อ,น.,ธงสามเหลี่ยมมี ๒ ชนิด คือ ขนาดใหญ่มักใช้เป็นธงนำกระบวนแห่เรียกว่า ช่อช้าง ขนาดเล็กประมาณ ๔ คูณ ๘ นิ้ว เรียกว่า ช่อน้อย ซึ่งมักใช้ประดับทั่วไป
ช่อ,น.,ใบไม้หรือช่อไม้ที่แตกออกเป็นพวง
ช่อ,ล.,ใช้เรียกดอกไม้ขนาดเล็กที่เป็นกลุ่มพวง
ช้อ,ก.,ต้มเคี่ยว โดยใช้ไฟอ่อน
ช็อก,น.,มุมที่มีลักษณะแคบ ซอกระหว่างฝาทั้งคู่จดกัน ถ้ามุมอย่างมุมเมืองใช้ แจ่ง
ช็อก,ก.,ขุดเซาะ สับซอย
ช็อกง็อก,ว.,ลักษณที่ของเล็กงอ ชู หรือยกสูง
ชอกวอก,ว.,สีขาวโพลน ใช้กับสิ่งที่มีขนาดเล็ก
ชอง,น.,เตียง เตียงนอน
ชอง,น.,ช่อง - บ้าน เช่น เมือบ้านเมือช่อง
ชอง,น.,วัด (ภาษาไทใหญ่ เลือนมาจากภาษาพม่าว่า เจ๊าะ ซึ่งแปลว่าวัด)
ช่อง,น.,ที่ว่างซึ่งเป็นทางเข้าออกได้
ช่อง,น.,โอกาส วิธีการ
ช้อง,น.,ผมที่ทำเป็นช่อหรือม้วนสำหรับเสริมทรงผมสตรีให้ใหญ่หรือสูงขึ้น
ช่องไช้,น.,วิธีใช้ ทางที่จะใช้ประโยชน์จากสิ่งของ
ชองทาน,น.,แคร่หามมีลักษณะเป็นกระบะกว้างยาวประมาณ ๖๐ เซนติเมตร มีขาตั้งสี่ขาสูงระดับเอว มีคานสำหรับหามใช้บรรจุเครื่องไทยทานไปถวายในงานวัด เป็นต้น
ชองนอน,น.,เตียงนอน
ช้องนางคลี่,น.,ต้นยมโดย
ชองพารา,น.,ปราสาท มณฑป ที่สร้างขึ้นเป็นการชั่วคราวเพื่อถวายทานในงานเทศกาลต่าง ๆ ตามประเพณีของชาวไทใหญ่
ช่องรอย,น.,พิรุธ แยบคาย แนวทาง
ชองอ้อย,น.,แคร่หามมีลักษณะเป็นกระบะกว้างยาวประมาณ ๖๐ เซนติเมตร มีขาตั้งสี่ขาสูงระดับเอว มีคานสำหรับหามใช้บรรจุเครื่องไทยทานไปถวายในงานวัด เป็นต้น
ช่อช้าง,น.,(ดู - ช่อ) มักใช้คู่กับธงล้านนาเรียกว่าทุง เป็น ช่อช้าง ทุงชัย
ชอด,ก.,กริยาที่ของเหลวข้นพุ่งออกจากที่จำกัดด้วยความเร็ว
ช็อดล็อด,ว.,โปร่งบาง ลักษณะของสิ่งที่เล็กซึ่งค่อนข้างสูงหรือยาวในประเภทของมัน
ชอน,ก.,เทียม - เอาสัตว์พาหนะผูกเข้ากับยาน เคลื่อนไป เรื่อยๆ เช่น ขี่รถลากชอนไพ
ช่อน,น.,ปลาช่อน ทั่วไปใช้ ปลาหลิม
ช่อน,ว.,มักใช้ประกอบคำ ล่น เป็น ล่นช่อน - วิ่งซ่อกๆ
ช้อน,น.,ช้อน
ช้อน,ก.,ช้อน
ชอนซาย,น.,ปลาช่อนทราย (ดู - ชอน)
ชอบ,ก.,พอใจ ถูกใจ เหมาะ ถูกกัน
ชอบ,ว.,ดีงาม เหมาะสม
ชอบ,ว.,ผอม
ชอบเนื้อเพิงใจ,ก.,ถูกอกถูกใจ
ชอบเพิงควร,ว.,เหมาะสม สอดคล้องรับกันดี
ช่อผ้า,น.,ธงสามเหลี่ยมขนาดเล็ก ทำด้วยผ้า
ช่อฟ้า,น.,ช่อฟ้า - ชื่อตัวไม้ที่ติดอยู่เหนือบริเวณหน้าบันของโบสถ์ หรือวิหาร เป็นต้น มีรูปเหมือนหัวนาคชูขึ้นเบื้องบน
ชอม,ว.,ตาม ติดตาม ด้วย
ชอม,ว.,เสีย
ช้อม,ว.,เรียว แคบเข้าไปหรือลงไปตามลำดับ
ชอมรอย,ก.,ตามรอย สะกดรอย
ชอย,ก.,โชย
ชอย,ก.,รับเอาผลประโยชน์ไปทีละเล็กละน้อย
ช่อย,ก.,ช่วย ช่วยเหลือ (ใช้น้อย)
ช้อย,น.,มาตราชั่งน้ำหนักฝิ่นเท่ากับ ๑.๖ กิโลกรัม
ช้อย,ก.,ขับลำนำเพลงจากคำประพันธ์ประเภทคร่าวหรือ คร่าวซอ หรือโคลงบางประเภท
ช้อย,ว.,งาม ดี วิเศษ โดยมากมักใช้ประกอบกับชื่น เป็น ชื่นช้อย หรือ ช้อยชื่น ทั่วไปมักเขียน จ๊อย
ช้อยชื่น,ก.,สดชื่น งดงาม เบิกบาน
ช้อยชุ่ม,ก.,สดชื่น งดงาม เบิกบาน
ช้อยนาง,น.,ต้นน่อง
ช้อยนาง,น.,เถาย่านาง
ชอยวอย,ว.,ลิบตา สุดสายตา
ช่อแร,น.,ธงสามเหลี่ยมทำด้วยแพร (ถ้าอ่านตามแบบสำนวนเทศน์จะอ่าน ช่อแล ถ้าอ่านแบบชาวบ้านจะอ่าน ช่อแฮ)
ช่อล่อ,น.,ต้นอินทนิล
ช่อล่อ,ว.,ลักษณะของขนาดเล็กที่ค้างคาอยู่ อย่างใบกล้วยอ่อนค้างคาอยู่ที่คอกล้วยหรือจิ้งหรีดคาอยู่ปากรู ถ้าของขนาดใหญ่ใช้ โชะโละ
ชะ,ก.,รังเกียจ
ชะกว้าย,ว.,จระกล้าย - เฉยๆ ทำเป็นเฉย
ชะกาว,น.,เมืองน่าน
ชะกาว,น.,ชื่อคนในท้องถิ่นเมืองน่าน
ชะคริวหลัง,น.,กระโดงหลัง ครีบหลังของปลา
ชะแคร่,น.,เบื้อ - สัตว์ในนิยาย เล่ากันว่ามีรูปร่างคล้ายคนแต่ไม่มีสะบ้าหัวเข่า วิ่งเร็ว พูดไม่ได้ (สิงฆะ) ในเวสสันดรชาดก เรียกว่า แอ่นจะแคร่ (บุญคิด)
ชะช่อน,ว.,งดงาม
ชะช่อน,ว.,งดงาม ดีงาม
ชะได,*ว.,คำลงท้ายแสดงคำถาม อย่างไร
ชะฤา,*ว.,คำลงท้ายแสดงการถาม เป็นเช่นนั้นหรือ
ชะล่น,ว.,อาการของน้ำที่เดือดพลุ่งพล่าน เช่น น้ำเดือดชะล่นๆ
ชะลั่ง,ว.,พลุ่งพล่าน ใช้กับน้ำ
ชะลาง,น.,หนังสือ
ชะลาง,ก.,วิ่ง แล่น
ชะลาง,ก.,เดิน เดินทาง (ไทใหญ่)
ชะลางเดินทาง,น.,หนังสือเดินทาง ใบอนุญาตให้เดินทาง
ชะล่ำ,ว.,นานพอควร
ชะเล้อ,น.,จิ้งเหลน (ดูเพิ่มเติมที่ จักก่าเล้อ)
ชะแล,*น.,คำลงท้าย - เช่นนั้นแหละ คำที่มักใช้ลงท้ายเป็นการจบใจความในแต่ละตอนเป็นเสมือนการบอกจบย่อหน้าของการบันทึกในใบลาน
ชะวา,น.,เมืองหลวงพระบาง
ชะวา,น.,ชื่ื่อผู้คนที่อยู่ในเมืองล้านช้าง
ชะหงัว,น.,แร่ธาตุชนิดหนึ่ง (เวสสันดรชาดก ฉบับสร้อยสังกร)
ชะเหยือง,ก.,รังเกีียจ กระอักกระอ่วน คลื่นไส้
ชัก,ก.,ดึง จูง นำ ชัก
ชักจ่อง,ก.,ชักจูง ดึงไว้ ยึดไว้
ชักจูง ,ก.,จูงใจให้เห็นคล้อยตาม
ชักชี้,ก.,ชี้แนะ
ชักแซว,ก.,พายเรือ ถือหางเสือ
ชักฟาย,ก.,พายเรือ ถือหางเสือ
ชักหน่องน้าว,ก.,ชักจููง โน้มน้าว
ชัง,ก.,เกลียด ชัง ไม่ชอบ ไม่รัก
ชั่ง,น.,เครื่องชั่ง เครื่องมือสำหรับใช้กำหนดน้ำหนัก
ชั่ง,ก.,ชั่ง คาดคะเน ประมาณการ
ชั่งก้อม,น.,ตาชั่งแบบจีน
ชังขี้หน้า,ก.,ชังขี้หน้า ไม่ชอบหน้า
ชั่งเฅิ่ง,ว.,เฉลี่ยน้ำหนักให้เท่ากันทั้งสองด้าน
ชังง่าว,ก.,เกลียดมาก ไม่ชอบเลย ชังมาก
ชังง่าว,สำนวน.,หมั่นไส้
ชั่งไจ,ก.,คิดให้ดีก่อนตัดสินใจ
ชังแท้ชังว่า,ก.,ชังมาก
ชังใบ้ชังง่าว,ก.,ชังมาก
ชั่งยอย,น.,ตราชู - คันชั่งแบบใช้จานถ่วงน้ำหนักให้เท่ากันทั้งสองด้าน
ชั่งวิไส,น.,คันชั่ง - คันชั่งแบบจีน
ชังสลิด,ก.,หมั่นไส้ รำคาญที่เห็นจริตของอีกฝ่าย
ชัด,ก.,ว. ร้าว เกิดรอยร้าว
ชัด,ว.,มาก
ชัน,ก.,หยุด หยุดยืน ยืนตรง
ชัน,ว.,ตรงขึ้นไป ไม่ลาด
ชั้น,น.,ที่สำหรับวางของคล้ายตู้แต่ไม่มีผ้า สิ่งที่ซ้อนหรือลดหลั่นกันเป็นชั้นๆ
ชั้น,ว.,โบราณ เก่าแก่
ชั้น,ว.,แบบ ชนิด อย่าง
ชั้นเชื้อ,ว.,แบบโบราณ แต่เก่าก่อน
ชั้นเชื้อ,น.,เชื้อสาย
ชั้นฟ้า,น.,สวรรค์
ชับ,ก.,แนบแน่น สนิท พอเหมาะ
ชับ,ว.,ไม่พลาด เก่ง ชำนาญ
ชั่ว,น.,ช่วง ระยะเวลา สมัย
ชั่ั่งเคริ่ง,น.,ตาชั่ั่งแบบตราชู
ชั่ั่งเคริ่ง,น.,ไม้กระดก
ชั่ั่งเคริ่ง,ว.,เฉลี่ยน้ำหนักให้เท่ากันทั้งสองด้าน
ชั่ั่งมัน,ว.,ช่างมันเถอะ
ชา,ก.,กำยานเครือ
ชา,ว.,หยาบ ขรุขระ แข็ง
