คำ,POS,ความหมาย
ปรวน,ว.,สับสน วกวน ไม่มีระเบียบ ไม่ถูกต้อง
ปรวนแปร,ก.,เปลี่ยนไปเปลี่ยนมา
ปรวนแปร,ว.,ปรวนแปร สับสน ไม่มีระเบียบ
ประกอบ,ก.,เอาชิ้นส่วนต่างๆ มารวมหรือคุมกันเข้าเป็นลักษณะที่ต้องการ
ประกัน,ก.,รับรองว่าจะรับผิดในความเสียหายที่เกิดขึ้น
ประกับ,น.,เรียกไม้ขนอบที่ขนาบข้างคัมภีร์ใบลานแต่ละมัดว่าไม้
ประกา,น.,ดอกไม้
ประกาย,น.,ดาว
ประกาย,น.,ดาว ดาวประกายพฤกษ์
ประการ,น.,อย่าง ทำนอง แบบ
ประคำ,น.,ลูกกลมๆ ที่ร้อยเป็นพวงสำหรับการนับในเวลาบริกรรมภาวนา
ประคำ,น.,ลูกประคำ
ประจง,น.,ตั้งใจ บรรจง
ประจง,ก.,ตั้งใจ บรรจง
ประจน,ก.,ผจญ ต่อสู้ ต้านทาน
ประจนแพ้,ก.,ปราบแล้ว ได้ชัยชนะ
ประจัย,น.,ปัจจัย เหตุอันเป็นทางให้บังเกิดผล
ประจัย,น.,ปัจจัย เหตุ เครื่องอาศัย
ประจำ,น.,มัดจำเงินหรือสิ่งของที่มอบไว้แก่คู่สัญญา หมั้นหมาย
ประจำ,ก.,ประจำ คอยเฝ้า เป็นปรกติ เสมอ
ประจิต,ก.,ประดับ ตกแต่ง
ประจิต,ก.,"ประดับ, ตกแต่ง"
ประจิตริสสนา,ก.,​ ประดับตกแต่ง
ประจุ,ก.,บรรจุใส่เข้าประจำที่
ประชุม,ก.,ประชุม ชุมนุม
ประชุม,ก.,ประชุุม ชุมนุม
ประณม,ก.,​ น้อมไหว้
ประณีต,ว.,ละเอียด ดีเลิศ
ประดับ,ก.,ประดับ ตกแต่ง
ประดับประดา,ก.,ประดับ ตกแต่ง
ประดา,น.,เครื่องใช้ เครื่องประดับ ใช้กับคำ ผดับ เป็น ผดับผดา
ประดิต,ก.,​ ประดิษฐ์ สร้าง ทำ
ประดุจ,ว.,เปรียบ เหมือน
ประดุจ,ว.,ประดุจ - เหมือน เช่น
ประตุ,น.,ประตู
ประตู,น.,ช่องทางเข้าออกของบ้านเรือน เป็นต้น
ประถม,ว.,ปฐม ลำดับแรก
ประทักขิณ,ก.,เวียนขวา
ประทัด,น.,บรรทัด กำหนด มาตรฐาน
ประทัด,น.,เส้นเชือกชุบหมึกใช้ดีดเป็นแนวตรง
ประทัด,น.,​ บรรทัด - ไม้หรือเส้นที่ใช้ช่วยขีดเส้นให้ตรงแบบแผนสำหรับยึดถือเป็นแนวทางปฏิบัติ
ประทีป,น.,​ ประทีป โคม ตะเกียง
ประทีป,น.,ประทีส​ โคมไฟ
ประทีส,น.,​ ประทีป โคม ตะเกียง
ประทีส,น.,ประทีส​ โคมไฟ
ประทืน,น.,ประทุน หลังคารถ เรือ หรือเกวียนที่มีรูปโค้งคุ่ม
ประทืน,น.,ประทุน - หลังคารถ เรือหรือเกวียนที่มีรูปโค้งคุ่ม
ประเทส,น.,บ้าน เมือง แว่นแคว้น
ประธาน,น.,หัวหน้า ผู้เป็นใหญ่
ประธาน,ก.,ประทาน ให้ มอบให้
ประนม,ก.,ยกมือขึ้นกระพุ่ม ไหว้
ประนม,ก.,การน้อมไหว้
ประนม,ก.,ประนม - กระพุ่มมือ
ประปราย,ก.,​ โปรยปราย เรี่ยราย
ประมาณ,ว.,สัก เพียง ราว
ประมุข,น.,​ ประธาน หัวหน้า ผู้เป็นใหญ่
ประยา,น.,ปัญญา
ประโยชนะ,น.,สิ่งที่มีผลใช้ได้ดีสมกับที่คิดหมายไว้
ประสงค์,ก.,ต้องการ อยากได้ มุ่งหมาย
ประสงค์,ก.,ประสงค์ - ต้องการ อยากได้
ประสาน,ก.,ทำให้เข้ากันสนิท เชื่อม
ประสุม,ก.,ประชุม ชุมนุม
ประสุม,ก.,ประชุุม ชุมนุม
ประสุมชุ่มนุม,ก.,ประชุม ชุมนุม
ประสูติ,ก.,ประสูติ คลอดลูก
ประสูติ,ก.,คลอดลูก
ประเสิฏ,ว.,ประเสริฐ ดีงาม
ประเสิต,ว.,ประเสริฐ - ดีงาม
ประหนม,ก.,การน้อมไหว้
ประหนิม,น.,ถนิม เครื่องประดับกาย
ประหนีต,ว.,ประณีต ละเอียด ลึกซึ้ง
ประหมวน,ก.,รวบรวมให้เป็นระเบียบหมวดหมู่
ประหมาท,ก.,ประมาท เลินเล่อ
ประหมาน,ก.,ประมาณ คาดหลักเกณฑ์ กำหนด
ประหยา,น.,ปัญญา ความรู้ทั่ว
ประหัส,น.,วันพฤหัสบดี ดูเพิ่มเติมที่ ผัด
ประหาร,น.,ฆ่า การตี การฟัน การล้างผลาญ
ประอูบ,น.,ผอบ ภาชนะขนาดเล็กมีฝาปิด
ประอูบ,น.,ผอบ ตลับ
ปรากฏ,ก.,สำแดงออกมาให้เห็น
ปราการ,น.,กำแพงสำหรับป้องกันการรุกราน
ปราง,น.,มะปราง
ปรางค์,น.,สถูปหรือปราสาทมียอดสูง ปราสาท
ปราจีน,น.,ทิศตะวันออก
ปราชญ์,น.,ผู้มีปัญญารอบรู้
ปราณี,ก.,เอ็นดูด้วยความสงสาร
ปราทีส,น.,ประทีป โคม ตะเกียง
ปราบ,ก.,ทำให้อยู่ในอำนาจ
ปราบเหง้า,น.,ปราบแล้วทุกอย่าง หมายถึงกษัตริย์
ปราม,น.,ปะรำ - สิ่งปลูกสร้างชั่วคราว มีเสา หลังคาแบนคาดด้วยผ้าหรือใบไม้
ปรามาส,น.,การจับต้อง การลูบคลำ
ปรามาส,ก.,ดูถูก
ปรามี,น.,บารมี - คุณความดีที่ควรบำเพ็ญ ๑๐ ประการ คือ ทาน ศีล เนกขัมมะ (การบวช) ปัญญา วิริยะ ขันติ จาคะ อธิฎฐาน เมตตา อุเบกขา คุณความดีที่ได้บำเพ็ญมา คุณสมบัติที่ทำให้ยิ่งใหญ่
ปราย,ก.,ปราย - ซัด หว่าน สาดให้กระจายไป โปรด เมตตา ซึ่งมักใช้กับ โปรด เป็น โปรดปราย
ปราย,ก.,​ โปรด เมตตา ให้ความเอ็นดู มักใช้กับคำว่า โผด เป็น โผดผาย ผายโผด
ปรายโปรด,ก.,สงสาร กรุณา ให้ความเอ็นดู
ปรารถนา,ก.,ปรารถนา มุ่งหมาย อยากได้ ต้องการ
ปราสรัย,น.,ปราศรัย - การพูดด้วยไมตรีจิต
ปราสสจาก,ก.,ปราศจาก - ไม่มี ขาด จากออก
ปราสาท,น.,เรือนมียอดเป็นชั้นๆ สำหรับเป็นที่ประทับของพระเจ้าแผ่นดินหรือประดิษฐานสิ่งศักดิ์สิทธิ์
ปราเสิฏ,ว.,ประเสริฐ ดีงาม
ปริกขาระ,น.,เครื่องใช้ของสงฆ์
ปริจจาคะ,ก.,สละให้ เสียสละ การให้
ปริจาริกา,น.,หญิงรับใช้ หญิงบำเรอ
ปริตตะ,น.,ความต้านทาน เครื่องป้องกัน พระพุทธมนต์ในแต่ละตำนาน
ปรินิพพาน,น.,การดับสนิท เรียกอาการตายของพระพุทธเจ้า
ปริปุณณะ,ก.,บริบูรณ์ - เต็ม พร้อม ครบ
ปริยัตติ,น.,การเล่าเรียน
ปริยาย,น.,ระเบียบ อันดับ วิธีการพูดอ้อมค้อม
ปริโยสานะ,น.,ที่สุดลงโดยรอบ จบบริบูรณ์
ปริวัตตะ,ก.,หมุนเวียน เปลี่ยนแปลงไป
ปริวาร,น.,ผู้แวดล้อม ผู้รับใช้
ปริวาสะ,น.,การค้างคืน ชื่อกรรมที่ภิกษุต้องอาบัติสังฆาทิเสสต้องประพฤติ
ปริเวณ,น.,บริเวณ ที่อยู่ ที่อาศัย ขอบเขต
ปริสังกา,น.,ความสงสัย
เปรต,น.,เปรต - สัตว์ในอบายภูมิจำพวกหนึ่ง
เปรียบ,ก.,เปรียบ - เทียบเอาสิ่งหนึ่งเข้ามาเทียบกับอีกสิ่งหนึ่งเพื่อให้เห็นความใกล้ชิดหรือความต่าง
เปรียบเทียม,ก.,เปรียบเทียบ
เปสสนา,น.,ปริศนา คำถาม คำที่ผูกให้แก้
แปร,ก.,เปลี่ยน กลายจากลักษณะหรือภาวะเดิม
แปร่,ก.,ขยายออก คลี่ออก
แปรปรวน,ก.,แปรปรวน - เปลี่ยนไปเปลี่ยนมา
โปกขรณี,น.,สระมีบัว ตระพังน้ำ
โปกขรวัสสะ,น.,ฝนโบกขรพรรษ - ฝนดุจน้ำตกลงใบบัว กล่าวกันว่าผู้ใดอยากให้เปียกก็เปียก ผู้ใดไม่อยากให้เปียกก็ไม่เปียก
โปตถกะ,น.,หนังสือ ผ้าเปลือกไม้ ใบลานจารหนังสือ
โปร่ง,ก.,ผลิ เช่น ผลิดอกหรือใบ
โปร่ง,ว.,โปร่ง - มีช่องว่างหรือเปิดเป็นช่อง
โปรด,ก.,แสดงความเมตตากรุณาโดยปลดเปลื้องความเดือดร้อน
โปรดปราย,ก.,​ ปลดเปลื้องความเดือดร้อน
โปราณะ,ว.,โบราณ - เก่า
