คำ,POS,ความหมาย
ลก,ว.,หก - โบราณเรียกลูกชายคนที่ ๖ ว่า ลก คู่กับลูกหญิงคนที่ ๖ ว่า อก เช่น ท้าวลก - พระเจ้าติโลกราช
ลคอร,น.,มักเรียกเมืองลำปางว่า เวียงลคอร ซึ่งมาจาก เขลางคนคอร (ป. เขลางคนคร)
ลคอร,น.,ต้นดอกทองอุไร
ลง,ก.,ลง
ลง,ก.,กิริยาที่ลูกเขยที่อยู่กับพ่อแม่ฝ่ายหญิงครบสามปีแล้ว หรือมีบุตรแล้วย้ายไปตั้งครอบครัวใหม่
ล่ง,ว.,โล่ง ดู โล่ง
ล้ง,ก.,ทะลุ เป็นรูโล่ง
ลงข่วง,น.,เข้าที่ประชุม พบปะกันในที่ประชุม
ลงเข้าผี,ก.,เข้าทรง - เชิญผีหรือเทวดาให้เข้ามาสิงอยู่ในคนแล้วถามเหตุรายดีหรืออ้อนวอนขอความเจริญ
ลงท้อง,ก.,เคลื่อนลงสู่ท้อง กลืนกิน
ลงผี,ก.,เข้าทรง - เชิญผีหรือเทวดาให้เข้ามาสิงอยู่ในคนแล้วถามเหตุรายดีหรืออ้อนวอนขอความเจริญ
ลงเมื่อ,น.,ลงเลขเพี่อให้ฤกษ์หรือทำนายโชคชะตา
ลงเรือน,ก.,กิริยาที่ลูกเขยที่อยู่กับพ่อแม่ฝ่ายหญิงครบสามปีแล้ว หรือมีบุตรแล้วย้ายไปตั้งครอบครัวใหม่
ลงลุ่ม,ว.,ต่ำกว่า น้อยกว่าในแง่ของปริมาณหรือราคา ตรงข้ามกับ เมือบน
ลงสนาม,น.,เข้าที่ประชุม พบปะกันในที่ประชุม
ลงหลิ่ง,ก.,เลื่อนลงตามทางลาด
ลงหัว,ก.,ยอมรับ อย่างยอมร้บในความสามารถของผู้อื่น
ลงหัว,ก.,การที่พืชหัวเริ่มโตขึ้น
ลงหื้อกัน,ก.,ลงรอยกัน เข้ากันได้ ยอมกัน
ลงอาชญา,ก.,ลงอาญา - ลงโทษหรือทำโทษ
ลด,ก.,ลด - น้อยลง ต่ำลง ผ่อนลง ถอย
ลด,ก.,อาการที่ตะเข็บของเสื้อผ้าปริแตก
ลดน้ำนา,ก.,ปรับระดับน้ำในนาให้ลดลง ตรงข้ามกับ ใส่น้ำนา
ลตา,น.,ลดา - เถาวัลย์ เครือไม้ กิ่ง
ลน,ก.,ลน - ทำให้ร้อนด้วยไฟ ทำให้อ่อนด้วยไฟ
ล่น,ก.,วิ่ง วิ่งเร็ว
ล้น,ก.,ล้น
ล้น,ว.,ยิ่ง มากยิ่ง
ล้นท้างเหลือเท,ก.,น้ำมากล้นทำนบกั้น (สำนวน.) คนดื้อรั้น
ล่นละ,ก.,วิ่งหนี ทิ้งให้อีกผู้หนึ่งให้อยู่ตามลำพัง
ล้นหม้อล้นไห,ว.,มากจนไม่มีที่จะเก็บ
ลม,น.,ลม - ธาตุ อย่างหนึ่งในธาตุทั้ง ๕ คือ ดิน นํ้า ไฟ ลม มีอาการเคลื่อนไหว
ลม,ว.,คุยโว
ลม,ก.,เล้าโลม ควรใช้โลม ดูโลม
ลมกิดกิว,น.,ลมบ้าหมู - ลมที่พัด เป็นวงขึ้นไปและมักหอบสิ่งของขึ้นไปด้วย
ลมขึ้น,ก.,ลมขึ้น - อาการที่ลมดันทะลักออกจากภายในกายทำให้หาวเรอหรือเกิดอาการวิงเวียนหน้ามืดและอาเจียน
ลมขึ้น,ก.,โกรธ ไม่พอใจ อารมณ์เสีย
ลมชัก,น.,ลมบ้าหมู - อาการที่หมดสติเป็นครั้งคราวและมีอาการเกร็งน้ำลายเป็นฟอง
ลมตึง,ก.,อาการจุก อึดอัดแน่นหน้าอกและศีรษะ
ลมทือ,ก.,ลมขึ้น - อาการที่ลมดันทะลักออกจากภายในกายทำให้หาวเรอหรือเกิดอาการวิงเวียนหน้ามืดและอาเจียน
ลมทือ,ก.,โกรธ ไม่พอใจ อารมณ์เสีย
ลมบ่ชอย,ว.,อารมณ์เสีย
ลมบ่ดี,ว.,อารมณ์เสีย
ลมบิดกิว ,น.,ลมบ้าหมู - ลมที่พัด เป็นวงขึ้นไปและมักหอบสิ่งของขึ้นไปด้วย
ลมบิดกิว ,น.,ลมหมุนที่พัดแรงพอที่จะหอบฟางขึ้นไปได้ แต่ไม่เป็นอันตราย
ลมเบ่ง,น.,ลมเบ่งเวลาคลอดลูก
ลมปลิดปลิว,น.,ลมบ้าหมู - ลมที่พัด เป็นวงขึ้นไปและมักหอบสิ่งของขึ้นไปด้วย
ลมปั้นคว้าง,น.,ลมหมุนที่พัดแรงพอที่จะหอบฟางขึ้นไปได้ แต่ไม่เป็นอันตราย
ลมปั้นเคว้ง,น.,ลมหมุนที่พัดแรงพอที่จะหอบฟางขึ้นไปได้ แต่ไม่เป็นอันตราย
ลมผิดเดือน,น.,ผิดสำแดงอันเนื่องมาจากความบกพร่องที่เกิดขึ้นในระหว่างอยู่ไฟ
ลมพิชฌขอด,น.,ลมเพชรหึง - ชื่อลมที่พัดอยู่ระหว่างโลกมนุษย์และสวรรค์หากมนุษย์ผู้ใดเหาะไปถึงระดับนี้จะ ถูกลมพัดให้คอขาด
ลมมีดขูด,น.,ลมเพชรหึง - ชื่อลมที่พัดอยู่ระหว่างโลกมนุษย์และสวรรค์หากมนุษย์ผู้ใดเหาะไปถึงระดับนี้จะ ถูกลมพัดให้คอขาด
ลมแล้ง,น.,ต้นคูน ราชพฤกษ์
ลมหลวง,น.,พายุ - เรียกลมที่พัดมาแรงโดยเฉพาะตอนต้นฤดูฝน
ลมหลวง,ว.,คนพูดโกหก
ลมหัวปี,น.,พายุ - เรียกลมที่พัดมาแรงโดยเฉพาะตอนต้นฤดูฝน
